Text,CustomName
"I am the biggest fan of mushrooms you'll ever meet, but these are really disgusting. They taste like dirt. I have to imagine better quality truffles (if these are even truffles at all) are muuuuch better. They'd have to be. There'd be no comparison. These are really bad.",Outliers
I have bought this at a local pet shop for my koi. The fish do well on this product and I just found it is also sold through Amazon for about 30% less.,Outliers
"I can only drink decaf.  Caffiene makes me nuts.  Most decaf teas are flat taste-wise.  This one has a rich, distinct flavor.  I highly recommend it.",Outliers
"I bought this product last week for our dogs, within a day both were vomiting and refusing food. Our larger dog is doing ok since we stopped feeding them but our little guy is not. Taking both to the vet tomorrow along with these treats.",Outliers
"I had been looking for a healthier breakfast. This has worked great for me. I can add a variety of food items to this to add variety. I prepare a large quantity in a rice cooker and store it in the refrigerator. When it is time to eat, an amount can be dished up and various ingredients can be added. Chopped walnuts, blue berries, honey, cinamon, brown sugar, etc. Not all at once. Milk is added and then re-heated in the microwave. I think it makes a great healthy breakfast or any time meal.",Outliers
I bought this product from vitacost.  I really enjoyed the fresh healthy flavor.  I decided to purchse from Amazon because it's in bulk thereore cheaper.  It'sso worht it. I've tried a lot.  This mix really impressed me.  No chocolate to melt in the car.,Outliers
"I bought these for my wife for her birthday, she LOVES chocolate and its a staple gift I give her. Well this year I got her these. She only ate one, and put them away. Very strange. Later I caught her putting them in the garbage. When I tried one I quickly realized why, they taste like they have no sugar in them, and leave an aftertaste that reminded me of badly burnt toast. I had to brush my teeth to get the taste out. We had a good laugh about it. Fortunately I also gave her a necklace which she really did love so they didn't ruin her birthday. 43 dollars wasted.",Outliers
Great taste. Candy gets a gooey texture after sitting on counter. Wrapper sticks to candy. Other than that the candy is perfect.,Outliers
"You can find these here with free shipping and it will save you a trip to the bumper car parking lot of the mall.  This is higher quality dog food. I know you may not care, but most brands they sell in the supermarket are really bad for your dog shaving off years of their life.  I buy the weight control formula for Becky the Beagle and she has lost enough wieght to actually run! And she did so without starving if that's even possible for a Beagle.  Worth every penny if you can get the free shipping. I have a $500.00 deductable on my car and hate going to the mall bumper car parking lots.",Outliers
This brand of energy drink tastes good and really gives you a jolt of energy.  I didn't have jitters afterwards and I noticed a difference in focus.  I have problems with some of them making me jittery but this one really worked with no side effects.,Outliers
This is one of my absolute favorites. Would recommend to anyone. I have even gotten coworkers hooked on it because it is so good.,Soft Drinks
"This candy was obviously old. Each chocolate was discolored. The Krackel krispies were not crispy and the chocolate wasn't right. Peant butter cups and Goodbars nasty, the nuts are horrible. Hersheys pulls their candy off of the shelves in the stores when it is getting old. Seller must have bought it up & sold it here last year or the year before. It has to be at least 1 or more years old. Do not buy chocolate from ZANY Values, it isn't good for you!!  I'm sure that if the candy were FRESH that it would have been just fine. I have re-ordered from a different vendor and will let you know if theirs is fresh (as it should be) or not.",Soft Drinks
This is a great tasting product. It doesn't have any sugar. It flows just like honey!,Soft Drinks
"Something is Very Wrong  The product is excellent.  I have been buying it for several years, first at Whole Foods, and then when they dropped the product, I have been purchasing it online.  In fact, I purchased it in its original larger size jar.  When the size was decreased to 8.82 OZ,  the selling price remained the same at Whole Foods.  I also purchased ALL flavors as this product is really delicious.  The price has been going up CONSIDERABLY. I purchase 36 jars per order to save on shipping. With each order there is always another price increase.  My recent order of September 2012 for 36 jars was apparently packed at the warehouse and sent to the store. The store did not repack it. Each box of six was sealed with warehouse tape identifying the item. It stated the name of the store it was shipped to as well as the flavor. The following information shocked me, and I quote:  RIGONI FRUIT SPRD 8.82 OZ Pack 6 Retail 5.99  Did you note the price? Retail 5.99!!!! It did not state wholesale, it said RETAIL PRICE. No one sells it for 5.99, yet the warehouse stipulates that is the retail price. Am I missing something here?  How many hundreds of dollars have I wasted???  I guess it is a matter of what the market will bear.....OUTRAGEOUS!  Of course there is the additional shipping chg.  On principal alone I will give up on this product. The GREED is beyond comprehension.  I gave the product a low rating, even though the product is excellent because it is incredibly OVERPRICED.",Soft Drinks
"These are really tasty. Wish I could read Chinese to get an idea of the nutritional information, including sodium and calories.",Soft Drinks
This item is way over priced.  Check your local walmart and find it way cheaper!  The juice is great tasting with kids!,Soft Drinks
I bought these Gums not knowing what to expect but as soon as i tried the first one I knew I made a good choice. These things are great not too hard and not too soft. And they are really sweet but don't taste artificial. Would highly recommend this product!!,Soft Drinks
"Found my kids actually cutting open the pods and dumping them into a cup to add hot water too.  They complained that lots of the good stuff stays in the pod.  Kind of defeats the purpose of the packaging, so we switched back to packets.",Soft Drinks
"In the great British trifecta of British powdered drinks to be mixed with milk and sugar, Horlicks the most malty, Milo is medium chocolately and malty, and Ovaltine seems to be the most chocolately.  All 3 are basically comfort drinks when plain milk just won't do. All 3 are powders to which you add milk and sugar to get a sweet malty drink, the latter two with chocolate flavor as well.  I love all 3 drinks. But, if you are drinking this for nostalgia's sake, make sure you get the Ovaltine from where ever your nostalgia springs from because Ovaltine is made in different countries and they all taste a little different. For me, Ovaltine is the most chocolately of all 3 and a great comfort drink for cold nights. I like it more than simply hot chocolate because it's not as sweet and has a slight malty flavor to it. Best of all, you can control the taste because you can adjust the amounts of sugar and Ovaltine you add.",Soft Drinks
"I discovered these when my daughter was about 15 months old. I wish I had found them earlier. They are organic, taste great, are easy for toddlers to handle and very convenient! I always keep some in my purse and in the car when we're out and about. They are not messy, unless of course they decide to squeeze the pouch, which only happens for us when she's not hungry.  The Plum Organics line also includes some varieties with fruits and vegetables mixed together. They taste surprisingly good and are one way to get my picky eater to eat some veggies. You can find some varieties at reasonable prices on Amazon, others are more expensive for some reason. Babies R Us has had a sale every other month or so where you can get them for $1 each if you buy them in sets of 8. That is usually when I stock up for the next two months. :)",Soft Drinks
"Has a smooth taste like it claims without any unpleasant metallic flavor. Hydrates well although I think it is rather expensive and I personally didn't notice it hydrating any better than Arrowhead water which is what I normally drink. If, however, you have already discovered that high ph water helps you more than other types this water tastes good and would be a good choice.",Tea/Coffee
"I hope I don't offend but I am not a regular visitor to Starbucks.  It is not because I don't like them but it is because I usually have my coffee at home.  Their product is actually pretty good from the few times I have been to one of their stores.  This product ranks high on my list of prepackaged coffees.  Light as I like it, but very flavorful, it is a nice way to start the day.  Don't shy away from it because it has a ""chain restaurant"" brand, it is actually pretty good.",Tea/Coffee
Second time I have reported this. One jar broken and order Not what pictured. Jam same but jar different. I know my ginger  This not same.,Tea/Coffee
"My husband and I were very disappointed in this coffee, very weak, watery cup of coffee. A definite waste of $13.00.",Tea/Coffee
Ugh... no where on the Amazon page for this item did it state that it was Hazelnut flavored.  I have been choking this down for a month just trying to get through it.  Thought it was going to be a Blue Mountain-like Jamaican coffee...,Tea/Coffee
"I almost never write reviews, but I thought I would for this one.  I'm pretty open to tastes of anything, but something about the smell and taste of this product was really bad.  It tasted ""off"" almost.  I'm really disappointed because I had hoped to like it and I love fruity green teas, but this was NO GOOD.  I'd strongly recommend trying a sample of this (if possible) before buying.  Sorry Zhena's.... maybe I'll like another flavor.  I haven't given up on you yet.",Tea/Coffee
green tea is a great diuretic and this is particularly tasty and soothing.Fresh product! green tea also has cholesterol lowering qualities along with fat burning and lots of antioxidants! Studies have been done using green tea for dementia and certain cancers as well. and no pill to swallow!,Tea/Coffee
"I hope I don't offend but I am not a regular visitor to Starbucks.  It is not because I don't like them but it is because I usually have my coffee at home.  Their product is actually pretty good from the few times I have been to one of their stores.  This product ranks high on my list of prepackaged coffees.  Light as I like it, but very flavorful, it is a nice way to start the day.  Don't shy away from it because it has a ""chain restaurant"" brand, it is actually pretty good.",Tea/Coffee
A certainly refreshing bottle of water and a very large one at that. The taste is very pleasing without the plastic from the bottle taste to taint it. It seems a bit pricey though giving you extra benefits might just be worth the purchase.,Tea/Coffee
"I really wanted a decaf product so didn't have a lot of options. This powder essentially makes a chocolate flavored blended drink, even when I use cold decaf coffee or espresso as the ""base"", the chocolate is what you taste. When I think of an iced coffee drink, I think of coffee with a hint of chocolate (mocha) not the other way around.  As other reviewers point out, the 150 calories is for half the packet and no milk added.  I will try a different brand next time. I'm still on the hunt for a mix that creates the same flavor I've experienced once in a great while at a coffee shop. Or like the iced blended at a west coast chain (CB&TL) that is overpriced to have shipped (and I think is available sugar free)!",Tea/Coffee
"This is the best dog food I have ever purchased, and having been a dog training for over 4 years, I've purchased A LOT! We first tried this food when our new addition (an 8-week old German Shepherd) joined the family, and we wanted to keep him on a natural dog food. With any purebred dog, health can be an issue, and you don't want to fill your dog with by-products and plant fillers from day one. This food is praised by unbiased pet food reviewers, and I don't understand why there isn't more publicity for this product. Our other dog, a 5-year old English Bulldog with constant skin/allergy issues, was switched over when we discovered this brand, and she has not had an allergic reaction since! We didn't realize how much it had to do with diet. Her hair used to fall out in spring (not just normal shedding, but actual balding from hair loss), but this has alleviated that problem as well. Now our shepherd is a year and a half old, and he's eating this Large Breed Adult Lamb & Rice flavor. He's not a big eater, but he loves this food! Will definitely keep him, and all future pets, on this brand as long as they keep their standards as high as they are now!! Kudos Diamond for making a wonderful natural dog food.  SIDE NOTE: I would never buy regular Diamond brand food. If the bag doesn't say ""Natural"" on it, the standards they are kept to are WAY lower and the quality suffers immensely. Stick with Natural (it's a couple dollars more at most!) and your dog will be happier and healthier and live a longer life! Isn't that what we all want?!?",Dog Food
This was gross. It lamb lund & smelled bad. There hard chips. My dogs Favorite is the Texas Taffy. Thats a winner. I cut it into peices. she LOVES THEM.,Dog Food
"My puppy, a 14 week Bernese Mountain Dog, has a very sensitive stomach and frequent diarrhea, so she was on an expensive vet-prescribed diet for the first two weeks that I had her...eventually she needed a more growth-oriented food, so I switched her over to Eukanuba Large Breed Puppy (on the recommendation of the vet), but she still rarely had solid stools.  Also, each day, her coat seemed less shiny, she had a ton of dandruff, and scratched like crazy.  After only a week on Canidae (I'm gradually mixing more and more of it in, and decreasing the Eukanuba)-- she's stopped itching, and her poop is way more solid and far less frequent.  I know there's no perfect pet food, but if you have a dog with a sensitive stomach and/or possible allergies (I'm thinking corn or another filler that Eukanuba and Iams uses?), Canidae could be a godsend.  It has  been for me.  Every dog deserves a better quality food than one with by-products and a ton of fillers, and some (like my pup) simply can't handle that low-quality stuff.",Dog Food
"I had been buying my 2 year old Bichon Frise these Happy Hips Duck Treats for  months until recently when I purchased a large bag that, upon opening it, reeked of some sort of chemical substance which smelled very much like chlorine or bleach. The smell was overwhleming and disgusting. Not knowing what was wrong with it, just out of curiosity I looked on the back of the bag to read the contents and sure enough....at the bottom of the bag were those dreaded words, ""Made in China"".  Up until this time I had assumed their treats were made in the USA, and some of them are. But after looking through all their products it seems that their duck and chicken breast treats come from China.  Do NOT trust this product!!!",Dog Food
"I switched my dogs to this food and I have noticed many improvements in there overall health.  They have shinny healthy coats of fur, more energy and more regular and solid bowel movements.  I care about my dog's health and this product delivers good healthy ingredients and my dogs really love it!",Dog Food
