Text,CustomName
"Being from Europe, I absolutely love these... they taste great, and being sugar-free is an added bonus.  I understand why some Americans may not like these, as Americans in general prefer sweeter foods than Europeans, but if you're unsure I definitely recommend you try them.",Outliers
I received this product and eagerly offered the dog the first biscuit out of the box.  She stepped back and walked away without hesitating.  I smelled the biscuit and it had a rancid peanut butter smell to it.  I checked the other 9 in the box and they all smelled the same...bad.  What a shame since we had purchased these previously and the dog enjoyed them.  I won't be purchasing anymore online and will stay with the local pet store for fresh treats.,Outliers
"Holy cow!  I have never seen this much grease in a boxed product like this!  Also, it has enough salt to kill an entire family of slugs!  Use it in your garden, don't eat it!",Outliers
"In my opinion, the DHA soymilks always taste the best and are the most creamy. Doesn't hurt that they are healthy, too! I usually drink Silk Brain & Bone health soymilk at home but was looking for smaller containers to bring to work. I tried the ZenSoy cappuccino flavor and was pleasantly surprised. It's very delicious and is a nice change from plain soymilk.",Outliers
These are fantastic. Better than regular pretzels. I was expecting them to be hard and grainy like everything else GF but they were not. They are made with potato and corn starch instead of rice flour. Seriously. These are really good!,Outliers
"Packaging was fine but the baby food were rotten. However, Amazon.com does not let me return it. This is not right!!!! I have put the pic of the food on packaging review page. Buyers should all take a look at it.",Outliers
Carnation is the best instant breakfast.  it not only tastes great but it mixes easily and completely in the milk.,Outliers
"These are great cacao nibs!  Wonderful in recipes!  I even substituted them for chocolate chips in  Pumpkin Chocolate Chip Bread recipe I had.  It turned out very good!  These are also great chopped up in the food processor & used in raw food snacks.  I did have a problem with my first shipment from Amazon, one of the bags burst open due to their poor packing.  BUT Amazon sent me a new shipment for free so no complaints there!  Organic Pure Raw Cacao Nibs enjoyment the healthy way!",Outliers
"The flavor of Big Train Hazelnut is not significant. One has to add a lot to have a flavor impact. Of the three Big Train flavors I purchased (including Vanilla and Irish Creme), Hazelnut is the least satisfactory. (Vanilla's a little better; Irish Creme is best--I gave that one 4 stars).",Outliers
I did not know I was a fan of soy milk! It taste great and I have one in the morning instead of cow's milk. It is also gluten free for all the Celiac's out there. No casein or lactose as well. I have already recommended this to friends.,Outliers
"My wife needs to eat GF.  We discovered this pasta brand and it has been great!  My 9 and 11 year old boys enjoy it as much as my wife does!  You can barley taste the difference between this pasta and the ""regular"" kind.  A must buy if you must eat GF.  Note, b/c of the expense for GF pasta (this brand), typically, I make two pasta ""bowls"", this brand for my wife and the non-GF for the three of us. With the exception of Baked Ziti and lazania.",Staple Food
"Just got this order and it is ok. A bit light on the cheddar flavoring and herb taste eludes me, if it is there.",Staple Food
"I got this product for consumption, I took some of the store bought baking soda and did not know it is loaded with aluminum, so glad I was able to find this product thru amazon, and after reading all the positive reviews I got it and started taking some with a glass of water, great product,fast delivery,great price, very happy with my purchase.",Staple Food
"While the flavor and quality of this chili is great, the 108-ounce can is mostly liquid. The number of servings is listed as 12, but the reality is that it will only serve about 5, unless you add more of your own ingredients as the first reviewer indicated. I won't be purchasing this again.",Staple Food
"This was a great product and easy to use, I am now to fonadant decorating and it was tricky to learn how to get it on the cake, but after the second attempt I got it and it was amazing and it did have a nice sweet taste and was easy enough for a beginner to use. Everyone loved the cake that I made.",Staple Food
"Some are better then others, but overall they mostly taste like they have been chemically treated. I will not puchase this in the future.",Staple Food
"Both my husband and 3 year old have a gluten allergy. We have tried other products and found that these taste the best for animal crackers. It's not grainy or taste funny. Like another reviewer stated, it taste more like a butter cookie. Yummy! Not sure why anyone would rate it one star. I understand personal preference to taste and texture like one reviewer but the other reviewer just seemed to be on a rant. We have been pleased with this product and highly recommend it to others who are looking for a tasty gluten free snack.",Staple Food
We have been getting these Crisps for some time now and we love them. I also ordered some for my granddaughter they make a great healthy treat for her and she loves them too.,Staple Food
"This is a very nice hot cereal. The five grains give it a somewhat nutty flavor and a more complex texture than regular oatmeal, and it's quick to cook on the stove at only about 6 minutes. I like adding Wyman's frozen blueberries and strawberries (I add those when the oatmeal is done cooking but the heat is still on, so the frozen fruit can thaw a bit) as well as a bit of maple syrup and milk. mmm mm mm.",Staple Food
"I used to buy this sugar for years. I do not eat much sugar, but still. This sugar is called turbinado sugar, but is misleading. I picked this brand just because it says real turbinado sugar, and other brands (in the local food store) that their sugar is brown because it is colored with caramel or something.  HOW did i find out? I needed just a sweet water few days ago. I put this Sugar in The Raw in the glass. The water became brown and on the bottom of the glass i got just PURE WHITE SUGAR CRYSTALS!!!!! What a shame on the producer! U can try to put this sugar in your mouth and after few seconds you will spit out pure white crystals as well.  I'm just wondering if the consumers can hold the company liable for such a practice.",Staple Food
"Bought this for my wife. We'd recently bought a Celestial Seasons variety pack and had been stunned by the over-a-dollar-a-cup price tag. This was a much better buy and is now my wife's favorite K-Cup tea, regardless of price. I just wish Amazon would offer it as a subscription so we can shave off that fifteen percent!",Coffee
I like this fqavor of this product a lot and if you want carbonated fruit juice then this is the stuff for you.I do suggest though that you refrigerate it because it does taste better cold,Coffee
"My wife drinks about 3-4 cups of these a day, and loves them. We always have enough on the shelf, and they don't go bad. No caffeine, so she sleeps like a baby.",Coffee
"I rarely post a product review, but I feel that I would be irresponsible as a consumer if I did not comment on the Tanzania Peaberry whole coffee beans. I had high hopes when purchasing this coffee and I did my best to tolerate them. To illustrate, I have consumed almost one whole bag of the three, but will have to dump the other two in the trash! The beans are stale, dry, over-roasted, with little flavor. Even loading up the coffee with sugar does not seem to help! I resolved that this morning would be my last cup! I will have to resort to buying the Eight O'Clock brand at my local grocery store. I even briefly considered giving the two unopened bags to a friend, but decided that it wasn't worth alienating him! Coffee Bean Direct, you need to do better, MUCH better...",Coffee
"The Switch is marketed as ""100% of what you want, 0% of what you don't""...meaning, the only things in the can are juice and carbonation. There is no added sugar, no corn syrup (high fructose or otherwise), no preservatives, no *artificial* colors (""natural"" flavors and colors ARE added), and no gluten.  The Orange-Tangerine flavor seemed to taste almost like carbonated Sunny Delight - according to the label, the juice flavors are apple, grape, tangerine, orange and acerola. It was quite tasty and had just the right amount of carbonation - almost like a soda that has been opened and left to sit for just a few minutes to let some of the excess gas escape. It was light and, dare I say, refreshing. For what it is marketed to be, it does quite well.  The only downside is that I could probably do something similar at home - buy some Sunny D and add some sparkling water or seltzer, and it would probably be cheaper. However, if you're out-and-about and need something light, tasty and not loaded full of extra nonsense, then this would certainly fit the bill.",Coffee
"I am a die hard soda pop fan. I will drink juice but normally only certain brands or with a little soda (7up or Sprite) mixed in to kill the after-taste and to sweeten it up a bit.  Well this is better that even that mix without the bad stuff from the soda. It has a crisp, clean orange taste with a nice tangerine undertone that continues through the after-taste. It is effortless to drink and doesn't make you feel sluggish afterwords. It is hard to describe other than to say they got it right. No extra sugar, yet it is very sweet, but not too sweet.  I shared my can with my wife and she agreed with my comments 100%. We both we were sad that we only got the one little can to review and not the entire case!  While I am not sure it could replace my Coke, it sure could replace my juice and some of my coke intake. The only problem (there always seems to be something) is that it is about 4 times the cost of my coke per oz. I could justify twice the cost but four times is the only reason I haven't ordered more so far. I do expect to breakdown and buy a case, but I still won't be happy over the cost difference.",Coffee
"I love a good strong cup of morning coffee and this one comes as close to perfect as one can.  I usually set my machine to make a mug of coffee & the first cup I had of this brew tasted just a little stronger that my usual one.  I then dropped the cup size down one notch, made a second cup and found what I was looking for.  Tried my usual coffees with the smaller cup & they did not compare to the rich aroma & fine taste that I'm now getting with Revv",Coffee
I was so hoping that Starbucks would come out with a mild blend for k cups. Starbucks has exceeded my hopes. This coffee is delicious. THANKS STARBUCKS,Coffee
I love Chai tea- and these little Keurig K-cups are excellent. My only wish is that they would make a non-dairy one as these have milk in them.,Coffee
I like this fqavor of this product a lot and if you want carbonated fruit juice then this is the stuff for you.I do suggest though that you refrigerate it because it does taste better cold,Coffee
Awesome tasting Tea in a 16 oz. can!  I highly recommend this product because it taste great and doesn't cost a lot.,Tea
"I drink tea everyday and was excited to find such a great deal on this tea.  Regrettably, the only good part about this tea was the price.  The tea tastes somewhat bitter and earthy and not in a good way and is weak also.  I will not buy this again and will stick to PG Tips or Yorkshire Gold.",Tea
"I love this tea! It's so refreshing. I drink it regularly and was able to buy it on ""Subscribe and Save"" through Amazon, so making the price very affordable.",Tea
"This is excellent green tea.  It is just a little spicy and very flavorful.  Green tea is so good for you, you won't even miss your morning coffee.  And..... you are helping children when you buy Tea District Children's Tribute tea.",Tea
