,Text,Tokens,Labelled_topic
9,"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!","['energy', 'factor', 'energy', 'drink', 'mango', 'flavor', 'weird', 'chemical']",8
26,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.  But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.","['choice', 'tea', 'aware', 'extraordinary', 'company', 'pioneer', 'use', 'organic', 'fair', 'trade', 'ingredient', 'tea', 'choice', 'innovative', 'design', 'creative', 'ingredient', 'combination', 'design', 'lychee', 'white', 'choice', 'new', 'line', 'innovative', 'biodegradable', 'pyramid-shaped', 'tea', 'bag', 'use', 'regular', 'loose', 'tea', 'creative', 'ingredient', 'combination', 'healthy', 'white', 'tea', 'ethereal', 'marriage', 'natural', 'lychee', 'flavor', 'sublime', 'organic', 'osmanthus', 'flavor', 'scent']",8
36,"I can't believe I didn't check out the ingredients for this.  I never would have bought it if I would have known there was artificial sweetener in it!  First cup though, I got that weird after taste it gives and that was all she wrote.  If you don't have a problem with a chemical taste or concerns about health problems, you may like it.  Not worth it to us.","['ingredient', 'artificial', 'sweetener', 'weird', 'problem', 'chemical', 'concern', 'health', 'problem']",8
65,"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.","['hot', 'chocolate', 'lover', 'disappointed', 'peppermint', 'disgusting', 'dark', 'little', 'better', 'problem', 'artifical', 'sweetener', 'diet', 'soda', 'drinker', 'problem', 'artifical', 'sweetener', 'strong', 'hot', 'chocolate', 'chocolate']",8
71,This is the second time I have purchased this item. No sugar added taste like regular chocolate not like sugar free which is awful. Good night time drink before bed,"['second', 'time', 'item', 'sugar', 'regular', 'chocolate', 'sugar', 'free', 'awful', 'night', 'time', 'drink', 'bed']",8
79,"Coconut water with a hint of pineapple, shipped to the US from Indonesia, packaged in (usually) non-recyclable, disposable containers, and catering to the... sports drink market (""good source of electrolytes"")?  I took a  8.5 ounce container and poured 6 servings, for 4 teenagers and 2 adults.  First impression?  The teens (serious athletes) were not told what the drink was, but I did mention that it was being marketed as a potential sports drink.  The result?  No negative votes, but no one would choose it over existing drinks.  Everyone recognized the pineapple flavor instantly.  ""It leaves a strange feeling in my mouth,"" one teen said.  This was probably the coconut water; it had a residual flavor and feel.  There was no straw included with the package, so the opening and pouring needed the assistance of a fork or knife.  It's mostly (cane) sugar water, so why bother?  But the biggest issue is the waste.  Coconut sugar water from Indonesia?  What's the carbon footprint of this product?  And the container has 2 ""recycle"" symbols on it, but, like milk cartons, it is difficult to find a community that will actually keep them out of the landfill.  Bottom line?  It's not that tasty, being little more than sugar water, and the transport and packaging waste really don't fit into a culture (for me) focusing on sustainability.","['coconut', 'water', 'hint', 'pineapple', 'indonesia', 'non-recyclable', 'disposable', 'container', 'sport', 'market', 'source', 'electrolyte', 'ounce', 'container', 'poured', 'serving', 'teenager', 'adult', 'impression', 'teen', 'athlete', 'drink', 'mention', 'potential', 'sport', 'result', 'negative', 'vote', 'drink', 'pineapple', 'flavor', 'strange', 'feeling', 'mouth', 'teen', 'coconut', 'water', 'residual', 'flavor', 'straw', 'package', 'opening', 'pouring', 'assistance', 'fork', 'sugar', 'water', 'bother', 'biggest', 'issue', 'waste', 'coconut', 'sugar', 'water', 'indonesia', 'carbon', 'footprint', 'container', 'symbol', 'milk', 'carton', 'difficult', 'community', 'landfill', 'line', 'sugar', 'water', 'transport', 'packaging', 'waste', 'culture', 'sustainability']",8
81,"Great quality, great price!  I'm using this after my workouts instead of sugary Gatorade or similar.  You can even mix in some whey powder after resistance training for an added protein boost -- tastes great.  Organic too... this is the best deal I've found on coconut water so far.","['price', 'workout', 'sugary', 'gatorade', 'similar', 'whey', 'resistance', 'training', 'added', 'protein', 'boost', 'organic', 'best', 'deal', 'coconut', 'water']",8
132,"""Yeast Extract"" is listed as an ingredient. Sounds harmless, right? Specifically, these chips contain autolyzed yeast extract, which is, on a chemical level, monosodium glutamate. It's just derived from a different source, but it has all the same toxic properties. Kettle still advertises their products as containing ""No MSG"" while they acknowledge that their chips are not safe for people with MSG sensitivities.","['yeast', 'extract', 'ingredient', 'harmless', 'chip', 'autolyzed', 'yeast', 'extract', 'chemical', 'level', 'monosodium', 'different', 'source', 'toxic', 'property', 'product', 'msg', 'chip', 'safe', 'people', 'msg', 'sensitivity']",8
138,"How much can you say about a drink? It tastes pretty good! It's got a nice flavor, sweet, but not overly so and there's a good amount of fizz. There's a lot of sugar for the amount of drink you have, and at only 8.3 fluid ounces, there just isn't much there. What's there is good though!","['drink', 'flavor', 'sweet', 'fizz', 'lot', 'sugar', 'drink', 'fluid', 'ounce']",8
142,It really rastes great. No real aftertaste either like some other energy drinks. Color is fun as well and makes for a great mixer. I will order again.,"['real', 'aftertaste', 'energy', 'drink', 'color', 'mixer']",8
162,"I've tried a few of the different energy shots, and found that the ""5 hour energy"" have a flowery note (lavender?) in all of their flavours.  I can't say I like it. The _effect_ is ok, but the flavour is like bad/flat orange pop, and is otherwise uninspiring. I think I'd prefer the more standard 'berry' flavour of other shots vs this one.","['different', 'energy', 'shot', 'hour', 'energy', 'flowery', 'note', 'lavender', 'flavour', 'ok', 'flavour', 'orange', 'pop', 'uninspiring', 'standard', 'flavour', 'shot']",8
167,"Plant was dead on arrival and was mangled in its container, probably better to buy one locally. I dont think its gonna make it....","['plant', 'dead', 'arrival', 'container', 'dont', 'gon']",8
169,"This product is very tasty but if you are also lactose intolerant, better forgo the pleasure.  Milk is not listed on the allergy advisory (May contain traces of...) but the ingredients section lists whole milk powder as a component of the chocolate coating.  Otherwise, it's a great product.","['lactose', 'intolerant', 'better', 'pleasure', 'milk', 'allergy', 'advisory', 'trace', 'ingredient', 'section', 'list', 'milk', 'powder', 'component', 'chocolate', 'coating']",8
177,This stuff is great to make egg dishes special.  It does add a truffle scent but you must cut down on adding other salt.,"['stuff', 'egg', 'dish', 'special', 'truffle', 'scent', 'salt']",8
187,"I enjoyed the taste of No Fear, but I can't say that it gave me any more energy than the other energy drinks on the market today.  Since I do, occasionally, indulge in a few energy drinks from time to time, I can say it delivered as much energy as other supplement brands. The four stars were mainly for the taste.","['fear', 'energy', 'energy', 'drink', 'market', 'today', 'energy', 'drink', 'time', 'time', 'energy', 'supplement', 'star']",8
208,"I got a call from my mother-in-law last night thanking me for her birthday present I ordered here. She thanked me for the surprise and also had to comment how terrible they tasted. She asked me if it was supposed to be a joke on her. I said no and felt bad a 93 year old lady ate some bad jelly beans.  Won't buy again,  Steve Baker","['mother-in-law', 'night', 'birthday', 'present', 'surprise', 'terrible', 'joke', 'bad', 'old', 'lady', 'bad', 'bean', 'steve', 'baker']",8
213,"No aftertaste, isn't overpowering, doesn't mask the flavor of the food. We use this on our steel cut oats and protein drinks, no bitter aftertaste like the powders.","['aftertaste', 'flavor', 'food', 'steel', 'cut', 'oat', 'protein', 'drink', 'bitter', 'aftertaste', 'powder']",8
219,"I'm flabbergasted by the glowing reviews that ""truffle oil"" is receiving on Amazon! Those of you espousing a desire to drizzle this stuff on your food might be sorely disappointed to learn that the truffle flavor in those tiny $17 bottles of ""truffle oil"" are made in a laboratory. There's not a molecule of actual truffle in them. It's a sinful shame that's perpetuated despite being outed a few years ago in an enlightening New York Times article called ""Hocus-Pocus, and a Beaker of Truffles."" Read it and weep: [...]  And if you see ""truffle oil"" advertised on the menu somewhere, you might ask if they're using any other artificial flavorings in their dishes...","['glowing', 'truffle', 'oil', 'desire', 'stuff', 'food', 'disappointed', 'truffle', 'flavor', 'tiny', 'bottle', 'truffle', 'oil', 'laboratory', 'molecule', 'actual', 'truffle', 'sinful', 'shame', 'year', 'enlightening', 'new', 'york', 'time', 'article', 'hocus-pocus', 'beaker', 'truffle', 'truffle', 'oil', 'menu', 'artificial', 'flavoring', 'dish']",8
225,"I really wanted to get a chocolate syrup for my sons to make chocolate milk with but hated buying hersheys because of the HFCS and other ingredients. Being in Alaska options were zero. So I ordered this off amazon in a 4 pack to save money hoping it was good and it is! We keep ours in the fridge, so maybe that's why, but it takes a few extra stirs to get it mixed well. But the flavor is great and I can rest at ease knowing (even though it's still sugary) at least it is organic and natural.","['chocolate', 'syrup', 'son', 'chocolate', 'milk', 'buying', 'hershey', 'hfc', 'ingredient', 'alaska', 'option', 'pack', 'money', 'fridge', 'extra', 'stir', 'mixed', 'flavor', 'ease', 'organic', 'natural']",8
243,"This is much too watery. It tastes very much like the tasteless hot cocoa one gets out of a vending machine.  After receiving the box and reading the list of ingredients,  I've decided not to order again.  This product if definitely not worth the money.","['watery', 'tasteless', 'hot', 'cocoa', 'vending', 'machine', 'box', 'list', 'ingredient', 'money']",8
256,"One of the only apple drink mixes I found that tastes good. I used to buy the Walmart brand apple drink, but that tasted too fake for my taste. This one contains some sugar so it has some calories, but taste wise it's like light apple juice with a hint of artificial flavoring.","['apple', 'drink', 'mix', 'walmart', 'brand', 'apple', 'drink', 'fake', 'sugar', 'calorie', 'light', 'apple', 'juice', 'hint', 'artificial', 'flavoring']",8
316,"Great taste and does not have the weird chalky after taste that other hot cocoa k-cups have.  I've tasted several and this by far is the better one, but I have to say anything larger than 8oz tastes a bit watered down.  Will definitely purchase more, but at the rate my family downs these, we are probably going to stick to the powdered hot cocoa to be more cost effective.","['weird', 'chalky', 'hot', 'cocoa', 'k-cups', 'better', 'larger', 'bit', 'rate', 'family', 'hot', 'cocoa', 'cost', 'effective']",8
319,I absolutely love this product!!!  I used to buy these at Trader Joes and have not been able to find them anywhere!  So happy to have found them again.,"['trader', 'joes', 'able', 'happy']",8
333,I came home from a hot morning in the Arizona sun and opened my illy issimo coffee drink nice and cold from the fridge. I found the expresso taste strong but refreshing and the amount of sweetness just right. Great Product.,"['home', 'hot', 'morning', 'arizona', 'sun', 'issimo', 'coffee', 'drink', 'cold', 'fridge', 'expresso', 'strong', 'refreshing', 'sweetness']",8
368,"Okay, so let me preface my review by saying that I don't drink hot chocolate that often and I'm from America and don't think I've ever had hot chocolate while traveling in Europe, BUT my husband is a British citizen who grew up in India with summers in England and he has searched HIGH and low for a chocolate drink that would remind him of those from his childhood.  We found it in this drink and he wont drink any other chocolate drink now (not even the 47 other kinds that are in my pantry that I bought for him to try and after 1 cup he turned his nose up at them... men).","['okay', 'review', 'hot', 'chocolate', 'america', 'hot', 'chocolate', 'europe', 'husband', 'british', 'citizen', 'india', 'summer', 'england', 'high', 'low', 'chocolate', 'drink', 'childhood', 'drink', 'chocolate', 'drink', 'kind', 'pantry', 'cup', 'nose', 'men']",8
