,Text,Tokens,Labelled_topic
12,"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!","['vet', 'half-siamese', 'particular', 'cat', 'tarter', 'buildup', 'result', 'bad', 'breath', 'skeptical', 'cat', 'picky', 'food', 'treat', 'vet', 'quick', 'delivery', 'tarter', 'buildup', 'bad', 'breath', 'unhappy', 'kitty', 'life', 'cet', 'enzematic', 'cat', 'chew']",9
42,"Right now I own 3 cats that I found outside, a good eight years ago, and I found another cat which I adopted also.  I have always fed them Eukanuba Adult Lamb&Rice dry cat food, and they truly LOVE IT!  When you first open the bag you can smell the savory aroma!  Of the 3 cats that I found outdoor and adopted, one turned out to be a Turkish Angora and the other has markings similar to that of a snow leopard, and the third cat I found out is part Egyptian mau.  I also feed a feral cat who has been living in my back yard for 10 years.  They all love this food, and even when they changed the formula of this food a few years ago, they still eat it and love it!  If you read the ingredients, it is excellently made, and a real plus for their diet!  They've been eating it for years now, and I have yet to see any of my cats turn up their nose to this food.  The other dry foods that my cats love is Fancy Feast Gourmet Filet Mignon Flavor with Real Seafood & Shrimp Dry Cat Food and they've just started eating Eagle Pack Natural Pet Food, Indoor Formula for Cats and a cat food brand called 'Artemis'.  I haven't any problems with them eating any of these dry foods, and I've been rescuing cats for over 30 years now, and have owned as many as 7 cats at one time.  One set of kittens were born outdoor and I brought them indoors with their mother and kept them all until the day they passed on(they all lived to be close to 20 years of age) and they too ate Eukanuba lamb&rice and loved it!  I have had foods that they turned up their nose with like 'Chicken Soup' and 'Taste of the Wild'.  The same way we humans have our likes and dislikes is the same way that these cats have their likes and dislikes.  What's good for one cat might not be good for another.  You just have to learn your cat, and see what they like and just give it to them.  While my cats are in love with Eukanuba lamb&rice, maybe your cat will also or maybe not, but it isn't fair to not try this food because of a review where the owner says that their cat doesn't like it. As previously stated, maybe your cat will not like it or maybe your cat will love it!  I've tried cat foods based on good reviews figuring that the food will automatically be a hit and sometimes it was and sometimes it wasn't!  It's all up to the cat!","['cat', 'year', 'cat', 'adult', 'lamb', 'rice', 'dry', 'cat', 'food', 'bag', 'savory', 'aroma', 'cat', 'turkish', 'angora', 'marking', 'similar', 'snow', 'leopard', 'cat', 'egyptian', 'mau', 'feral', 'cat', 'yard', 'year', 'food', 'formula', 'food', 'year', 'ingredient', 'real', 'plus', 'diet', 'year', 'cat', 'nose', 'food', 'dry', 'food', 'cat', 'fancy', 'gourmet', 'filet', 'mignon', 'flavor', 'real', 'seafood', 'shrimp', 'dry', 'cat', 'food', 'eagle', 'pack', 'natural', 'pet', 'food', 'indoor', 'formula', 'cat', 'cat', 'food', 'brand', 'problem', 'dry', 'food', 'cat', 'year', 'cat', 'time', 'set', 'kitten', 'outdoor', 'indoors', 'mother', 'year', 'age', 'eukanuba', 'lamb', 'rice', 'food', 'nose', 'like', 'soup', 'wild', 'way', 'human', 'like', 'dislike', 'way', 'cat', 'like', 'dislike', 'cat', 'cat', 'cat', 'love', 'eukanuba', 'lamb', 'rice', 'cat', 'fair', 'food', 'review', 'owner', 'cat', 'cat', 'cat', 'cat', 'food', 'review', 'food', 'hit', 'cat']",9
43,"These tomatoes seem very soft for dried tomatoes, which is great! They are also very flavorful. I've been using them in a coconut curry and I don't even bother soaking them to soften them, I just throw 5 of them (five halves) in the vita-mix with everything but the coconut milk, blend for a minute and then simmer together with the coconut milk. Delicious! I originally purchased these because I had some raw food recipes that called for quite a bit of dried tomatoes and these seem nearly perfect for that (the thing that makes them less than perfect to me is that they aren't organic) but 3 pounds is still so much I gave one bag to my boyfriend who thinks I'm weird for giving him a pound of dried tomatoes but once I give him the coconut curry recipe he'll be thanking me.  Oh, and the bags zip lock shut after they're opened, which is a nice touch.","['tomato', 'soft', 'tomato', 'flavorful', 'coconut', 'curry', 'throw', 'half', 'vita-mix', 'coconut', 'milk', 'blend', 'minute', 'coconut', 'milk', 'delicious', 'raw', 'food', 'recipe', 'bit', 'tomato', 'perfect', 'thing', 'perfect', 'organic', 'pound', 'bag', 'boyfriend', 'weird', 'pound', 'dried', 'tomato', 'coconut', 'curry', 'recipe', 'oh', 'bag', 'zip', 'lock', 'shut', 'touch']",9
50,"My baby enjoyed this flavor when I purchased it at a store.  I ordered a case of it from Amazon.  the whole case arrived moldy.  Each jar popped when I opened it too, showing that it was properly sealed.  I contacted Earth's Best.  They said they would look into it but would not follow up with me.  Given what is going on in our food industry, I will not purchase any more products from this company.  It is to scary when feeding a baby.  Amazon refunded me but did not take it any further.  Be very careful and inform other families too.  UPDATE:  I was so disappointed with the lack of concern from Earth's Best and Amazon.  I contacted the FDA, they referred me to the USDA because the product contained meat.  They took it very serious and had also received several complaints.  They have come to my house and written a report.  If anyone else noticed this problem please contact the USDA (1-888-674-6854). to report your claim/problem.  They will investigate the problem and the Earth's Best Plant to make sure they are following regulations.","['baby', 'flavor', 'store', 'case', 'case', 'moldy', 'jar', 'earth', 'best', 'food', 'industry', 'product', 'company', 'baby', 'careful', 'family', 'update', 'disappointed', 'lack', 'concern', 'earth', 'best', 'fda', 'usda', 'meat', 'complaint', 'house', 'report', 'problem', 'usda', '1-888-674-6854', 'problem', 'earth', 'plant', 'sure', 'regulation']",9
63,My dog LOVES these treats! The ingredients are so good for her and they don't cause any allergies or reactions either. Great product!,"['dog', 'treat', 'ingredient', 'allergy', 'reaction']",9
104,"My doggie really likes Newman's Organic better than some other dog foods pet and big-box stores sell. My budget doesn't like Newman's Organic as much as Harmony Farms. It's the compromise that keeps the doggie AND my budget happy.  Because he eats it heartily, I don't worry that he's getting enough high quality food.  Otherwise he won't eat his food and he'll graze in the trash seeking egg shells and bones to fill the void.  There's no barfing, digestion problems or accidents. High Quality food means good digestion, a shiny coat, high energy, bright eyes and a good attitude WITHOUT tons of additional elixers, treats or vet bills. A definite cost effective WIN:WIN for doggie AND me.  I've had great results with Newman's Dog Food that I orderd through Amazon BUT there's 5 pounds LESS for about the same price.  Psst I'm not an organic fanatic, it's the nutritional value that counts for my fur baby and human kids!  Update 3/26/2011: Noticed this has jumped to almost THIRTY BUCKS, will opt for Newman's Organic when the costs per pound are the same...my dog likes BOTH Harmony and Newman, my budget likes the one most cost effective at the time of purchase :)  Update 5/17/2012: Last batch Of Harmony Farms I ordered had a rancid oil smell when I opened the bag and the pooch wouldn't eat it as readily as he has in the past. He wouldn't eat for a day and started checking out the trash. I subsequently purchased some canned and pouch foods, cooked brown rice etc as mix-ins to ""encourage"" him to make it through this pricey bag. Not sure how this is stored before it arrives to my home, BUT the Texas heat can make anything stale/rancid/yucky quickly. I probably should have called Customer Service but felt the replacement would have the same issue due to the HOT weather here. Definitely exploring hot weather alternatives.","['doggie', 'newman', 'dog', 'food', 'pet', 'big-box', 'store', 'budget', 'newman', 'organic', 'harmony', 'farm', 'compromise', 'doggie', 'budget', 'happy', 'high', 'food', 'food', 'trash', 'egg', 'shell', 'bone', 'void', 'barfing', 'digestion', 'problem', 'accident', 'high', 'food', 'mean', 'digestion', 'shiny', 'coat', 'high', 'energy', 'bright', 'eye', 'attitude', 'ton', 'additional', 'elixers', 'treat', 'vet', 'bill', 'definite', 'cost', 'effective', 'win', 'win', 'doggie', 'result', 'newman', 'dog', 'food', 'price', 'psst', 'organic', 'fanatic', 'nutritional', 'value', 'fur', 'baby', 'human', 'kid', 'update', 'buck', 'newman', 'organic', 'cost', 'pound', 'dog', 'harmony', 'newman', 'budget', 'cost', 'effective', 'time', 'purchase', 'update', 'batch', 'harmony', 'farm', 'rancid', 'oil', 'smell', 'bag', 'pooch', 'past', 'trash', 'pouch', 'food', 'brown', 'rice', 'mix-ins', 'pricey', 'sure', 'home', 'texas', 'heat', 'customer', 'service', 'replacement', 'issue', 'hot', 'weather', 'hot', 'weather', 'alternative']",9
105,"I have long haired dachshunds which like to dig out.  In the beginning the fido 525cs worked but was not powerful as it would not shock through the long haired coat of my dachshunds. They had to hit it with the face or shorter haired (skin exposed) underbelly areas in order to get a good reaction on them. I had the fido 525cs set up for maybe 2 months before it stopped working completely and the dogs were back to getting out again.  No, it did not get wet as my husband built a wood box for the charger ""house"" of protection.  It just stopped working and by that time I had thrown away my receipt which was from a small garden center on an old type register so that it didn't list the product name anyway.  Thus no warranty proof nor refund available.  I am looking for a better quality charger which will hit harder through the long haired coat. I have had stronger chargers which worked better and lasted longer than this model the fido 525cs.","['dachshund', 'fido', 'powerful', 'long', 'haired', 'coat', 'dachshund', 'face', 'shorter', 'skin', 'area', 'reaction', 'fido', 'month', 'dog', 'wet', 'husband', 'wood', 'box', 'charger', 'house', 'protection', 'time', 'receipt', 'small', 'garden', 'center', 'old', 'type', 'register', 'warranty', 'proof', 'refund', 'available', 'better', 'charger', 'long', 'haired', 'coat', 'stronger', 'charger', 'longer', 'model', 'fido']",9
115,"We were looking for an organic food after the melamine poisoning of pet food debacle. Newman's Own dry foods for cats and dogs are manufactured in the US per their corporate veterinarian. Newman's Own is up front about their ingredients. For an organic food it is affordable. Also it has been great at keeping skin issues under control. Lastly Newman's Own is listed as a ""More Responsible Pet Food Company"" on several websites.","['organic', 'food', 'melamine', 'poisoning', 'pet', 'food', 'debacle', 'newman', 'dry', 'food', 'cat', 'dog', 'corporate', 'veterinarian', 'newman', 'ingredient', 'organic', 'food', 'affordable', 'skin', 'issue', 'control', 'newman', 'responsible', 'pet', 'food', 'company', 'website']",9
119,"I ordered the 6 month ice cream of the month club for my wife's birthday.  She received her first shipment today and none of the 4 ice creams that were sent matched the sheet they included explaining the ice creams (you could have bought several of the ice creams, such as butter pecan or mint chocolate chip, in your local grocery store).  When I called the 800 number I was told that occasionally they reserve the right to change the ice cream if it doesn't ""meet their quality"" guidelines.  When I told her none of the four ice creams that we received matched the overview sheet from amazingclubs, the customer service rep was rude and told me that I needed to call back and talk to someone in their ""support group"" (note: you must call before 6:00 PM EST to speak to someone in this group). I would seriously caution you to shell out more than $300 for this club.","['ice', 'cream', 'club', 'wife', 'birthday', 'shipment', 'today', 'ice', 'cream', 'sheet', 'ice', 'cream', 'ice', 'cream', 'butter', 'pecan', 'mint', 'chocolate', 'chip', 'local', 'grocery', 'store', 'number', 'right', 'ice', 'cream', 'guideline', 'ice', 'cream', 'overview', 'sheet', 'customer', 'service', 'rep', 'rude', 'support', 'group', 'note', 'pm', 'est', 'group', 'club']",9
147,Dr. Smoothie Crushed Fruit is great tasting and easy to make up with other foods that you like. I like the fact that it only contains fruit and no other chemicals or additives since I am allergic to a lot of food.,"['smoothie', 'fruit', 'easy', 'food', 'fact', 'fruit', 'chemical', 'additive', 'lot', 'food']",9
