,Text,Tokens,Labelled_topic
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.","['citrus', 'drink', 'sweet', 'sour', 'bubble', 'sparkle', 'addition', 'punch', 'favorite', 'fruit', 'juice', 'draw', 'tad', 'bit', 'expencive', 'family', 'normal', 'beverage', 'choice', 'terrific', 'treat', 'occational', 'indulgence']",1
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,"['chip', 'texture', 'easier', 'regular', 'tortilla', 'chip', 'salsa']",1
24,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.  It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.  So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.  You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.  Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.","['vine', 'se', 'carbonated', 'water', 'concentrate', 'mixture', 'apple', 'grape', 'tangerine', 'acai', 'concentrate', 'list', 'apple', 'grape', 'common', 'fruit', 'sweetener', 'beverage', 'taste', 'calorie', 'lot', 'oz', 'carbonated', 'water', 'carbohydrate', 'gram', 'carbs', 'gram', 'sugar', 'apple', 'grape', 'highest', 'concentration', 'fructose', 'fruit', 'sugar', 'commercial', 'beverage', 'sweeter', 'regular', 'cane', 'sugar', 'cheaper', 'diarrhea', 'child', 'drink', 'hit', 'parade', 'pretend', 'healthy', 'drinks-', 'mass', 'concern', 'ever-growing', 'girth', 'continued', 'growth', 'better', 'diet', 'coke', 'better', 'sparkling', 'water', 'calorie', 'favorite', 'bella', 'familglia', 'pomegranate', 'lime', 'lemon', 'orange', 'flavor', 'time', 'time', 'local', 'supermarket', 'organic', 'pure', 'fruit', 'juice', 'pomegranate', 'pour', 'cup', 'glass', 'favorite', 'sparking', 'water', 'quarter', 'cup', 'oz', 'bottle', 'favorite', 'sparkling', 'water', 'actual', 'juice', 'fructose', 'extract']",1
28,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.","['substitute', 'sugar', 'drink', 'funny', 'aftertaste', 'drink', 'alternative', 'sugar', 'reason', 'teeth', 'xylitol', 'country', 'decay', 'oral', 'health', 'adult', 'child', '8-10', 'gram', 'benefit', 'husband', 'toothpaste', 'excellent', 'gum', 'week', 'dentist', 'primetime', 'tv', 'oral', 'health', 'xylitol', 'child']",1
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!","['little', 'bit', 'hesitant', 'box', 'potato', 'dumpling', 'brand', 'texture', 'similar', 'brand', 'name', 'price', 'high', 'knoedel', 'plate', 'roast', 'gravy']",1
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'new', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'favorite', 'bad', 'kid', 'old', 'boy', 'old', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'similar', 'oreo', 'time', 'cookie', 'way', 'cookie']",1
107,"This doesn't taste as addicting as the real fried potato chips, but it's still very good. Considering it's low in calories and it's only popped..  it taste much better than the ones that are freeze dried. These pops taste as light as the rice crispy treats, but with a good amount of flavor and crunch. I like it, a small little pack that you can just grab when you feel like having something quick. I keep then in my room in case if I ever get the cravings for chips. All the flavors that come in are good too, no complains.  The package also arrived fast and it's pretty cheap, I would recommend people who is watching calories to get this!","['addicting', 'real', 'fried', 'potato', 'chip', 'low', 'calorie', 'one', 'freeze', 'pop', 'light', 'rice', 'crispy', 'treat', 'flavor', 'crunch', 'small', 'little', 'pack', 'quick', 'room', 'case', 'craving', 'chip', 'flavor', 'package', 'cheap', 'people', 'calorie']",1
116,"These almonds are the best. I love the tasted but was not quite as zippy or strong as I had hoped. I do eat lots of hot items so perhaps my taste buds are expecting more. Having said that, the flavor and freshness is tops.","['almond', 'best', 'tasted', 'zippy', 'strong', 'eat', 'lot', 'hot', 'item', 'bud', 'flavor', 'freshness', 'top']",1
124,"This ""Brachs Assorted Halloween Melocream Candy is available at Big M Stores for $1.19 per 11oz bag! I get them every year as a tradition. they have Chocolet Bats, Maple Jugs & Corn Stalks, Banana Half Moons & Corn Ears as well as traditional Candy Corn flavored Pumpkins.","['brachs', 'halloween', 'melocream', 'candy', 'available', 'big', 'm', 'store', 'bag', 'tradition', 'bat', 'maple', 'jug', 'corn', 'stalk', 'half', 'moon', 'corn', 'ear', 'traditional', 'candy', 'corn', 'pumpkin']",1
128,"We recently fell in love with Indian food.  Papads (after quickly toasted in a HOT oven) can be a healthy alternative to potatoe chips.  They are excellent alone or dipped in chip dip.  They are a very thin bread.  When cooked they are brittle and crisp, just like potatoe chips.  However they are baked, not fried and made of chickpea flour which is a little more healthy than potatoe chips.","['love', 'indian', 'food', 'papads', 'hot', 'oven', 'healthy', 'alternative', 'chip', 'excellent', 'chip', 'dip', 'bread', 'cooked', 'brittle', 'crisp', 'potatoe', 'chip', 'chickpea', 'healthy', 'potatoe', 'chip']",1
