,Text,Tokens,Labelled_topic
2,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,"['cup', 'aroma', 'flavor', 'speak', 'autumn', 'harvest', 'flavor', 'herbal', 'tea']",11
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,"['lot', 'tea', 'tisane', 'different', 'kind', 'time', 'time', 'week', 'fantastic', 'aroma', 'potpourri', 'deep', 'color', 'flavor']",11
55,"I have been using this for a year now, very good in tea, I use it on anything. My son puts it on his cereal, he is a very picky eater and he has no clue it isn't real sugar. I put it on my pancakes....Yuuuuummyyyy","['tea', 'son', 'cereal', 'picky', 'eater', 'clue', 'real', 'sugar', 'pancake']",11
75,I love the strength and taste of PG Tips. I grew up in England drinking this tea - and when I came to America in 2001 I just could not drink the weak tasteless tea that was being sold on the supermarket shelves - I have introduced my wife and friends to this tea - they now can't drink anything else!,"['strength', 'pg', 'tip', 'england', 'drinking', 'tea', 'weak', 'tasteless', 'tea', 'supermarket', 'shelf', 'wife', 'tea']",11
82,"I love the quantity and flavor of this tea. It's a little messy opening the pouches, the matcha can get all over your fingers and counter, but oh well. I purchase this at Costco, because the price is WAY better. My only complaint, is that I wish it were Organic.","['quantity', 'flavor', 'tea', 'little', 'messy', 'pouch', 'matcha', 'finger', 'counter', 'purchase', 'costco', 'price', 'way', 'complaint', 'organic']",11
91,"I am not a health nut and I had to keep an open mind with this product... but once I tried it it actually tasted really good. Just a tip, don't eat it by itself (not good). Try it with smoked salmon and cream cheese or make an avocado and turkey sandwich. Also toasting it for a few minutes will soften it a bit.","['health', 'nut', 'open', 'mind', 'tip', 'smoked', 'salmon', 'cream', 'cheese', 'avocado', 'turkey', 'sandwich', 'minute', 'bit']",11
97,This tea has a wonderful taste of blueberry.  It's even wonderful iced as a treat for family and guests alike.  Everyone who I have surved it to has loved it.,"['tea', 'wonderful', 'blueberry', 'iced', 'treat', 'family', 'guest']",11
111,"I drink a LOT of tea. I probably drink around 14 cups a day, and I drink the good stuff. All whole leaf, quality, loose-tea. So I know a good cup of tea when I see one.  These are the ONLY bottles of tea that are of FANTASTIC quality.  Ito-En makes amazing stuff, and this is my absolute favorite tea from them. The price is excellent and the drink is SO healthy; I have it delivered once a month, every month.  HIGHLY recommended. :)","['lot', 'tea', 'stuff', 'leaf', 'loose-tea', 'cup', 'tea', 'bottle', 'tea', 'fantastic', 'ito-en', 'amazing', 'stuff', 'absolute', 'favorite', 'tea', 'price', 'excellent', 'drink', 'healthy']",11
143,"I've been fan of celestial seasonings teas for some time and this is one of my favorites. Something strange happens in the packing because flavour differs a lot from one box to another: the one I'm tasting right now has a lot of cinnamon, while others have a better balance of ingredients. Eventhough they all are great teas and the 5 star rating suits them well.","['fan', 'celestial', 'seasoning', 'tea', 'time', 'favorite', 'strange', 'packing', 'flavour', 'differs', 'lot', 'box', 'lot', 'cinnamon', 'better', 'balance', 'ingredient', 'tea', 'star', 'rating', 'suit']",11
195,We have been paying big bucks for little cans of Rooibos tea at the health food store and brewing ice tea with it that we drink by the gallon. I was surprised that the Davidson's Rooibos was richer and tastier and brewed up a nice clear amber/brown color. Better quality and less expensive!,"['big', 'buck', 'little', 'can', 'rooibos', 'tea', 'health', 'food', 'store', 'brewing', 'ice', 'tea', 'gallon', 'davidson', 'rooibos', 'richer', 'tastier', 'clear', 'color', 'expensive']",11
199,"i ate the graham crackers and they were delicious.  i shared the graham crackers with lana and she said also that the graham crackers were delicious.  both lana and i agreed on the strong oats taste and a lingering graham cracker taste, less subtle than other graham crackers.  i asked lana if this was a cracker she would use for the crust of a banana cream or key lime pie.  with no hesitation she said yes.  this is a wonderful alternative snack to cookies and chips.  lana is with me in highly recommending BACK TO NATURE GOLDEN HONEY OAT GRAHAMS.","['graham', 'cracker', 'delicious', 'graham', 'cracker', 'lana', 'graham', 'cracker', 'delicious', 'lana', 'strong', 'oat', 'lingering', 'graham', 'cracker', 'subtle', 'graham', 'cracker', 'lana', 'cracker', 'crust', 'banana', 'cream', 'key', 'lime', 'pie', 'hesitation', 'wonderful', 'alternative', 'snack', 'cooky', 'chip', 'lana', 'nature', 'golden', 'honey', 'oat', 'graham']",11
201,"This is the first time we bought this tea from Amazon, we used to get it directly from Revolution Tea. I don't know if that made any difference, or if it was just a change in the tea's composition (along with the packaging), but what used to be my wife's favorite tea now has a metallic smell and aftertaste, with much less of a pomegranate flavor and now a strong, almost cheap-generic-green-tea flavor. Really disappointing, especially since we're stuck with six boxes.","['time', 'tea', 'revolution', 'tea', 'difference', 'change', 'tea', 'composition', 'packaging', 'wife', 'favorite', 'tea', 'metallic', 'smell', 'aftertaste', 'pomegranate', 'flavor', 'strong', 'cheap-generic-green-tea', 'flavor', 'disappointing', 'box']",11
203,"This tea is really quite good. It is a quality black tea with a subtle cinnamon flavoring. Definitely one of my favorites!  As with many food items sold on Amazon, I would recommend trying a single box from your local retailer (if you can find it) before committing to a whole six-pack. Once you know you like it, however, the value of this offering really can't be beat anywhere!","['tea', 'black', 'tea', 'subtle', 'cinnamon', 'favorite', 'food', 'item', 'single', 'box', 'local', 'retailer', 'six-pack', 'value', 'offering']",11
