,Text,Labelled_topic
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.",1
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.",1
9,"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!",1
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.",1
13,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.",1
16,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).",1
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.",1
24,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.  It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.  So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.  You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.  Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.",1
28,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.",1
36,"I can't believe I didn't check out the ingredients for this.  I never would have bought it if I would have known there was artificial sweetener in it!  First cup though, I got that weird after taste it gives and that was all she wrote.  If you don't have a problem with a chemical taste or concerns about health problems, you may like it.  Not worth it to us.",1
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.",1
48,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,1
55,"I have been using this for a year now, very good in tea, I use it on anything. My son puts it on his cereal, he is a very picky eater and he has no clue it isn't real sugar. I put it on my pancakes....Yuuuuummyyyy",1
56,"Of the Erin Baker products, the Fruit & Nut Mini Breakfast Cookie is my favorite!  I have one mini breakfast cookie (about 100 calories) with a cup of coffee in the morning and I feel satisfied and ready to start the day.  Very healthy, low in caloreis, and super delicious is what makes the product work for me.  Try it, you'll like it.",1
62,"I love this drink. Squeeze a bit into water, lemonade , or club soda. This tastes great. I found it to have a fruit taste a little sweet, and the best part you do not have to use a lot. I found it out to be  better then the Mio. Fits in my bag, no more pricey drinks at stores no more. A few drops and I have a refreshing drink. Everyone in my family really enjoyed it as well.",1
