,Text,Labelled_topic
2,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,5
5,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.  I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.   When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.  I would not recommend anyone buy this product.",5
8,"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.",5
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,5
26,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.  But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.",5
30,Coffee is just as good as other Fair Trade coffees that I buy.  I have a One:One pod maker and these fit in them just fine.  I do like my coffee a little on the strong side and can use the pod to make a very big cup of coffee before tossing.  I would recommend this product.,5
35,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!",5
46,I'm grateful for my Keurig coffee maker!  The taste of Green Mountain brand Dark Magic is terrific & got used up real fast!,5
52,"UPDATE JANUARY 2011 I am now a pretty regular drinker of this stuff! In fact, I just ordered some more and I note the price has gone down which makes it very afforable, take in the free shipping, and it's an absolutely delicious  steal!  I am really enjoying this Coffee. I usually drink Folgers at home and have done so for nearly 20 years. This was a pleasant surprise, the aroma as it was brewing was scintillating, the taste (with my regular creamer and sugar) was a treat for my taste buds. I finished two cups and was tempted to drink more because it was such a smooth tasting coffee. I used 6 heaped tea-spoon fulls for make 8 cups (as marked on my coffee maker) and it worked out just about right for me; though some hard line coffee drinkers make like it stronger than that! The package itself was a little hard to open, I found the best way was to cut the top off with scissors and use the metal bands on the package to securely close it as airtight as possible.  This a really nice coffee but the only way to be sure you will like it is to try it.",5
75,I love the strength and taste of PG Tips. I grew up in England drinking this tea - and when I came to America in 2001 I just could not drink the weak tasteless tea that was being sold on the supermarket shelves - I have introduced my wife and friends to this tea - they now can't drink anything else!,5
76,I was looking for all natural flavored coffee (not easy to find) when my college aged son brought some of this home. I could not find it locally at grocery stores or Starbucks locations so I'm glad it's available at amazon. It has a mild vanilla flavor- not overwhelming like some of the artificially flavored coffees. I will continue to order it.,5
87,We love the Hazelnut coffee in our house! Great flavor and the coffee isn't bitter or too strong. I also love the price! Buying it here in a pack of 50 makes it cheaper than any of the stores in our city.,5
94,Great strong tasting gum BUT doesn't last long BUT is still worth it especially if your not allowed to have regular sf gum! The cinnamon taste is very great!,5
97,This tea has a wonderful taste of blueberry.  It's even wonderful iced as a treat for family and guests alike.  Everyone who I have surved it to has loved it.,5
103,"I will start by being kind, It is a good idea to save money with an item or concept like this. It makes good sense to use your own coffee beans and avoid the cost of the pre-filled commercial K-cups you buy at the store.  Now, I received my DisposaKups over a month after ordering them and put them to use.  I was immediately disappointed, filters did not hold very much coffee, It was a struggle to get the lids to fit together with the filter and outer plastic cup.  The coffee was very weak.  This product actually creates more waste in a landfill than the commercially made K-cups. The body and lids are plastic.  Normal K-cups do not have a plastic lid.  Notice they say 100% disposable....So put them in the trash. They are not recyclable = landfill.  They are not convenient, they are a bit messy, a pain to put together and still expensive.  Not worth it! There are better alternatives out there that will save you money, make better coffee and not go into a landfill.  Sorry, I wish I had better news, I think I will return these.",5
