,Text,Labelled_topic
15,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,4
17,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.",4
20,"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!",4
21,Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,4
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,4
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!",4
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,4
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,4
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)",4
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,4
