,Text,Labelled_topic
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,0
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,0
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,0
37,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.",0
40,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,0
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,0
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,0
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!",0
54,"I was not impressed with these cookies when I tried them, when they first came out and the company had only one flavor. I did not care for them but I knew that something more satisfying could be had because I'd tried others.  I have found many great paleo cookie recipes on web sites and in paleo cookbooks that I love and they my friends, cooking students, and neighbors have really enjoyed. If you're looking for rock your taste buds paleo cookies, I suggest you check out the recipes for chocolate chip cookies and other flavors of cookies made from blanched almond flour found in The Gluten Free Almond Flour Cookbook, Make It Paleo, and on Elana Amsterdam's web site.",0
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,0
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.",0
