,Text,Tokens,Labelled_topic
10,These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand.  Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free,"['tasting', 'cooky', 'texture', 'husband', 'brand', 'pamelas', 'product', 'chocolate', 'simple', 'bite']",9
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber']",9
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'food', 'cardboard', 'cardboard', 'way', 'money', 'carb', 'sweet', 'snack', 'diamond', 'almond', 'sugar', 'jar', 'pack']",9
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'protein', 'bar', 'problem', 'protein', 'bar', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'peanut', 'butter', 'snack', 'friend', 'treat']",9
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'choice', 'life']",9
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,"['wasabi', 'texture', 'friend']",9
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'kid', 'boy', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'oreo', 'time', 'cookie', 'way', 'cookie']",9
65,"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.","['chocolate', 'lover', 'peppermint', 'disgusting', 'dark', 'problem', 'sweetener', 'soda', 'drinker', 'problem', 'sweetener', 'chocolate', 'chocolate']",9
71,This is the second time I have purchased this item. No sugar added taste like regular chocolate not like sugar free which is awful. Good night time drink before bed,"['time', 'item', 'sugar', 'chocolate', 'sugar', 'night', 'time', 'drink', 'bed']",9
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'essence', 'way', 'styrofoam', 'peanut', 'star', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",9
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'calorie', 'check']",9
91,"I am not a health nut and I had to keep an open mind with this product... but once I tried it it actually tasted really good. Just a tip, don't eat it by itself (not good). Try it with smoked salmon and cream cheese or make an avocado and turkey sandwich. Also toasting it for a few minutes will soften it a bit.","['health', 'nut', 'mind', 'tip', 'salmon', 'cream', 'cheese', 'avocado', 'turkey', 'sandwich', 'minute', 'bit']",9
