,Text,Tokens,Labelled_topic
12,"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!","['vet', 'cat', 'tarter', 'buildup', 'result', 'breath', 'cat', 'food', 'vet', 'delivery', 'tarter', 'buildup', 'breath', 'life', 'cat', 'chew']",0
42,"Right now I own 3 cats that I found outside, a good eight years ago, and I found another cat which I adopted also.  I have always fed them Eukanuba Adult Lamb&Rice dry cat food, and they truly LOVE IT!  When you first open the bag you can smell the savory aroma!  Of the 3 cats that I found outdoor and adopted, one turned out to be a Turkish Angora and the other has markings similar to that of a snow leopard, and the third cat I found out is part Egyptian mau.  I also feed a feral cat who has been living in my back yard for 10 years.  They all love this food, and even when they changed the formula of this food a few years ago, they still eat it and love it!  If you read the ingredients, it is excellently made, and a real plus for their diet!  They've been eating it for years now, and I have yet to see any of my cats turn up their nose to this food.  The other dry foods that my cats love is Fancy Feast Gourmet Filet Mignon Flavor with Real Seafood & Shrimp Dry Cat Food and they've just started eating Eagle Pack Natural Pet Food, Indoor Formula for Cats and a cat food brand called 'Artemis'.  I haven't any problems with them eating any of these dry foods, and I've been rescuing cats for over 30 years now, and have owned as many as 7 cats at one time.  One set of kittens were born outdoor and I brought them indoors with their mother and kept them all until the day they passed on(they all lived to be close to 20 years of age) and they too ate Eukanuba lamb&rice and loved it!  I have had foods that they turned up their nose with like 'Chicken Soup' and 'Taste of the Wild'.  The same way we humans have our likes and dislikes is the same way that these cats have their likes and dislikes.  What's good for one cat might not be good for another.  You just have to learn your cat, and see what they like and just give it to them.  While my cats are in love with Eukanuba lamb&rice, maybe your cat will also or maybe not, but it isn't fair to not try this food because of a review where the owner says that their cat doesn't like it. As previously stated, maybe your cat will not like it or maybe your cat will love it!  I've tried cat foods based on good reviews figuring that the food will automatically be a hit and sometimes it was and sometimes it wasn't!  It's all up to the cat!","['cat', 'year', 'cat', 'rice', 'cat', 'food', 'bag', 'aroma', 'cat', 'angora', 'marking', 'leopard', 'cat', 'mau', 'cat', 'yard', 'year', 'food', 'formula', 'food', 'year', 'ingredient', 'plus', 'diet', 'year', 'cat', 'nose', 'food', 'food', 'cat', 'filet', 'mignon', 'flavor', 'seafood', 'shrimp', 'cat', 'food', 'eagle', 'pack', 'food', 'indoor', 'formula', 'cat', 'cat', 'food', 'brand', 'problem', 'food', 'cat', 'year', 'cat', 'time', 'set', 'kitten', 'indoors', 'mother', 'year', 'age', 'lamb', 'rice', 'food', 'soup', 'way', 'human', 'like', 'dislike', 'way', 'cat', 'like', 'dislike', 'cat', 'cat', 'cat', 'love', 'rice', 'cat', 'food', 'review', 'owner', 'cat', 'cat', 'cat', 'cat', 'food', 'review', 'food', 'hit', 'cat']",0
115,"We were looking for an organic food after the melamine poisoning of pet food debacle. Newman's Own dry foods for cats and dogs are manufactured in the US per their corporate veterinarian. Newman's Own is up front about their ingredients. For an organic food it is affordable. Also it has been great at keeping skin issues under control. Lastly Newman's Own is listed as a ""More Responsible Pet Food Company"" on several websites.","['food', 'melamine', 'poisoning', 'food', 'debacle', 'food', 'cat', 'dog', 'newman', 'ingredient', 'food', 'issue', 'control', 'pet', 'food', 'company', 'website']",0
117,Product has a shelf life of two years and was labeled as produced in December of 2009. Product leaked from seal in carton.,"['shelf', 'life', 'year', 'december', 'seal', 'carton']",0
147,Dr. Smoothie Crushed Fruit is great tasting and easy to make up with other foods that you like. I like the fact that it only contains fruit and no other chemicals or additives since I am allergic to a lot of food.,"['smoothie', 'fruit', 'food', 'fact', 'fruit', 'chemical', 'additive', 'lot', 'food']",0
193,"As I have with all other Earth's Best jarred baby food, I won't be purchasing these Dinners for my baby because the jar lids contain BPA.  I contacted Earth's Best's consumer relations dept. personally, and the representative read me a prepared statement saying that the epoxy resin that lines Earth's Best baby food jar lids contains ""trace amounts"" of BPA, but it ""doesn't come into direct contact with the food.""  That kind of lukewarm response wasn't enough to put my concerns about BPA to rest ... after all, packaged food is jostled-around so much during shipping that these jars could spend days upside down, with the food resting directly on the jar lids.  So I guess I'll have to pass on these jarred Dinners for now.  (The Earth's Best rep did say that they were doing ""accelerated testing"" of BPA-free alternatives for lining their baby food jars).  This is such a shame, because Earth's Best is the only company that makes organic, pre-packaged Stage 2 complete meals (e.g., with meat/protein, veggies & carbs/starch) in PUREE form.  All the other organic baby food manufacturers, such as Plum, Sprout, Ella's Kitchen, etc., only make Stage 3 meals, in chunky form.  Earth's Best does make some baby food in BPA-free squeeze pouches, but that doesn't include its Dinner line.  I was hoping to be able to expose my little-one to a wider variety of flavors and well-balanced meals while still at the puree stage.  But I guess I'll have to wait until she's old enough for Stage 3 chunky meals, or make her baby food myself.  (Virtually impossible for this super-busy and domestically-challenged mom, LOL!)","['earth', 'baby', 'food', 'dinner', 'baby', 'jar', 'lid', 'earth', 'consumer', 'relation', 'representative', 'statement', 'resin', 'line', 'baby', 'food', 'jar', 'lid', 'amount', 'bpa', 'contact', 'food', 'kind', 'response', 'concern', 'bpa', 'food', 'jostled-around', 'jar', 'day', 'food', 'jar', 'lid', 'guess', 'dinner', 'earth', 'rep', 'testing', 'alternative', 'baby', 'food', 'jar', 'shame', 'earth', 'company', 'stage', 'meal', 'veggie', 'form', 'baby', 'food', 'manufacturer', 'plum', 'sprout', 'ella', 'stage', 'meal', 'form', 'earth', 'baby', 'food', 'squeeze', 'pouch', 'dinner', 'line', 'little-one', 'variety', 'flavor', 'meal', 'stage', 'guess', 'stage', 'meal', 'baby', 'food', 'mom', 'lol']",0
217,"These are better than ""regular"" pretzels. They are light and crunchy with a buttery taste. I am so glad to have found these. They restored hope that I can have good food without the ""aftermath"" that typically comes with eating.  My mother, who has no problem with gluten, tried them and liked them. She even packed up some to take with her after tasting them. She was surprised, because she thought they were going to be salty - like ""normal"" pretzels.","['pretzel', 'buttery', 'food', 'aftermath', 'mother', 'problem', 'gluten', 'pretzel']",0
218,"GoPicnic is a wonderful option for my college aged daughter.  She never really stops to eat, and when she does finally give into hunger it's usually not good food.  She loves the convenience of the packaging and the freshness of  GoPicnic.  I appreciate the nutrition in each package.  The new Salmon and Crackers is one of her favorites.","['gopicnic', 'option', 'college', 'daughter', 'hunger', 'food', 'convenience', 'packaging', 'freshness', 'nutrition', 'package', 'salmon', 'cracker', 'favorite']",0
235,I take 5 a day and will update when my bloodwork is done again.  I am hoping for the best!  The taste is better than I thought it would be.,['bloodwork'],0
242,"I keep a few of these in my desk at work for days when I don't feel like going out to lunch. They are super convenient because you can microwave them as is, just tear open slightly to vent and put in the microwave. No bowl required, just a spoon, or in a pinch, tilt your head back and slurp it!  The taste is great. I love Indian food, and I love vegetables so this is perfect for me. The only thing to mention is that one of my co workers complained about the smell, but he's that sorta complainy person who doesn't eat Indian food and prefers Burger King. It tastes great, smells great, and is super convenient.","['desk', 'work', 'day', 'lunch', 'convenient', 'vent', 'microwave', 'bowl', 'spoon', 'tilt', 'head', 'food', 'vegetable', 'thing', 'mention', 'worker', 'smell', 'person', 'food', 'prefers', 'smell', 'convenient']",0
