,Text,Tokens,Labelled_topic
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.","['okay', 'soft']",9
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber', 'healthier']",9
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'horrible', 'food', 'cardboard', 'cardboard', 'way', 'trash', 'money', 'better', 'low', 'carb', 'sweet', 'snack', 'blue', 'diamond', 'almond', 'brown', 'sugar', '8-ounce', 'jar', 'pack']",9
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'different', 'protein', 'bar', 'main', 'problem', 'protein', 'bar', 'favorite', 'normal', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'favorite', 'peanut', 'butter', 'snack', 'friend', 'healthy', 'treat']",9
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'sweet', 'delicious', 'healthy', 'choice', 'healthy', 'life']",9
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'new', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'favorite', 'bad', 'kid', 'old', 'boy', 'old', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'similar', 'oreo', 'time', 'cookie', 'way', 'cookie']",9
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'worst', 'essence', 'way', 'little', 'packing', 'styrofoam', 'peanut', 'wrong', 'bad', 'star', 'low-cal', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",9
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'creative', 'calorie', 'check']",9
91,"I am not a health nut and I had to keep an open mind with this product... but once I tried it it actually tasted really good. Just a tip, don't eat it by itself (not good). Try it with smoked salmon and cream cheese or make an avocado and turkey sandwich. Also toasting it for a few minutes will soften it a bit.","['health', 'nut', 'open', 'mind', 'tip', 'smoked', 'salmon', 'cream', 'cheese', 'avocado', 'turkey', 'sandwich', 'minute', 'bit']",9
92,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.  This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.  The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.","['lot', 'cereal', 'lot', 'high-fiber', 'kind', 'oatmeal', 'mini', 'shredded', 'wheat', 'raisin', 'bran', 'instance', 'healthier', 'option', 'tried', 'kashi', 'cereal', 'plain', 'cardboard', 'grape', 'nut', 'horrendous', 'yeast', 'cat', 'food', 'closer', 'litter', 'texture', 'antioxidant', 'berry', 'yogurt', 'crunch', 'better', 'high-fiber', 'cereal', 'decent', 'health', 'bar', 'broken', 'cereal', 'cluster', 'yogurt', 'plain', 'cereal', 'decent', 'yes', 'sugar', 'fiber', 'calorie', 'part', 'bran', 'wheat', 'higher', 'sugar', 'calorie', 'lower', 'dietary', 'antioxidant', 'bonus', 'line', 'grocery', 'list', 'sale', 'price', 'right']",9
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'better', 'regular', 'butter', 'egg', 'higher', 'level', 'linoleic', 'acid', 'cla', 'home']",9
120,"I love watching TV munching on this.  It's got NOTHING IN IT but the vegetables!  Much healthier than ... anything else!  It's not super cheap, but it's super healthy.","['tv', 'vegetable', 'healthier', 'super', 'cheap', 'healthy']",9
122,"Planter's Big Nut bars are just that:  Big and full of nuts (honey roasted peanuts, almonds, and cashews)  I often have issues with this kind of snack, since they so often try to position themselves as a healthy choice and they so often are not one.  Aside from calling itself a granola bar, this snack does not make any particular health claims, yet it actually is a relatively good choice - VERY preferable to a candy bar (which is really where these types of snacks belong).  It contains 12 g of fat, but almost none of it (1.5 g) is saturated.  Each bar contains no cholesterol, a reasonable 230 mg of sodium, and 220 calories, while providing 7 g of protein, 3 g of fiber, calcium, iron, vitamin E, and phosphorous.  Like most of these bars, there's quite a lot of sugar, but again, when compared to other candy bars, it's not a bad choice, and they easily taste as good as most candy bars.  I wouldn't hesitate to have one of these as an occasional treat.","['planter', 'big', 'nut', 'bar', 'big', 'nut', 'honey', 'peanut', 'almond', 'cashew', 'issue', 'kind', 'snack', 'position', 'healthy', 'choice', 'aside', 'granola', 'bar', 'snack', 'particular', 'health', 'claim', 'choice', 'preferable', 'candy', 'bar', 'type', 'snack', 'g', 'fat', 'bar', 'cholesterol', 'reasonable', 'mg', 'sodium', 'calorie', 'g', 'protein', 'g', 'fiber', 'calcium', 'iron', 'vitamin', 'e', 'phosphorous', 'bar', 'lot', 'sugar', 'candy', 'bar', 'bad', 'choice', 'candy', 'bar', 'occasional', 'treat']",9
129,"As far as cookies go, this isn't going to ruin your diet (much) and it's pretty tasty too!  Three cookies, and they aren't tiny cookies either, are 140 calories.  There are 2g of both fiber & protein.  They aren't too sweet, which is great for me.  These are called ""cookies"" but they seem more like crackers.  They are kind of dry, which I don't mind, but the blueberries make them a little chewy.  The ingredients DO NOT list sulfur dioxide (a color preservative for many dried fruits).  Yay!  Sulfur gives me hives anyway.  As of right now, these are $18.22 per package for 4 packages of 10 servings each.  I'm hoping these become subscribe & save items.  These are good & I will probably get them again.","['cooky', 'diet', 'cooky', 'tiny', 'cooky', 'calorie', 'fiber', 'protein', 'sweet', 'cooky', 'cracker', 'kind', 'dry', 'blueberry', 'little', 'chewy', 'ingredient', 'sulfur', 'color', 'preservative', 'dried', 'fruit', 'sulfur', 'right', 'package', 'package', 'serving', 'subscribe', 'save', 'item']",9
134,Do you want people to think you ran out to the theater to buy popcorn? This product is great and has that theater taste.,"['people', 'theater', 'theater']",9
144,These are very delish - crunchy & flavorful - easy to transport for kids lunches and helps provide the daily requirements for fruit.,"['delish', 'crunchy', 'flavorful', 'easy', 'kid', 'lunch', 'daily', 'requirement', 'fruit']",9
152,"There is a lot of variability in the quality of macadamians, even from the same producer.  I've only received one bag of these, but they are perfect.  I've run across many that have had varying degrees of bitterness, usually accompanied by an unnaturally hard consistency, as though they had been harvested too early.  Not these.  They have perfect consistency and flavor.  The vast majority are whole as opposed to halves or smaller pieces.  [Update:  I've now ordered about 8 bags over a period of about a year.  The quality has be consistently excellent.}  I use macadamia nuts as a regular part of my diet.  They preferentially reduce bad cholesterol due to their high content of monounsaturated fats.  They are low in carbs, and have very few simple carbs, so they will not only take the edge off your appetite, they will help keep it off.  Unlike most nuts, they are low in oxalate, which means regular use will not increase the risk of kidney stones.  (Pistachios and walnuts are also low in oxalate.)  The only catch is that their high healthy fat content means high calorie count per unit volume.  To dodge that bullet, I just ration them out as opposed to absentmindedly eating from a large container.  This is a great product.  I'm happy to give them yet another 5-star review.","['lot', 'variability', 'macadamians', 'producer', 'bag', 'perfect', 'degree', 'bitterness', 'hard', 'consistency', 'early', 'perfect', 'consistency', 'flavor', 'vast', 'majority', 'half', 'smaller', 'piece', 'bag', 'period', 'excellent', 'macadamia', 'nut', 'regular', 'diet', 'bad', 'cholesterol', 'high', 'content', 'fat', 'low', 'carbs', 'simple', 'carbs', 'edge', 'appetite', 'nut', 'low', 'oxalate', 'regular', 'use', 'risk', 'kidney', 'stone', 'pistachio', 'walnut', 'low', 'oxalate', 'catch', 'high', 'healthy', 'fat', 'content', 'high', 'calorie', 'count', 'unit', 'volume', 'bullet', 'large', 'container', 'happy', '5-star', 'review']",9
155,"It is not the best way to buy Beer Nuts.  Perhaps the product had been exposed to high heat and a ""whole lot of shaking"".  Most of the ""coating"" and ""flavoring"" was off of the nuts.  Even though the individual cans are ""sealed"", it is like the nuts had been sitting out in a bowl for a long time on a hot, humid day.","['best', 'way', 'beer', 'nut', 'high', 'heat', 'lot', 'coating', 'flavoring', 'nut', 'individual', 'can', 'nut', 'bowl', 'long', 'time', 'hot', 'humid']",9
157,i loved these peanuts they were just so good all of them and they came just as advertised.,"['peanut', 'advertised']",9
158,"Sticks and Twigs may seem a little pricey compared to regular pretzels, but the bag lasts a long time and the ingredients, like flax seeds, quinoa, chia seeds and curry, are good for you. They are very crunchy, but tasty. For some added protein, I like to dip them in peanut butter.","['stick', 'twig', 'little', 'pricey', 'regular', 'pretzel', 'bag', 'long', 'time', 'ingredient', 'flax', 'seed', 'chia', 'seed', 'curry', 'crunchy', 'added', 'protein', 'peanut', 'butter']",9
