,Text,Tokens,Labelled_topic
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.","['citrus', 'drink', 'sweet', 'sour', 'bubble', 'sparkle', 'addition', 'punch', 'favorite', 'fruit', 'juice', 'draw', 'tad', 'bit', 'expencive', 'family', 'normal', 'beverage', 'choice', 'terrific', 'treat', 'occational', 'indulgence']",9
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.","['okay', 'soft']",9
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber', 'healthier']",9
24,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.  It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.  So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.  You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.  Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.","['vine', 'se', 'carbonated', 'water', 'concentrate', 'mixture', 'apple', 'grape', 'tangerine', 'acai', 'concentrate', 'list', 'apple', 'grape', 'common', 'fruit', 'sweetener', 'beverage', 'taste', 'calorie', 'lot', 'oz', 'carbonated', 'water', 'carbohydrate', 'gram', 'carbs', 'gram', 'sugar', 'apple', 'grape', 'highest', 'concentration', 'fructose', 'fruit', 'sugar', 'commercial', 'beverage', 'sweeter', 'regular', 'cane', 'sugar', 'cheaper', 'diarrhea', 'child', 'drink', 'hit', 'parade', 'pretend', 'healthy', 'drinks-', 'mass', 'concern', 'ever-growing', 'girth', 'continued', 'growth', 'better', 'diet', 'coke', 'better', 'sparkling', 'water', 'calorie', 'favorite', 'bella', 'familglia', 'pomegranate', 'lime', 'lemon', 'orange', 'flavor', 'time', 'time', 'local', 'supermarket', 'organic', 'pure', 'fruit', 'juice', 'pomegranate', 'pour', 'cup', 'glass', 'favorite', 'sparking', 'water', 'quarter', 'cup', 'oz', 'bottle', 'favorite', 'sparkling', 'water', 'actual', 'juice', 'fructose', 'extract']",9
28,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.","['substitute', 'sugar', 'drink', 'funny', 'aftertaste', 'drink', 'alternative', 'sugar', 'reason', 'teeth', 'xylitol', 'country', 'decay', 'oral', 'health', 'adult', 'child', '8-10', 'gram', 'benefit', 'husband', 'toothpaste', 'excellent', 'gum', 'week', 'dentist', 'primetime', 'tv', 'oral', 'health', 'xylitol', 'child']",9
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'horrible', 'food', 'cardboard', 'cardboard', 'way', 'trash', 'money', 'better', 'low', 'carb', 'sweet', 'snack', 'blue', 'diamond', 'almond', 'brown', 'sugar', '8-ounce', 'jar', 'pack']",9
36,"I can't believe I didn't check out the ingredients for this.  I never would have bought it if I would have known there was artificial sweetener in it!  First cup though, I got that weird after taste it gives and that was all she wrote.  If you don't have a problem with a chemical taste or concerns about health problems, you may like it.  Not worth it to us.","['ingredient', 'artificial', 'sweetener', 'weird', 'problem', 'chemical', 'concern', 'health', 'problem']",9
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'different', 'protein', 'bar', 'main', 'problem', 'protein', 'bar', 'favorite', 'normal', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'favorite', 'peanut', 'butter', 'snack', 'friend', 'healthy', 'treat']",9
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'sweet', 'delicious', 'healthy', 'choice', 'healthy', 'life']",9
62,"I love this drink. Squeeze a bit into water, lemonade , or club soda. This tastes great. I found it to have a fruit taste a little sweet, and the best part you do not have to use a lot. I found it out to be  better then the Mio. Fits in my bag, no more pricey drinks at stores no more. A few drops and I have a refreshing drink. Everyone in my family really enjoyed it as well.","['drink', 'bit', 'water', 'lemonade', 'club', 'soda', 'fruit', 'little', 'sweet', 'best', 'lot', 'better', 'mio', 'bag', 'pricey', 'drink', 'store', 'drop', 'refreshing', 'drink', 'family']",9
65,"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.","['hot', 'chocolate', 'lover', 'disappointed', 'peppermint', 'disgusting', 'dark', 'little', 'better', 'problem', 'artifical', 'sweetener', 'diet', 'soda', 'drinker', 'problem', 'artifical', 'sweetener', 'strong', 'hot', 'chocolate', 'chocolate']",9
71,This is the second time I have purchased this item. No sugar added taste like regular chocolate not like sugar free which is awful. Good night time drink before bed,"['second', 'time', 'item', 'sugar', 'regular', 'chocolate', 'sugar', 'free', 'awful', 'night', 'time', 'drink', 'bed']",9
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'worst', 'essence', 'way', 'little', 'packing', 'styrofoam', 'peanut', 'wrong', 'bad', 'star', 'low-cal', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",9
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'creative', 'calorie', 'check']",9
79,"Coconut water with a hint of pineapple, shipped to the US from Indonesia, packaged in (usually) non-recyclable, disposable containers, and catering to the... sports drink market (""good source of electrolytes"")?  I took a  8.5 ounce container and poured 6 servings, for 4 teenagers and 2 adults.  First impression?  The teens (serious athletes) were not told what the drink was, but I did mention that it was being marketed as a potential sports drink.  The result?  No negative votes, but no one would choose it over existing drinks.  Everyone recognized the pineapple flavor instantly.  ""It leaves a strange feeling in my mouth,"" one teen said.  This was probably the coconut water; it had a residual flavor and feel.  There was no straw included with the package, so the opening and pouring needed the assistance of a fork or knife.  It's mostly (cane) sugar water, so why bother?  But the biggest issue is the waste.  Coconut sugar water from Indonesia?  What's the carbon footprint of this product?  And the container has 2 ""recycle"" symbols on it, but, like milk cartons, it is difficult to find a community that will actually keep them out of the landfill.  Bottom line?  It's not that tasty, being little more than sugar water, and the transport and packaging waste really don't fit into a culture (for me) focusing on sustainability.","['coconut', 'water', 'hint', 'pineapple', 'indonesia', 'non-recyclable', 'disposable', 'container', 'sport', 'market', 'source', 'electrolyte', 'ounce', 'container', 'poured', 'serving', 'teenager', 'adult', 'impression', 'teen', 'athlete', 'drink', 'mention', 'potential', 'sport', 'result', 'negative', 'vote', 'drink', 'pineapple', 'flavor', 'strange', 'feeling', 'mouth', 'teen', 'coconut', 'water', 'residual', 'flavor', 'straw', 'package', 'opening', 'pouring', 'assistance', 'fork', 'sugar', 'water', 'bother', 'biggest', 'issue', 'waste', 'coconut', 'sugar', 'water', 'indonesia', 'carbon', 'footprint', 'container', 'symbol', 'milk', 'carton', 'difficult', 'community', 'landfill', 'line', 'sugar', 'water', 'transport', 'packaging', 'waste', 'culture', 'sustainability']",9
92,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.  This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.  The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.","['lot', 'cereal', 'lot', 'high-fiber', 'kind', 'oatmeal', 'mini', 'shredded', 'wheat', 'raisin', 'bran', 'instance', 'healthier', 'option', 'tried', 'kashi', 'cereal', 'plain', 'cardboard', 'grape', 'nut', 'horrendous', 'yeast', 'cat', 'food', 'closer', 'litter', 'texture', 'antioxidant', 'berry', 'yogurt', 'crunch', 'better', 'high-fiber', 'cereal', 'decent', 'health', 'bar', 'broken', 'cereal', 'cluster', 'yogurt', 'plain', 'cereal', 'decent', 'yes', 'sugar', 'fiber', 'calorie', 'part', 'bran', 'wheat', 'higher', 'sugar', 'calorie', 'lower', 'dietary', 'antioxidant', 'bonus', 'line', 'grocery', 'list', 'sale', 'price', 'right']",9
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'better', 'regular', 'butter', 'egg', 'higher', 'level', 'linoleic', 'acid', 'cla', 'home']",9
120,"I love watching TV munching on this.  It's got NOTHING IN IT but the vegetables!  Much healthier than ... anything else!  It's not super cheap, but it's super healthy.","['tv', 'vegetable', 'healthier', 'super', 'cheap', 'healthy']",9
