,Text,Tokens,Labelled_topic
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'best', 'teaspoon', 'everyday', 'yummy', 'coconut', 'oil', 'wonder', 'hair', 'price', 'second', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'dry', 'skin', 'cold', 'winter', 'month', 'shea', 'butter', 'skin']",6
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",6
37,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.","['flavor', 'benefit', 'fresh', 'wheat', 'grass', 'difficult', 'hand', 'powder', 'punch', 'pleased']",6
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,"['time', 'pamela', 'bread', 'mix', 'closest', 'regular', 'bread']",6
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!","['little', 'bit', 'hesitant', 'box', 'potato', 'dumpling', 'brand', 'texture', 'similar', 'brand', 'name', 'price', 'high', 'knoedel', 'plate', 'roast', 'gravy']",6
51,"Bought these to try some new recipies, but have found they are quite tasty straight out of the can, chopped up in my salad!","['new', 'recipies', 'salad']",6
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['pleased', 'salt', 'salty', 'regular', 'salt', 'salt', 'sea', 'little', 'bit', 'long', 'way', 'thing', 'hand']",6
61,This is a very good mix at a reasonable price. I snack on trail mix at work and put 1 of these out in the snack area with the standard pretzels and candy. My fellow employees must have liked since it was gone within a day,"['mix', 'reasonable', 'price', 'trail', 'mix', 'work', 'snack', 'area', 'standard', 'pretzel', 'fellow', 'employee']",6
86,My wife is now addicted to this.  She uses it to make her own style of salad dressing and of course it is great for making garlic bread.  This is too good.  We need to buy another one real soon.,"['wife', 'style', 'salad', 'course', 'garlic', 'bread', 'real']",6
99,"Having worked in a movie theater in high school and through college, popcorn is a very nice treat.  That was 40 years ago, and it is still a very nice treat.  The seasoning salt makes this treat even more enjoyable by adding the right flavor to the popcorn to bring back memories of going to a movie in a less stressful time.","['movie', 'theater', 'high', 'school', 'college', 'popcorn', 'treat', 'year', 'treat', 'seasoning', 'salt', 'treat', 'enjoyable', 'right', 'flavor', 'popcorn', 'memory', 'movie', 'stressful', 'time']",6
110,"I love VitaMuffins, but my supermarket sells one box of 4 muffins for $6.29.  Instead I bought the mix, 3 boxes for $16.00, and each box makes 12 muffins. Instead of $1.62 per muffin, the mix only requires water & eggs and works out to about 48 cents per muffin, and very easy to make. That's a great deal.","['vitamuffins', 'supermarket', 'box', 'muffin', 'mix', 'box', 'box', 'muffin', 'muffin', 'mix', 'water', 'egg', 'cent', 'muffin', 'easy', 'deal']",6
