,Text,Tokens,Labelled_topic
5,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.  I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.   When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.  I would not recommend anyone buy this product.","['store', 'seller', 'problem', 'expiration', 'date', 'coffee', 'picky', 'coffee', 'drinker', 'kind', 'stronger', 'brew', 'flavored', 'coffee', 'suppose', 'chemical', 'coffee', 'consumer', 'folgers', 'different', 'flavor', 'theirs', 'k-cup', 'brand', 'disappointed', 'coffee', 'caramel', 'sip', 'sort', 'chemical', 'strong', 'flavor', 'coffee', 'caramel', 'time', 'unable', 'cup', 'coffee', 'entire', 'cup', 'equivalent']",5
8,"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.","['wish', 'gevalia', 'option', 'bean', 'pre-ground', 'coffee', 'sunday', 'morning', 'treat', 'little', 'rich', 'people', 'everyday', 'cofffee', 'candy-coffee']",5
15,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,"['healthy', 'treat', 'dog', 'box', 'box', 'way', 'treat', 'hole', 'plastic', 'outside', 'evidence', 'date', 'couple', 'month', 'people', 'time', 'refund', 'seller', 'response']",5
30,Coffee is just as good as other Fair Trade coffees that I buy.  I have a One:One pod maker and these fit in them just fine.  I do like my coffee a little on the strong side and can use the pod to make a very big cup of coffee before tossing.  I would recommend this product.,"['coffee', 'fair', 'trade', 'coffee', 'pod', 'maker', 'fit', 'coffee', 'little', 'strong', 'pod', 'big', 'cup', 'coffee']",5
52,"UPDATE JANUARY 2011 I am now a pretty regular drinker of this stuff! In fact, I just ordered some more and I note the price has gone down which makes it very afforable, take in the free shipping, and it's an absolutely delicious  steal!  I am really enjoying this Coffee. I usually drink Folgers at home and have done so for nearly 20 years. This was a pleasant surprise, the aroma as it was brewing was scintillating, the taste (with my regular creamer and sugar) was a treat for my taste buds. I finished two cups and was tempted to drink more because it was such a smooth tasting coffee. I used 6 heaped tea-spoon fulls for make 8 cups (as marked on my coffee maker) and it worked out just about right for me; though some hard line coffee drinkers make like it stronger than that! The package itself was a little hard to open, I found the best way was to cut the top off with scissors and use the metal bands on the package to securely close it as airtight as possible.  This a really nice coffee but the only way to be sure you will like it is to try it.","['update', 'january', 'regular', 'drinker', 'stuff', 'fact', 'price', 'afforable', 'free', 'shipping', 'delicious', 'steal', 'coffee', 'folgers', 'home', 'year', 'pleasant', 'surprise', 'aroma', 'regular', 'creamer', 'sugar', 'treat', 'bud', 'cup', 'smooth', 'coffee', 'tea-spoon', 'full', 'make', 'cup', 'coffee', 'maker', 'right', 'hard', 'line', 'coffee', 'drinker', 'stronger', 'package', 'little', 'hard', 'best', 'way', 'scissors', 'metal', 'package', 'possible', 'coffee', 'way', 'sure']",5
76,I was looking for all natural flavored coffee (not easy to find) when my college aged son brought some of this home. I could not find it locally at grocery stores or Starbucks locations so I'm glad it's available at amazon. It has a mild vanilla flavor- not overwhelming like some of the artificially flavored coffees. I will continue to order it.,"['natural', 'coffee', 'easy', 'college', 'son', 'home', 'grocery', 'store', 'starbucks', 'location', 'available', 'mild', 'vanilla', 'flavor-', 'flavored', 'coffee']",5
87,We love the Hazelnut coffee in our house! Great flavor and the coffee isn't bitter or too strong. I also love the price! Buying it here in a pack of 50 makes it cheaper than any of the stores in our city.,"['hazelnut', 'coffee', 'house', 'flavor', 'coffee', 'bitter', 'strong', 'price', 'buying', 'pack', 'cheaper', 'store', 'city']",5
123,"I have tried a number of Senseo pods, and this is my favorite.  It is very smooth.  It tastes like coffee from a coffee house (rather than a Senseo).","['number', 'senseo', 'pod', 'favorite', 'smooth', 'coffee', 'coffee', 'house', 'senseo']",5
127,"I think this is a great tasting product,use in coffee every day.I am saying goo-bye to white sugar!!","['use', 'coffee', 'goo-bye', 'white', 'sugar']",5
133,"I'm a big coffee drinker (much against my better judgement), but due to a stomach condition, I've been ""forced"" to drink mostly decaf for the last few years. I usually just get the cheapest coffee I can find near my office; after all, I don't make a lot of money and every penny counts. So it was nice to get this Melitta Cafe ground coffee to sample.  When I made my first cup, I was immediately attacted by the pleasant aroma. I put in a little cream and 4 Splendas as I usually do, and found the taste a little on the light side yet quite bitter. Maybe it's because this is decaf, but what I did like was its pureness, something 50-cent coffees usually lack. I have made two cups a day since my first taste and over the last couple of days I've grown to like this coffee. Granted, to me coffee is pretty much like wine in that all the different varieties taste more or less the same except for the level of bitterness, but even I can tell this is gourmet coffee, much better than the ones I get at my local coffee stands or even at McDonald's (when they give out free cups).  For a pack of 3, the price seems decent. If you drink decaf, I think this is quite worth a try.","['big', 'coffee', 'drinker', 'better', 'judgement', 'stomach', 'condition', 'decaf', 'year', 'cheapest', 'coffee', 'near', 'office', 'lot', 'money', 'penny', 'melitta', 'cafe', 'ground', 'coffee', 'cup', 'pleasant', 'aroma', 'little', 'cream', 'splendas', 'little', 'light', 'bitter', 'decaf', 'pureness', '50-cent', 'coffee', 'cup', 'couple', 'day', 'coffee', 'coffee', 'wine', 'different', 'variety', 'level', 'bitterness', 'gourmet', 'coffee', 'one', 'local', 'coffee', 'mcdonald', 'free', 'cup', 'pack', 'price', 'decent', 'decaf', 'worth', 'try']",5
