,Text,Tokens,Labelled_topic
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.","['citrus', 'drink', 'sweet', 'sour', 'bubble', 'sparkle', 'addition', 'punch', 'favorite', 'fruit', 'juice', 'draw', 'tad', 'bit', 'expencive', 'family', 'normal', 'beverage', 'choice', 'terrific', 'treat', 'occational', 'indulgence']",1
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,"['chip', 'texture', 'easier', 'regular', 'tortilla', 'chip', 'salsa']",1
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,"['stuff', 'try', 'shaker', 'cup', 'electric', 'wand', 'mixer', 'milkshake', 'effect', 'chocolately', 'yummy']",1
34,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.","['sauce', 'unique', 'flavor', 'decent', 'kick', 'hot', 'sauce', 'strong', 'usual', 'choice', 'unique', 'flavor', 'number', 'dish', 'impressed', 'way', 'homemade', 'vegetable', 'soup']",1
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'new', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'favorite', 'bad', 'kid', 'old', 'boy', 'old', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'similar', 'oreo', 'time', 'cookie', 'way', 'cookie']",1
90,"Our family loves these chips, they are light, not too greasy, and the seaweed taste is fantastic. My wife is from Japan so she turned us on to these chips.","['family', 'chip', 'light', 'greasy', 'seaweed', 'fantastic', 'wife', 'japan', 'chip']",1
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'right', 'flavor', 'burn', 'perspective', 'insanely', 'hot', 'sauce', 'hot', 'awesome', 'heat', 'burn', 'short', 'commercial', 'pizza', 'place', 'hot', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",1
94,Great strong tasting gum BUT doesn't last long BUT is still worth it especially if your not allowed to have regular sf gum! The cinnamon taste is very great!,"['strong', 'tasting', 'gum', 'long', 'worth', 'regular', 'sf', 'cinnamon']",1
107,"This doesn't taste as addicting as the real fried potato chips, but it's still very good. Considering it's low in calories and it's only popped..  it taste much better than the ones that are freeze dried. These pops taste as light as the rice crispy treats, but with a good amount of flavor and crunch. I like it, a small little pack that you can just grab when you feel like having something quick. I keep then in my room in case if I ever get the cravings for chips. All the flavors that come in are good too, no complains.  The package also arrived fast and it's pretty cheap, I would recommend people who is watching calories to get this!","['addicting', 'real', 'fried', 'potato', 'chip', 'low', 'calorie', 'one', 'freeze', 'pop', 'light', 'rice', 'crispy', 'treat', 'flavor', 'crunch', 'small', 'little', 'pack', 'quick', 'room', 'case', 'craving', 'chip', 'flavor', 'package', 'cheap', 'people', 'calorie']",1
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'better', 'regular', 'butter', 'egg', 'higher', 'level', 'linoleic', 'acid', 'cla', 'home']",1
