,Text,Tokens,Labelled_topic
0,Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,"['box', 'flavor', 'box']",3
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.","['citrus', 'drink', 'bubble', 'addition', 'punch', 'fruit', 'juice', 'draw', 'bit', 'family', 'beverage', 'choice', 'treat', 'indulgence']",3
9,"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!","['energy', 'factor', 'energy', 'drink', 'mango', 'flavor', 'chemical']",3
24,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.  It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.  So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.  You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.  Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.","['vine', 'se', 'water', 'mixture', 'apple', 'grape', 'tangerine', 'concentrate', 'list', 'apple', 'grape', 'fruit', 'sweetener', 'beverage', 'taste', 'calorie', 'lot', 'oz', 'water', 'carbohydrate', 'gram', 'carbs', 'gram', 'apple', 'grape', 'concentration', 'fructose', 'fruit', 'sugar', 'beverage', 'cane', 'sugar', 'child', 'drink', 'hit', 'parade', 'pretend', 'mass', 'concern', 'girth', 'growth', 'coke', 'sparkling', 'water', 'calorie', 'familglia', 'pomegranate', 'lime', 'lemon', 'orange', 'flavor', 'time', 'time', 'supermarket', 'pure', 'fruit', 'juice', 'pomegranate', 'cup', 'glass', 'water', 'quarter', 'cup', 'bottle', 'water', 'juice', 'extract']",3
28,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.","['substitute', 'sugar', 'drink', 'aftertaste', 'drink', 'alternative', 'sugar', 'reason', 'teeth', 'xylitol', 'country', 'decay', 'health', 'adult', 'child', 'gram', 'benefit', 'husband', 'toothpaste', 'gum', 'week', 'dentist', 'tv', 'health', 'xylitol', 'child']",3
40,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,"['water', 'fact', 'water', 'bottle', 'drink', 'win', 'situation']",3
48,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,"['tasting', 'zero', 'calorie', 'water', 'alcohol', 'bowel', 'discomfort']",3
62,"I love this drink. Squeeze a bit into water, lemonade , or club soda. This tastes great. I found it to have a fruit taste a little sweet, and the best part you do not have to use a lot. I found it out to be  better then the Mio. Fits in my bag, no more pricey drinks at stores no more. A few drops and I have a refreshing drink. Everyone in my family really enjoyed it as well.","['drink', 'bit', 'water', 'lemonade', 'club', 'soda', 'fruit', 'lot', 'mio', 'bag', 'drink', 'store', 'drop', 'refreshing', 'drink', 'family']",3
71,This is the second time I have purchased this item. No sugar added taste like regular chocolate not like sugar free which is awful. Good night time drink before bed,"['time', 'item', 'sugar', 'chocolate', 'sugar', 'night', 'time', 'drink', 'bed']",3
77,"I purchased my 1st order of Miracle Noodle directly from: [...]. I got them for my Mother because she needs to switch to a diet of less carbs and far less calories overall. I purchased the 10 pack of 7oz ""Angel hair"" noodles for $21.99 w/10.89 for shipping for a total of $32.76. A few days later I received the package. I was VERY surprised to find out that each 7oz package of Miracle Noodles ACTUALLY contained OVER 6 3/4 ounces of WATER and LESS THAN 1/4 oz of Noodles!!! While their marketing material does BARELY mention Water content, they are neither CLEAR nor particularly forthcoming about this fact nor the fact that it accounts for OVER 85% of the purchase product and considering the fact that they instruct you to IMMEDIATELY RINSE the Noodles before use, it's not as if your supposed to prepare the noodle using this WATER! - Well for a couple of reasons (including but not limited to the WATER volume) I decided to return them without opening even 1 package so they were COMPLETELY UNUSED). I was instructed (during a PHONE CALL to their main office) to MAIL THEM BACK  (AT MY EXPENSE) and WAS TOLD THAT I WOULD RECEIVE A FULL REFUND. Well it cost me approx another $10 to ship them back (due to the WATER WEIGHT)and a few days later I received a refund of $21.99. I PAID SHIPPING BOTH WAYS!!! So BASICALLY I PAID $20 in shipping to get a $22 so called REFUND - I PAID $42.00 and GOT BACK ONLY $21.99 !!! This may be legal but it is UNETHICAL and WRONG and when I spoke to the rep on the phone this was never mentioned! Especially for a company that claims to STAND BEHIND IT's PRODUCT 100%!!! When I contacted them by email they informed me that ""THIS IS OUR POLICY"" and cited the requisite schpeal on their website. I was NOT informed of this ON THE PHONE CALL at all! This so-called POLICY should be CHANGED! It may be legal but it's hardly ETHICAL or RIGHT! When is OK to get back ONLY HALF of what you spend when you return a product? IT'S NOT!! Not to MENTION THE FACT that YOU're getting LESS THAN 1/4 oz of Noodle in a 7 OZ ""Package!!! RIDICULOUS!! Oh and to make matters worse: When I COMMENTED on their Shipping Policy and Water Weight on their FACEBOOK Fan page; instead of addressing the issues OPENLY, HONESTLY and DIRECTLY they IMMEDIATELY and REPEATEDLY DELETED my COMMENTS and then BLOCKED ME from making comments at all! What's that tell you???","['miracle', 'noodle', 'mother', 'diet', 'carbs', 'calorie', 'pack', 'hair', 'noodle', 'total', 'day', 'package', 'package', 'miracle', 'noodle', 'ounce', 'water', 'oz', 'noodle', 'marketing', 'material', 'water', 'content', 'fact', 'fact', 'purchase', 'fact', 'noodle', 'use', 'water', 'couple', 'reason', 'water', 'volume', 'phone', 'office', 'expense', 'refund', 'water', 'weight', 'day', 'refund', 'way', 'refund', 'rep', 'phone', 'company', 'email', 'policy', 'schpeal', 'website', 'phone', 'policy', 'half', 'fact', 'oz', 'noodle', 'package', 'oh', 'matter', 'shipping', 'policy', 'water', 'weight', 'facebook', 'fan', 'page', 'issue', 'comment', 'comment']",3
