,Text,Tokens,Labelled_topic
14,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,"['fantastic', 'expensive', 'price', 'local', 'health', 'food', 'store', 'thank']",3
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!","['kroger', 'price', 'cheaper', 'recent', 'price', 'hike', 'innertia', 'payed', 'attention', 'people', 'careful']",3
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",3
35,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!","['anxious', 'cup', 'original', 'k-cups', 'disappointed', 'cup', 'instruction', 'apparent', 'filter', 'add', 'coffee', 'lid', 'trouble', 'filter', 'size', 'shape', 'outside', 'edge', 'cup', 'impossible', 'cup', 'filter', 'able', 'lid', 'coffee', 'slow', 'k-cup', 'cup', 'keurig', 'machine', 'vinegar', 'result', 'effort']",3
47,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,"['rush', 'online', 'difference', 'one', 'store', 'price', 'time']",3
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,"['best', 'pre-packaged', 'wasabi', 'texture', 'friend']",3
67,"This product is well worth the money.  Others carry a similar product that's cheaper, but the quality is way cheaper also.","['money', 'similar', 'cheaper', 'way', 'cheaper']",3
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['russian', 'descent', 'buckwheat', 'entire', 'life', 'buckwheat', 'local', 'russian', 'eastern', 'european', 'store', 'time', 'american-made', 'buckwheat', 'thing', '10-12', 'min', '25-30', 'min', 'item', 'instant', 'buckwheat', 'different', 'usual', 'strong', 'metallic', 'smell', 'item', 'closest', 'russian', 'eastern', 'european', 'shop', 'thing', 'time']",3
80,One of the few soy milks my slightly milk allergic kids will drink consistently.  Easy to carry and just the right amount per box.  Price on Amazon is quite a bit cheaper than the pice in our local stores.,"['soy', 'milk', 'allergic', 'kid', 'easy', 'right', 'box', 'price', 'bit', 'cheaper', 'pice', 'local', 'store']",3
83,Living in the city it is hard to find pectin at the local grocery so this is a great price and delivered right to my door!,"['living', 'city', 'hard', 'pectin', 'local', 'grocery', 'price', 'door']",3
95,"It's Splenda, and at a good price.  Forget about the individual packets, the cost will kill you.  If you use the product, this is the way to buy it.","['price', 'forget', 'individual', 'cost', 'way']",3
98,"The pricing is quite a bit higher than in the grocery stores.  It is not available in all stores, but I have found it conveniently enough for my purposes.","['pricing', 'bit', 'higher', 'grocery', 'store', 'available', 'store', 'purpose']",3
103,"I will start by being kind, It is a good idea to save money with an item or concept like this. It makes good sense to use your own coffee beans and avoid the cost of the pre-filled commercial K-cups you buy at the store.  Now, I received my DisposaKups over a month after ordering them and put them to use.  I was immediately disappointed, filters did not hold very much coffee, It was a struggle to get the lids to fit together with the filter and outer plastic cup.  The coffee was very weak.  This product actually creates more waste in a landfill than the commercially made K-cups. The body and lids are plastic.  Normal K-cups do not have a plastic lid.  Notice they say 100% disposable....So put them in the trash. They are not recyclable = landfill.  They are not convenient, they are a bit messy, a pain to put together and still expensive.  Not worth it! There are better alternatives out there that will save you money, make better coffee and not go into a landfill.  Sorry, I wish I had better news, I think I will return these.","['kind', 'idea', 'money', 'item', 'concept', 'sense', 'coffee', 'bean', 'cost', 'pre-filled', 'commercial', 'k-cups', 'store', 'disposakups', 'disappointed', 'filter', 'coffee', 'struggle', 'lid', 'filter', 'outer', 'plastic', 'coffee', 'weak', 'waste', 'landfill', 'k-cups', 'body', 'lid', 'plastic', 'normal', 'k-cups', 'plastic', 'lid', 'notice', 'disposable', 'trash', 'recyclable', 'landfill', 'convenient', 'bit', 'pain', 'expensive', 'better', 'alternative', 'money', 'better', 'coffee', 'landfill', 'sorry', 'wish', 'news']",3
154,"I opened this product to find that the lollipops were all broke, I was very disappointed.  They did not package this product in a way that would help keep it from breaking.  You are better off buying them from a store around your area.","['lollipop', 'disappointed', 'way', 'better', 'store', 'area']",3
161,"I first purchased this product at BJ's wholesale club. This is the best flavored carbonated water I've ever had. Like other reviewers, BJ's discontinued in favor of another product, what a mistake! I wrote to Talking Rain and their new president requesting this product have an online outlet...and it seems they delivered. Yes, it is more expensive, but with super saver shipping and subscription service (15%) savings, I'm in for a few cases each month. Try it, you will love it.","['bj', 'wholesale', 'club', 'best', 'flavored', 'carbonated', 'water', 'reviewer', 'favor', 'mistake', 'rain', 'new', 'president', 'online', 'outlet', 'yes', 'expensive', 'super', 'saver', 'shipping', 'subscription', 'service', 'saving', 'case']",3
173,"I have 5 dogs & Kibbles N' Bits is their favorite. Usually too expensive but the price is low right, 12.30 so I stocked up & bought 4 bags before the price increases again.","['dog', 'kibble', 'bit', 'favorite', 'expensive', 'price', 'low', 'bought', 'bag', 'price', 'increase']",3
181,"These taste great and are pretty addictive, but this same box was about $5 at my local Ralph's supermarket. Don't buy this from Amazon!","['pretty', 'addictive', 'box', 'local', 'ralph', 'supermarket']",3
183,"I purchased this via Amazon, because I am NEVER sure I will be able to find it locally, and not have it cost an arm a leg and firstborn male child.  You cant beat the price, and the knowledge I will not have to comb the grocery stores looking made it a win win!  Not only that but each container I received had a 50 cent coupon attached, so if I DO find it locally I can enjoy a great discount!","['sure', 'able', 'arm', 'leg', 'firstborn', 'male', 'child', 'price', 'knowledge', 'grocery', 'store', 'win', 'win', 'container', 'cent', 'coupon', 'discount']",3
185,"This jam tastes as if it was made of anything but roses.  No aroma at all. By the time you pay for the shipping, may as well buy something else in the local grocery store.","['jam', 'aroma', 'time', 'shipping', 'local', 'grocery', 'store']",3
188,I was weary of buy food through the mail. This was a great purchase. Great taste and great price. I will be looking for other great deals.,"['weary', 'buy', 'food', 'mail', 'purchase', 'price', 'deal']",3
205,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR,"['grove', 'square', 'cappuccino', 'cup', 'excellent', 'right', 'keurig', 'brewer', 'wwould', 'recommend', 'rccjr']",3
216,I am new to coconut oil....the cost is what kept me from trying it sooner.  This is the best deal I've ever run across and the product is excellent!,"['new', 'oil', 'cost', 'best', 'deal', 'excellent']",3
233,"These things are better than steak.. filet mignon! It was well worth the purchase of this package. It saves you a couple bucks versus buying them in the store. Go ahead, splurge yourself and get some.","['thing', 'better', 'steak', 'filet', 'mignon', 'purchase', 'package', 'couple', 'versus', 'store']",3
235,I take 5 a day and will update when my bloodwork is done again.  I am hoping for the best!  The taste is better than I thought it would be.,"['bloodwork', 'best', 'better']",3
236,"Anyone shopping for chives in the grocery store knows how expensive chives are. I'm almost surprised restaurants don't charge extra for them. These chives are a ""steal"" compared to the grocery, and taste as good as McCormick's at probably a 1/4 of the price. Also the shipping was very fast. I would buy again without a doubt.","['shopping', 'chive', 'grocery', 'store', 'expensive', 'chive', 'surprised', 'restaurant', 'extra', 'chive', 'steal', 'grocery', 'mccormick', 'price', 'shipping', 'fast', 'doubt']",3
237,"First off, I didn't purchase this product through Amazon, but at a local grocery store, so my review only reflects the product itself, not Amazon in any way.  I bought this last week never having tried coconut water before, but I heard good things.  The taste of it was almost like the smell of lawn clippings that had been damp and out in the sun for a long time.  Tasted off and had a faint mold smell to it.  I didn't know if it was supposed to taste like that or not as I never tried it before, but paying as much as I did I felt obligated to finish it off.  I've been ill for about a week after drinking it.  I don't know if it was just a coincidence or the cause of it.  I did email customer service at O.N.E. the day I drank it asking if it was supposed to taste like that or if I got a bad batch, and they still haven't replied to me.","['local', 'grocery', 'store', 'review', 'way', 'week', 'coconut', 'water', 'thing', 'smell', 'lawn', 'clipping', 'sun', 'long', 'time', 'faint', 'mold', 'smell', 'felt', 'week', 'coincidence', 'cause', 'customer', 'service', 'bad', 'batch']",3
239,"Overpriced beans, they are packed in a glass tube that is not air tight.  The beans were thin and almost dry.  Get the cheaper options at amazon instead, they are much better and way cheaper...","['bean', 'glass', 'tube', 'air', 'bean', 'dry', 'cheaper', 'option', 'better', 'way', 'cheaper']",3
243,"This is much too watery. It tastes very much like the tasteless hot cocoa one gets out of a vending machine.  After receiving the box and reading the list of ingredients,  I've decided not to order again.  This product if definitely not worth the money.","['watery', 'tasteless', 'hot', 'cocoa', 'vending', 'machine', 'box', 'list', 'ingredient', 'money']",3
250,"My wife and I absolutely love these snacks.  They're somewhat ""healthy"" and they're very tasty.  After we purchased these we found them cheaper at Wal-Mart.  Since then though, Wal-mart went with a cheaper ""clone"" from another company.  It comes in a plastic container, has the exact same ingredients, and the price is a lot less than the name brand item.","['wife', 'snack', 'healthy', 'cheaper', 'wal-mart', 'wal-mart', 'cheaper', 'clone', 'company', 'plastic', 'container', 'exact', 'ingredient', 'price', 'lot', 'brand', 'item']",3
260,"Item appears to be Keurig brand by title & description (big $$$).  However upon receiving it, it is an off brand ""My Perfect Kitchen"" sold at Bed Bath & Beyond and at HALF the price. I was disappointed in the jading and sent it back. Signed up for BBB email promos and got a 20% off coupon for use in the store so I bought this EXACT item for $20 (reg only $24.99 in store).  I mean EXACT!  Do your homework and save yourself some money.  Oh and the item itself is great...we have the larger Platinum B70 and it does have an issue with the cupboards but I just pulled it forward about 3.5in and it's perfect.  I am fortunate enough to have a lot of counter space and I may move it to an open top area so for us it's all good :)","['item', 'brand', 'title', 'description', 'big', 'brand', 'perfect', 'kitchen', 'bed', 'bath', 'price', 'jading', 'bbb', 'email', 'promos', 'coupon', 'use', 'store', 'exact', 'item', 'reg', 'store', 'exact', 'homework', 'money', 'oh', 'item', 'larger', 'platinum', 'issue', 'cupboard', 'fortunate', 'lot', 'counter', 'space', 'open', 'area']",3
