,Text,Tokens,Labelled_topic
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.","['okay', 'soft']",0
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,"['chip', 'texture', 'easier', 'regular', 'tortilla', 'chip', 'salsa']",0
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.","['bag', 'calorie', 'smaller', 'pop', 'chip', 'fat', 'bit', 'pricey', 'worth']",0
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['happy', 'potato', 'flat', 'thing', 'picture', 'shipping', 'cost', 'potato']",0
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,"['lowrey', 'pork', 'rind', 'unacceptable', 'bag', 'bag', 'bag', 'rind', 'money', 'store', 'bag', 'bag', 'half', 'bag', 'penny', 'consumer', 'money', 'reason']",0
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['different', 'brand', 'costco', 'superior', 'farm', 'quaity']",0
77,"I purchased my 1st order of Miracle Noodle directly from: [...]. I got them for my Mother because she needs to switch to a diet of less carbs and far less calories overall. I purchased the 10 pack of 7oz ""Angel hair"" noodles for $21.99 w/10.89 for shipping for a total of $32.76. A few days later I received the package. I was VERY surprised to find out that each 7oz package of Miracle Noodles ACTUALLY contained OVER 6 3/4 ounces of WATER and LESS THAN 1/4 oz of Noodles!!! While their marketing material does BARELY mention Water content, they are neither CLEAR nor particularly forthcoming about this fact nor the fact that it accounts for OVER 85% of the purchase product and considering the fact that they instruct you to IMMEDIATELY RINSE the Noodles before use, it's not as if your supposed to prepare the noodle using this WATER! - Well for a couple of reasons (including but not limited to the WATER volume) I decided to return them without opening even 1 package so they were COMPLETELY UNUSED). I was instructed (during a PHONE CALL to their main office) to MAIL THEM BACK  (AT MY EXPENSE) and WAS TOLD THAT I WOULD RECEIVE A FULL REFUND. Well it cost me approx another $10 to ship them back (due to the WATER WEIGHT)and a few days later I received a refund of $21.99. I PAID SHIPPING BOTH WAYS!!! So BASICALLY I PAID $20 in shipping to get a $22 so called REFUND - I PAID $42.00 and GOT BACK ONLY $21.99 !!! This may be legal but it is UNETHICAL and WRONG and when I spoke to the rep on the phone this was never mentioned! Especially for a company that claims to STAND BEHIND IT's PRODUCT 100%!!! When I contacted them by email they informed me that ""THIS IS OUR POLICY"" and cited the requisite schpeal on their website. I was NOT informed of this ON THE PHONE CALL at all! This so-called POLICY should be CHANGED! It may be legal but it's hardly ETHICAL or RIGHT! When is OK to get back ONLY HALF of what you spend when you return a product? IT'S NOT!! Not to MENTION THE FACT that YOU're getting LESS THAN 1/4 oz of Noodle in a 7 OZ ""Package!!! RIDICULOUS!! Oh and to make matters worse: When I COMMENTED on their Shipping Policy and Water Weight on their FACEBOOK Fan page; instead of addressing the issues OPENLY, HONESTLY and DIRECTLY they IMMEDIATELY and REPEATEDLY DELETED my COMMENTS and then BLOCKED ME from making comments at all! What's that tell you???","['miracle', 'noodle', 'mother', 'diet', 'carbs', 'calorie', 'pack', 'angel', 'hair', 'noodle', 'total', 'day', 'package', 'surprised', 'package', 'miracle', 'noodle', 'ounce', 'water', 'oz', 'noodle', 'marketing', 'material', 'mention', 'water', 'content', 'clear', 'fact', 'fact', 'purchase', 'fact', 'noodle', 'use', 'noodle', 'water', 'couple', 'reason', 'limited', 'water', 'volume', 'unused', 'phone', 'main', 'office', 'expense', 'refund', 'water', 'weight', 'day', 'refund', 'way', 'refund', 'legal', 'unethical', 'wrong', 'rep', 'phone', 'company', 'email', 'policy', 'requisite', 'schpeal', 'website', 'phone', 'so-called', 'policy', 'legal', 'right', 'half', 'fact', 'oz', 'noodle', 'oz', 'package', 'ridiculous', 'oh', 'matter', 'worse', 'shipping', 'policy', 'water', 'weight', 'facebook', 'fan', 'page', 'issue', 'comment', 'comment']",0
85,"I tried these and wanted to like them, but just couldn't.  They did not seem to ""pop"" very well (a lot of wasted product in the bag) and they didn't taste very good.  I will not be buying these again.","['lot', 'wasted', 'bag']",0
90,"Our family loves these chips, they are light, not too greasy, and the seaweed taste is fantastic. My wife is from Japan so she turned us on to these chips.","['family', 'chip', 'light', 'greasy', 'seaweed', 'fantastic', 'wife', 'japan', 'chip']",0
102,"Great to have a sugar that tastes great, cooks with everything, and has not yet been cooped by the GMO crowd of producers.  We'll order again, and enjoyed the speedy delivery.  We wish this came in larger bags, for truly bulk orders.  25 lbs bags would be great.","['sugar', 'cook', 'gmo', 'crowd', 'producer', 'speedy', 'delivery', 'larger', 'bag', 'truly', 'bulk', 'order', 'bag']",0
107,"This doesn't taste as addicting as the real fried potato chips, but it's still very good. Considering it's low in calories and it's only popped..  it taste much better than the ones that are freeze dried. These pops taste as light as the rice crispy treats, but with a good amount of flavor and crunch. I like it, a small little pack that you can just grab when you feel like having something quick. I keep then in my room in case if I ever get the cravings for chips. All the flavors that come in are good too, no complains.  The package also arrived fast and it's pretty cheap, I would recommend people who is watching calories to get this!","['addicting', 'real', 'fried', 'potato', 'chip', 'low', 'calorie', 'one', 'freeze', 'pop', 'light', 'rice', 'crispy', 'treat', 'flavor', 'crunch', 'small', 'little', 'pack', 'quick', 'room', 'case', 'craving', 'chip', 'flavor', 'package', 'cheap', 'people', 'calorie']",0
109,I had these when in the Phillippines and then when I came had to have some more.  Even though this a large bag we go through these fast in about two weeks.,"['phillippines', 'large', 'bag', 'fast', 'week']",0
113,"Aweful! They arrived immediately and still were as hard as cement! The bags' supposed re-sealable zipper,didn't re-seal once and maybe the large amount had something to do with it but again, I cannot believe how stale and terrible the candy inside was!","['aweful', 'hard', 'cement', 'bag', 're-sealable', 'zipper', 'large', 'stale', 'terrible', 'candy', 'inside']",0
125,"I am giving these two stars because they did taste sorta good at first.  But like the other reviewer said they do smell funny and they left a bad taste in my mouth.  And they are very salty.  I only cooked them for 90 seconds, the bag was still expanding when I stopped it but they smelled burnt when they were done (they said to cook until it stopped expanding but thank goodness I didn't do that).  Nice idea but I don't think I will buy these again.","['star', 'sorta', 'reviewer', 'funny', 'bad', 'mouth', 'salty', 'bag', 'burnt', 'thank', 'goodness', 'idea']",0
128,"We recently fell in love with Indian food.  Papads (after quickly toasted in a HOT oven) can be a healthy alternative to potatoe chips.  They are excellent alone or dipped in chip dip.  They are a very thin bread.  When cooked they are brittle and crisp, just like potatoe chips.  However they are baked, not fried and made of chickpea flour which is a little more healthy than potatoe chips.","['love', 'indian', 'food', 'papads', 'hot', 'oven', 'healthy', 'alternative', 'chip', 'excellent', 'chip', 'dip', 'bread', 'cooked', 'brittle', 'crisp', 'potatoe', 'chip', 'chickpea', 'healthy', 'potatoe', 'chip']",0
165,"and THAT is  the problem. I order these by the case of 12 - and when they are good, which is over half the time they are the BEST kettle chip, THE BEST! and then I get a case of the worse - the potatos are mealy and old so I just throw them out and order again, expensive BUT when they are made with good fresh potatos they are the best - the last case is what prompted me to write this - the potatos were weird - like they were almost sour as in going bad - and I even wrote the company that makes them - SO if you want the BEST kettle chip there is try these and if the ones you get are NOT the best try again! I, myself am done ordering because it is creeping me out that they are using soured potatos and either not noticing or not caring.","['problem', 'case', 'time', 'best', 'kettle', 'chip', 'best', 'case', 'worse', 'potato', 'mealy', 'old', 'expensive', 'fresh', 'potato', 'best', 'case', 'potato', 'sour', 'bad', 'company', 'best', 'kettle', 'chip', 'one', 'best', 'try', 'ordering', 'potato']",0
170,"We tend to eat these straight and/or with hummus as a chip substitute. I've noticed some variation between packages in the texture of the crisps. I prefer them when they're a bit firmer, but they're still nice even when they're softer than I would like.","['straight', 'hummus', 'chip', 'substitute', 'variation', 'package', 'texture', 'crisp', 'bit', 'firmer', 'softer']",0
172,"These little things are delicious! I didn't expect much. My wife bought them apparently, and they were just sitting on the kitchen table. She must not have told me about them because she figured I'd eat them all. If that's the case, she's probably right. These things definitely exceeded all my expectations, and were good enough for me to immediately come here and right a review. They do seem pretty pricey here though, but I'm not sure what they run in the stores since I didn't buy them personally.","['little', 'thing', 'delicious', 'wife', 'kitchen', 'table', 'case', 'thing', 'expectation', 'review', 'pricey', 'sure', 'store']",0
198,"These chips are greasy and taste burnt-there is grease in the bottom of the bag and the chips are saturated with it (especially at the bottom of the bag. Even if they are trans fat free, they need to be a lot less greasy.","['chip', 'greasy', 'grease', 'bag', 'chip', 'bag', 'trans', 'fat', 'free', 'lot', 'greasy']",0
202,"I was not expecting much from this, a disposable package of self-boiling pasta with a bag of meat sauce. There should be no way it can work. But it does! You fill cover the slightly oily pasta with water, leave on the drainer top, microwave it for 3 minutes, drain it, heat the sauce, and mix it all up. And amazingly, it tasted good! Normally I can't stand this zero-effort lazy style of cooking microwaved meals, but this was actually really tasty. I would not make this a part of my regular routine because of the price, but I can imagine people who would.  I have to take issue with the packaging, though. I am giving this four stars because each serving is individually packaged, and none of it is recycleable. The bulk of what you are buying is packaging, and it all gets thrown away.","['disposable', 'package', 'self-boiling', 'pasta', 'bag', 'meat', 'sauce', 'way', 'oily', 'pasta', 'water', 'drainer', 'microwave', 'minute', 'sauce', 'zero-effort', 'lazy', 'style', 'meal', 'regular', 'routine', 'price', 'people', 'issue', 'packaging', 'star', 'serving', 'recycleable', 'bulk', 'packaging']",0
206,"Adds flavor to all sorts of dishes.  Great for deviled eggs, mix with the yoke filler and top it off with a slice of jalepeno.","['flavor', 'sort', 'dish', 'egg', 'yoke', 'filler', 'slice', 'jalepeno']",0
212,"I don't know if it was the case of chips we received or what, but everyone we allowed to sample the chips (in a buffet style setting) agreed that these were slightly on the salty side. One person jokingly stated that these would be terrific for melting ice and snow, due to the amount of salt in these.  We had ordered these with the expectations that these would be similar to the Lay's Kettle Mesquite Potato Chips, but these Kettle brands outback bbq chips are the exact opposite.  Sorry folks, we just had better expectations from these chips but they a little on the on the salty side.  We are still looking forward to Amazon finally getting the Lay's Kettle Mesquite Potato Chips in stock. These got a 2 star, because the bbq powder they had used on these were flavorful enough to be unique.","['case', 'chip', 'chip', 'buffet', 'style', 'salty', 'person', 'terrific', 'ice', 'snow', 'salt', 'expectation', 'similar', 'lay', 'mesquite', 'potato', 'chip', 'kettle', 'brand', 'bbq', 'chip', 'exact', 'opposite', 'sorry', 'folk', 'better', 'expectation', 'chip', 'little', 'salty', 'lay', 'mesquite', 'potato', 'chip', 'stock', 'star', 'bbq', 'powder', 'flavorful', 'unique']",0
220,These are fantastic! I've gone through about 20 bags in the last couple months.  Try putting out a bowl of these rather than pretzels or chips.  They've got a hint of saltiness to them so they go great with beer.  The bulk box of 15 bags is also the most economical purchase I've found.,"['fantastic', 'bag', 'couple', 'month', 'bowl', 'pretzel', 'chip', 'hint', 'saltiness', 'beer', 'bulk', 'box', 'bag', 'economical', 'purchase']",0
229,"I will definitely order this again. It melts in your mouth. The texture is light. When I brought it to work, the whole bag disappeared in minutes.","['mouth', 'texture', 'light', 'bag', 'minute']",0
244,"I purchased this product to lure black bear to the bait pile. The product has no sweet smell as one would expect. I have asked for a refund or exchange from the supplier, no response.","['black', 'bear', 'bait', 'sweet', 'smell', 'refund', 'exchange', 'supplier', 'response']",0
258,"This is genius!  I purchase Angel hair first and after that bought a big box of angel hair and fettuccine! The product is AMAZING! Don't get fooled by all these negative reviews!  If you like Asian food, you probably already know that their pasta doesn't taste like American/European kind. it has a different texture and taste. So these noodles taste exactly like the ones you order at Big Bowl :)  The comments about the smell are ridiculous! How many raw uncooked food smells good? Are you kidding me? For instance, I love steamed broccoli but it smells bad while steaming! :)  PLEASE follow the instructions: rinse in cold water for at least 15 seconds and boil for one minute, dry in paper towels. if you don't follow instructions, you will ruin ANY food, even your most favorite!  Since the pasta is 0 calories, I finally could indulge myself with a really good pasta sauce ( no low fat anymore ) or some seafood Alfredo! the possibilities are endless. Please note that the noodles even better the next day since they easily absorb all flavors.  Absolutely delicious and guilt free!","['genius', 'purchase', 'angel', 'hair', 'big', 'box', 'angel', 'hair', 'amazing', 'negative', 'review', 'asian', 'food', 'pasta', 'kind', 'different', 'texture', 'noodle', 'one', 'big', 'bowl', 'comment', 'smell', 'ridiculous', 'raw', 'uncooked', 'food', 'smell', 'instance', 'broccoli', 'bad', 'instruction', 'cold', 'water', 'second', 'boil', 'minute', 'dry', 'paper', 'towel', 'instruction', 'food', 'favorite', 'pasta', 'calorie', 'pasta', 'low', 'fat', 'anymore', 'seafood', 'possibility', 'endless', 'note', 'noodle', 'flavor', 'delicious', 'guilt', 'free']",0
261,"My daughter cannot get enough of these delicious snacks and I have a pretty hard time telling her no since they are made of nothing but pure, organic, pureed fruits!  The packaging is fantastic to toss into your bag for on the go too.  All the flavors are great and if you want to try them before committing to a bulk amount Starbucks now carries the line in-store.  ;)","['daughter', 'delicious', 'snack', 'hard', 'time', 'pure', 'organic', 'pureed', 'packaging', 'fantastic', 'bag', 'flavor', 'bulk', 'starbucks', 'line', 'in-store']",0
269,"I tried to ""cook"" 6 different bags of these.  Only a fraction of product ""popped up"".  The ones that managed to pop tasted overly salty and had an unusual flavor.  Unfortunately, they were not returnable, so the rest will be going to the trash.  Waste of $$$.","['different', 'bag', 'fraction', 'one', 'tasted', 'salty', 'unusual', 'flavor', 'returnable', 'rest', 'trash', 'waste']",0
280,"These are perhaps the worst chips that have ever gone into my mouth.  For my entire life Sour Cream & Onion (and in this case ""& Chive"") chips were my favorite. Recently Kettle brand Honey Dijon Mustard took that slot. So when I found out they had sour cream & onion I just had to try them.  As soon as I opened the bag the chips smelled of powdered milk. And indeed each chip is coated with a powdered sour cream that is just awful. It tastes like rancid milk. Not just sour, but like sour cream that when rancid. The powdery texture is also extremely unappealing. I basically hated these chips. I would not recommend these chips to anyone unless they had a particular affinity for a powdery, chalky texture on a chip, with a rancid (and onion flavor) and I have a hard time believing that person exists.  I plan on contacting Kettle and sharing my thoughts with them. Hopefully they'll reassess the seasoning on these otherwise wonderful kettle style chips.","['worst', 'chip', 'mouth', 'entire', 'life', 'sour', 'cream', 'onion', 'case', 'chive', 'chip', 'favorite', 'kettle', 'brand', 'honey', 'dijon', 'mustard', 'slot', 'cream', 'onion', 'bag', 'chip', 'powdered', 'milk', 'chip', 'powdered', 'sour', 'cream', 'awful', 'rancid', 'milk', 'sour', 'sour', 'cream', 'powdery', 'texture', 'unappealing', 'chip', 'chip', 'particular', 'affinity', 'powdery', 'chalky', 'texture', 'chip', 'rancid', 'onion', 'flavor', 'hard', 'time', 'person', 'exists', 'kettle', 'thought', 'seasoning', 'wonderful', 'kettle', 'style', 'chip']",0
294,"People who complain about smell need to read and educate themselves. Yes when you open it smells that's how they are packed. All you have to do is rinse, yes read instructions. Then i throw in a skillet for a bit usually with garlic and  seasoning because i did find hard to pat dry. If you throw in a skillet for a few it takes the step where you pat dry away. There is no smell. just eat however you want. Just don`t write negative comments if you don`t read the site or directions. The site alone will answer any questions quickly. M","['people', 'smell', 'need', 'read', 'instruction', 'skillet', 'bit', 'garlic', 'hard', 'dry', 'skillet', 'step', 'dry', 'smell', 't', 'write', 'negative', 'comment', 't', 'site', 'direction', 'site', 'question']",0
311,I was anxious to try making my own ijera at home after living in Ethiopia for 15 months and have had fairly good success with this tef flour.  It is the dark variety but I enjoy the great almost mocha flavor.  I can tell it is fresh because it develops a good sour starter on its own without needing to add any additional sourdough starter  or yeast.,"['anxious', 'ijera', 'home', 'ethiopia', 'month', 'success', 'tef', 'flour', 'dark', 'variety', 'mocha', 'flavor', 'fresh', 'sour', 'starter', 'additional', 'sourdough', 'starter', 'yeast']",0
312,Product was just as promised. I would purchase it again. They are good. They are great. I sugest them. That is all I can write about this product.,[],0
320,"Well, at least they live up to their name. These nuts are definitely hot, too bad that's all the positive I have to say about them. Other than that, they taste like cardboard, and not very good cardboard either.","['nut', 'hot', 'bad', 'positive', 'cardboard', 'cardboard']",0
346,"I add boneless chicken breast, peppers, onions, and string beans and simmer until the chicken is done. I ate this dish over 1/2 cup of brown rice for dinner for 4 months straight when dieting, losing a total of 40 lbs.  I did not get sick of this dish, as it is so tasty!  The calorie and contents of this dish fit the specs of the diet that I was on.  Delicious way to lose weight.","['boneless', 'breast', 'pepper', 'onion', 'bean', 'simmer', 'chicken', 'ate', 'dish', 'cup', 'brown', 'rice', 'dinner', 'month', 'total', 'lb', 'sick', 'dish', 'calorie', 'content', 'dish', 'spec', 'diet', 'delicious', 'way', 'weight']",0
348,"The Badia Cilantro, 0.25-Ounce (Pack of 12) has very little taste and, what flavor there is, doesn't resemble cilantro.  It is reminiscent of a stale oregano.  This was a very disappointing purchase and I won't be buying any Badia products again.","['badia', 'cilantro', '0.25-ounce', 'pack', 'little', 'flavor', 'cilantro', 'reminiscent', 'stale', 'oregano', 'disappointing', 'purchase', 'badia', 'product']",0
349,"I received my shipment today, and tried to microwave four bags using different time settings. Only one or two out of each bag microwave correctly. I even put the unpopped on a plate as someone suggested and nothing. I carefully followed directions for each bag. If I could rate this, a zero I would.","['shipment', 'today', 'bag', 'different', 'time', 'setting', 'bag', 'unpopped', 'plate', 'direction', 'bag', 'rate', 'zero']",0
351,You can buy the same bag of chocolate at any Michaels store for $2.99.  I got a ton of bags on sale for $1.99 there!  Don't waste your money or your time waiting for this bag,"['bag', 'chocolate', 'michael', 'ton', 'bag', 'sale', 'money', 'time', 'bag']",0
361,"Just received my shipment - ""best by"" date is June of 2012 and it's mid-March.  Even though it's only me, I'm pretty sure I'll use most of it by the time June rolls around.  Tasted just like the Starbucks pods I've purchased locally (before the stores stopped carrying them).  Definitely no complaints.","['shipment', 'date', 'june', 'mid-march', 'pretty', 'sure', 'time', 'june', 'roll', 'starbucks', 'store', 'complaint']",0
367,"Excellent Product!  Great taste!  Perfect portion!  Only 100 calories in a bag.  I microwave it for 1:30 and it comes out perfect each time.  Fills a medium tupperware bowl.  And it was an very good value!  Only $8.98 for 3 boxes, shipped! ONLY 30 cents for each bag!","['excellent', 'perfect', 'portion', 'bag', 'perfect', 'time', 'medium', 'tupperware', 'bowl', 'value', 'box', 'cent', 'bag']",0
374,I bought this brand and it was just horrible. Amazon needs to source and offer 3 Ladies brand wrappers as they are just superior to anything out on the market today.,"['brand', 'horrible', 'need', 'source', 'offer', 'lady', 'brand', 'wrapper', 'superior', 'market', 'today']",0
383,"I tried these as I love Thai food, ginger and coconut. That was my problem, as this mess does not even vaguely resemble Thai food and has no discernible ginger or coconut taste. Plus, the noodles stick together, even when prepared as suggested, and come out in a big clump when you try to eat them.  Also, the nutrition label is misleading. I am dieting and read labels very carefully. This says a serving is one cup and also says one package weighs 4oz (half a cup). I figured, as it did not say otherwise and as this type of meal is usually one serving, that after adding water there would be one serving per package. Not so, one package is actually two servings, or over 500 calories. This is far more than any other pre-packaged noodle meal I have seen.  The excessive calorie content might have been OK had the product tasted good, but it doesn't. I would definitely recommend you stay away from this mess.","['thai', 'food', 'ginger', 'coconut', 'problem', 'mess', 'resemble', 'thai', 'food', 'discernible', 'ginger', 'coconut', 'noodle', 'big', 'clump', 'nutrition', 'label', 'read', 'label', 'serving', 'cup', 'package', 'cup', 'type', 'meal', 'serving', 'water', 'package', 'package', 'serving', 'calorie', 'pre-packaged', 'noodle', 'meal', 'excessive', 'calorie', 'content', 'ok', 'mess']",0
397,"I've heard about these chips for a while now and thought they would be a good alternative to regular chips. I couldn't eat them though, they just don't taste good to me personally. My grandmother loved them though and I gave the rest to her.","['chip', 'alternative', 'regular', 'chip', 'grandmother', 'rest']",0
418,"I liked the flavor and texture of the tortillas.  They are not spicy, but the taste is not bland because of the olives. The chips are small and the serving size in the bag is just enough for a quick, satisfying snack.","['flavor', 'texture', 'tortilla', 'bland', 'olive', 'chip', 'small', 'size', 'bag', 'quick', 'satisfying', 'snack']",0
427,"We also found this to be great tasting. Flavorful, not weird tasting at all.the negative review des not sound like this product at all.  Good value.","['flavorful', 'weird', 'negative', 'review', 'de', 'value']",0
436,"This is very tasty. Good deal to save a few bucks here on Amazon as well. I find this dish very similar to the Chicken Tikka Masala. Both are great, obviously this curry dish has more curry flavor than the Chicken Tikka Masala. The chicken in this dish is wonderful as well.","['deal', 'buck', 'dish', 'similar', 'chicken', 'tikka', 'curry', 'dish', 'curry', 'chicken', 'tikka', 'chicken', 'dish', 'wonderful']",0
447,Good Cuban style espresso.I received a damaged product (3 of 4 packs had lost vacuum)and amazon quickly refunded me.,"['cuban', 'style', 'pack', 'vacuum']",0
466,This product was very tasteless and boring. I felt like I was eating packaging material..awful awful awful awful!!!!!! Very bland!!!,"['tasteless', 'boring', 'material', 'awful', 'awful', 'awful', 'awful', 'bland']",0
468,"This product is good for any dish, I like to just cut it out and eat like snack but remember to go with nice wine or else it will be taste funny in your mouth.  It also good for cooking with lettuce, boil or pan fried the lettuce first then add on this product and make a oyster sauce topping, it will be delicious.","['dish', 'snack', 'wine', 'funny', 'mouth', 'lettuce', 'boil', 'pan', 'lettuce', 'oyster', 'sauce', 'delicious']",0
