,Text,Tokens,Labelled_topic
39,"These were freakin awesome. All 10 LBs were top quality, and better than many restaurants.  Ordering my second batch now.  How I prepare them: place several legs in a pot of boiling water for about a minute, or less if you stir em.  They are already cooked so you just want to heat them up. Cooking them further will ruin them. The end piece will piece will take a bit longer.","['freakin', 'lb', 'better', 'restaurant', 'second', 'batch', 'leg', 'pot', 'water', 'minute', 'end', 'piece', 'bit']",7
40,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,"['water', 'fact', 'water', 'bottle', 'drink', 'win', 'win', 'situation']",7
48,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,"['best', 'tasting', 'zero', 'calorie', 'water', 'ive', 'becareful', 'alcohol', 'bowel', 'discomfort']",7
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['russian', 'descent', 'buckwheat', 'entire', 'life', 'buckwheat', 'local', 'russian', 'eastern', 'european', 'store', 'time', 'american-made', 'buckwheat', 'thing', '10-12', 'min', '25-30', 'min', 'item', 'instant', 'buckwheat', 'different', 'usual', 'strong', 'metallic', 'smell', 'item', 'closest', 'russian', 'eastern', 'european', 'shop', 'thing', 'time']",7
89,I bought this to make a sauce and it taste great gives a good flavor.  I really enjoyed it an it lasts a long time.,"['sauce', 'flavor', 'long', 'time']",7
112,"This is fantastic corn, you don't need to add a thing to it, it is perfect right out of the can. Of course a couple of the cans were dented, to be expected with shipping. I am just sure to use those quickly. Great price with subscribe and save.","['fantastic', 'corn', 'thing', 'perfect', 'right', 'course', 'couple', 'can', 'sure', 'price', 'subscribe']",7
117,Product has a shelf life of two years and was labeled as produced in December of 2009. Product leaked from seal in carton.,"['shelf', 'life', 'year', 'december', 'seal', 'carton']",7
126,While it is a bit pricey. I enjoyed this water as a nice alternative to just plain water. I enjoyed the flavoring of the Watermelon. It made it easier to make sure that I am hydrated.,"['bit', 'pricey', 'water', 'alternative', 'water', 'flavoring', 'watermelon', 'easier', 'sure']",7
131,"Pasta Knorr Sauce Parma Rosa Creamy Tomato / B000I2OOPW  Pardon me while I rave about how incredible this pasta mix is, but I'm just totally in love with this sauce. I love to eat pasta, but I am usually confined to the higher-fat alfredo sauces and cheese sauces because acidic tomato sauces irritate my acid reflux. That means no spaghetti and meatballs, which has been frustrating for me, but that's life, eh?  Then, while I was browsing the sauce aisle for Knorr alfredo packets, I found this Parma Rosa sauce. I have no idea what 'vodka sauce' is that the other reviewers reference, but whatever this is, it is GOOD. If I had to describe it, I'd call it a creamy tomato alfredo, but even though it is creamy, it is also very light and pleasing to taste, not cloying. The tomato taste is exquisite, and the acid content is low enough to prevent stomach pains. The taste itself is absolutely wonderful - I can actually talk myself out of impulse eating by promising myself Parma Rosa later - it's that good!  The Knorr sauces are fairly easy to make (the instructions are serious when they say to 'stir constantly', though, and I think it helps to preheat the milk before adding the powdered mix) and they store indefinitely in these dried packets (another reason to buy packets, besides the smaller carbon footprint in shipping versus jars!). Oh, and buying them on Amazon means I get them for half the price of the local market! For the Parma Rosa, I also add about a third of a pound of seasoned, browned ground beef as easy 'meatballs'. The portions are such that I can easily get two full meals out of one sauce packet, and the sauce stores perfectly in the fridge - this coming from a person who generally hates leftovers.  ~ Ana Mardoll","['pasta', 'knorr', 'sauce', 'parma', 'rosa', 'creamy', 'tomato', 'incredible', 'pasta', 'mix', 'love', 'sauce', 'pasta', 'higher-fat', 'alfredo', 'sauce', 'cheese', 'sauce', 'acidic', 'tomato', 'sauce', 'acid', 'reflux', 'spaghetti', 'meatball', 'life', 'eh', 'sauce', 'aisle', 'knorr', 'alfredo', 'packet', 'parma', 'rosa', 'sauce', 'idea', 'sauce', 'reviewer', 'creamy', 'tomato', 'alfredo', 'creamy', 'light', 'tomato', 'exquisite', 'acid', 'content', 'low', 'stomach', 'wonderful', 'impulse', 'eating', 'parma', 'rosa', 'knorr', 'sauce', 'easy', 'instruction', 'milk', 'powdered', 'mix', 'packet', 'reason', 'packet', 'smaller', 'carbon', 'footprint', 'versus', 'jar', 'mean', 'price', 'local', 'market', 'parma', 'rosa', 'pound', 'seasoned', 'ground', 'beef', 'easy', 'portion', 'meal', 'sauce', 'packet', 'sauce', 'store', 'fridge', 'person', 'leftover', 'mardoll']",7
153,"I would like to share with you who are contemplating Mr. Trivedi's products, I was diagnosed with are rare form of acid reflux. I was advised not to drink anything carbonated and a whole list of no no,s.  About 3 months ago I found out about this incredible water, since then that is all I drink.  I had the most amazing results, not only easing my acid reflux,but also drinking the water brings a sense of calmness and almost at the same time a felling of complete happiness and tolerance of which I am not especially noted for.  At the 11-11-11 retreat one of the wonderful staff members remembered me from the center in Soho, she remarked how different and calmer I was compared to 2 months ago. I know there will always be skeptics, I am ready for them.  Thank you, Mr. Trivedi","['share', 'trivedi', 'product', 'rare', 'form', 'acid', 'reflux', 'list', 's', 'month', 'incredible', 'water', 'amazing', 'result', 'acid', 'reflux', 'water', 'sense', 'calmness', 'time', 'felling', 'complete', 'happiness', 'tolerance', '11-11-11', 'retreat', 'wonderful', 'staff', 'member', 'center', 'soho', 'different', 'calmer', 'month', 'skeptic', 'ready']",7
162,"I've tried a few of the different energy shots, and found that the ""5 hour energy"" have a flowery note (lavender?) in all of their flavours.  I can't say I like it. The _effect_ is ok, but the flavour is like bad/flat orange pop, and is otherwise uninspiring. I think I'd prefer the more standard 'berry' flavour of other shots vs this one.","['different', 'energy', 'shot', 'hour', 'energy', 'flowery', 'note', 'lavender', 'flavour', 'ok', 'flavour', 'orange', 'pop', 'uninspiring', 'standard', 'flavour', 'shot']",7
172,"These little things are delicious! I didn't expect much. My wife bought them apparently, and they were just sitting on the kitchen table. She must not have told me about them because she figured I'd eat them all. If that's the case, she's probably right. These things definitely exceeded all my expectations, and were good enough for me to immediately come here and right a review. They do seem pretty pricey here though, but I'm not sure what they run in the stores since I didn't buy them personally.","['little', 'thing', 'delicious', 'wife', 'kitchen', 'table', 'case', 'thing', 'expectation', 'review', 'pricey', 'sure', 'store']",7
186,"So after comparing this to Jay Robb, I can say that this protein is not as good. The taste isn't as good, and it doesn't mix that easy. I don't think it is horrible, just not that good.  One thing I like about the Jay Robb is that they use hormone free chicken eggs. I sent Healty N' Fit an email asking where they get their eggs from, but they didn't reply. It is a little cheaper, but I found the Jay Robb at Vitamin Shoppe for 20 per 12ozs, which isn't bad. I have to say that I don't like the dudes picture on the bottle, but that's my only complaint.","['robb', 'protein', 'easy', 'horrible', 'thing', 'jay', 'robb', 'hormone', 'free', 'chicken', 'egg', 'healty', 'n', 'email', 'egg', 'little', 'cheaper', 'jay', 'robb', 'vitamin', 'shoppe', 'bad', 'dude', 'picture', 'bottle', 'complaint']",7
189,"This is a tasty G.F. product. I've been on a G.F. diet for 7 years so have tried a lot of different products and this is one I reorder. My only negative would be that it doesn't reheat well, but that's true of most G.F. pastas. Not a problem if more than one person is eating it. Nice to have some thing quick and easy to make that is still a hot meal and G.F.","['diet', 'year', 'lot', 'different', 'product', 'reorder', 'negative', 'true', 'pasta', 'problem', 'person', 'thing', 'quick', 'easy', 'hot', 'meal']",7
202,"I was not expecting much from this, a disposable package of self-boiling pasta with a bag of meat sauce. There should be no way it can work. But it does! You fill cover the slightly oily pasta with water, leave on the drainer top, microwave it for 3 minutes, drain it, heat the sauce, and mix it all up. And amazingly, it tasted good! Normally I can't stand this zero-effort lazy style of cooking microwaved meals, but this was actually really tasty. I would not make this a part of my regular routine because of the price, but I can imagine people who would.  I have to take issue with the packaging, though. I am giving this four stars because each serving is individually packaged, and none of it is recycleable. The bulk of what you are buying is packaging, and it all gets thrown away.","['disposable', 'package', 'self-boiling', 'pasta', 'bag', 'meat', 'sauce', 'way', 'oily', 'pasta', 'water', 'drainer', 'microwave', 'minute', 'sauce', 'zero-effort', 'lazy', 'style', 'meal', 'regular', 'routine', 'price', 'people', 'issue', 'packaging', 'star', 'serving', 'recycleable', 'bulk', 'packaging']",7
