,Text,Tokens,Labelled_topic
5,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.  I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.   When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.  I would not recommend anyone buy this product.","['store', 'seller', 'problem', 'expiration', 'date', 'coffee', 'picky', 'coffee', 'drinker', 'kind', 'stronger', 'brew', 'flavored', 'coffee', 'suppose', 'chemical', 'coffee', 'consumer', 'folgers', 'different', 'flavor', 'theirs', 'k-cup', 'brand', 'disappointed', 'coffee', 'caramel', 'sip', 'sort', 'chemical', 'strong', 'flavor', 'coffee', 'caramel', 'time', 'unable', 'cup', 'coffee', 'entire', 'cup', 'equivalent']",13
8,"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.","['wish', 'gevalia', 'option', 'bean', 'pre-ground', 'coffee', 'sunday', 'morning', 'treat', 'little', 'rich', 'people', 'everyday', 'cofffee', 'candy-coffee']",13
30,Coffee is just as good as other Fair Trade coffees that I buy.  I have a One:One pod maker and these fit in them just fine.  I do like my coffee a little on the strong side and can use the pod to make a very big cup of coffee before tossing.  I would recommend this product.,"['coffee', 'fair', 'trade', 'coffee', 'pod', 'maker', 'fit', 'coffee', 'little', 'strong', 'pod', 'big', 'cup', 'coffee']",13
35,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!","['anxious', 'cup', 'original', 'k-cups', 'disappointed', 'cup', 'instruction', 'apparent', 'filter', 'add', 'coffee', 'lid', 'trouble', 'filter', 'size', 'shape', 'outside', 'edge', 'cup', 'impossible', 'cup', 'filter', 'able', 'lid', 'coffee', 'slow', 'k-cup', 'cup', 'keurig', 'machine', 'vinegar', 'result', 'effort']",13
46,I'm grateful for my Keurig coffee maker!  The taste of Green Mountain brand Dark Magic is terrific & got used up real fast!,"['grateful', 'keurig', 'coffee', 'maker', 'green', 'mountain', 'brand', 'dark', 'magic', 'terrific', 'got', 'real', 'fast']",13
52,"UPDATE JANUARY 2011 I am now a pretty regular drinker of this stuff! In fact, I just ordered some more and I note the price has gone down which makes it very afforable, take in the free shipping, and it's an absolutely delicious  steal!  I am really enjoying this Coffee. I usually drink Folgers at home and have done so for nearly 20 years. This was a pleasant surprise, the aroma as it was brewing was scintillating, the taste (with my regular creamer and sugar) was a treat for my taste buds. I finished two cups and was tempted to drink more because it was such a smooth tasting coffee. I used 6 heaped tea-spoon fulls for make 8 cups (as marked on my coffee maker) and it worked out just about right for me; though some hard line coffee drinkers make like it stronger than that! The package itself was a little hard to open, I found the best way was to cut the top off with scissors and use the metal bands on the package to securely close it as airtight as possible.  This a really nice coffee but the only way to be sure you will like it is to try it.","['update', 'january', 'regular', 'drinker', 'stuff', 'fact', 'price', 'afforable', 'free', 'shipping', 'delicious', 'steal', 'coffee', 'folgers', 'home', 'year', 'pleasant', 'surprise', 'aroma', 'regular', 'creamer', 'sugar', 'treat', 'bud', 'cup', 'smooth', 'coffee', 'tea-spoon', 'full', 'make', 'cup', 'coffee', 'maker', 'right', 'hard', 'line', 'coffee', 'drinker', 'stronger', 'package', 'little', 'hard', 'best', 'way', 'scissors', 'metal', 'package', 'possible', 'coffee', 'way', 'sure']",13
76,I was looking for all natural flavored coffee (not easy to find) when my college aged son brought some of this home. I could not find it locally at grocery stores or Starbucks locations so I'm glad it's available at amazon. It has a mild vanilla flavor- not overwhelming like some of the artificially flavored coffees. I will continue to order it.,"['natural', 'coffee', 'easy', 'college', 'son', 'home', 'grocery', 'store', 'starbucks', 'location', 'available', 'mild', 'vanilla', 'flavor-', 'flavored', 'coffee']",13
87,We love the Hazelnut coffee in our house! Great flavor and the coffee isn't bitter or too strong. I also love the price! Buying it here in a pack of 50 makes it cheaper than any of the stores in our city.,"['hazelnut', 'coffee', 'house', 'flavor', 'coffee', 'bitter', 'strong', 'price', 'buying', 'pack', 'cheaper', 'store', 'city']",13
103,"I will start by being kind, It is a good idea to save money with an item or concept like this. It makes good sense to use your own coffee beans and avoid the cost of the pre-filled commercial K-cups you buy at the store.  Now, I received my DisposaKups over a month after ordering them and put them to use.  I was immediately disappointed, filters did not hold very much coffee, It was a struggle to get the lids to fit together with the filter and outer plastic cup.  The coffee was very weak.  This product actually creates more waste in a landfill than the commercially made K-cups. The body and lids are plastic.  Normal K-cups do not have a plastic lid.  Notice they say 100% disposable....So put them in the trash. They are not recyclable = landfill.  They are not convenient, they are a bit messy, a pain to put together and still expensive.  Not worth it! There are better alternatives out there that will save you money, make better coffee and not go into a landfill.  Sorry, I wish I had better news, I think I will return these.","['kind', 'idea', 'money', 'item', 'concept', 'sense', 'coffee', 'bean', 'cost', 'pre-filled', 'commercial', 'k-cups', 'store', 'disposakups', 'disappointed', 'filter', 'coffee', 'struggle', 'lid', 'filter', 'outer', 'plastic', 'coffee', 'weak', 'waste', 'landfill', 'k-cups', 'body', 'lid', 'plastic', 'normal', 'k-cups', 'plastic', 'lid', 'notice', 'disposable', 'trash', 'recyclable', 'landfill', 'convenient', 'bit', 'pain', 'expensive', 'better', 'alternative', 'money', 'better', 'coffee', 'landfill', 'sorry', 'wish', 'news']",13
123,"I have tried a number of Senseo pods, and this is my favorite.  It is very smooth.  It tastes like coffee from a coffee house (rather than a Senseo).","['number', 'senseo', 'pod', 'favorite', 'smooth', 'coffee', 'coffee', 'house', 'senseo']",13
127,"I think this is a great tasting product,use in coffee every day.I am saying goo-bye to white sugar!!","['use', 'coffee', 'goo-bye', 'white', 'sugar']",13
133,"I'm a big coffee drinker (much against my better judgement), but due to a stomach condition, I've been ""forced"" to drink mostly decaf for the last few years. I usually just get the cheapest coffee I can find near my office; after all, I don't make a lot of money and every penny counts. So it was nice to get this Melitta Cafe ground coffee to sample.  When I made my first cup, I was immediately attacted by the pleasant aroma. I put in a little cream and 4 Splendas as I usually do, and found the taste a little on the light side yet quite bitter. Maybe it's because this is decaf, but what I did like was its pureness, something 50-cent coffees usually lack. I have made two cups a day since my first taste and over the last couple of days I've grown to like this coffee. Granted, to me coffee is pretty much like wine in that all the different varieties taste more or less the same except for the level of bitterness, but even I can tell this is gourmet coffee, much better than the ones I get at my local coffee stands or even at McDonald's (when they give out free cups).  For a pack of 3, the price seems decent. If you drink decaf, I think this is quite worth a try.","['big', 'coffee', 'drinker', 'better', 'judgement', 'stomach', 'condition', 'decaf', 'year', 'cheapest', 'coffee', 'near', 'office', 'lot', 'money', 'penny', 'melitta', 'cafe', 'ground', 'coffee', 'cup', 'pleasant', 'aroma', 'little', 'cream', 'splendas', 'little', 'light', 'bitter', 'decaf', 'pureness', '50-cent', 'coffee', 'cup', 'couple', 'day', 'coffee', 'coffee', 'wine', 'different', 'variety', 'level', 'bitterness', 'gourmet', 'coffee', 'one', 'local', 'coffee', 'mcdonald', 'free', 'cup', 'pack', 'price', 'decent', 'decaf', 'worth', 'try']",13
139,"Caused my cuisinart k-cup brewer to leak every time I used it.  Great idea, just needs some adjustments so that the coffee maker works properly with it.","['cuisinart', 'k-cup', 'brewer', 'time', 'idea', 'adjustment', 'coffee', 'maker']",13
150,"Fantastic espresso beans!  I usually drink Illy, but thought I would give this a 'shot'... and I was not disappointed! This has a slightly smokier flavor than the Illy roasts, produces a NICE crema, and is ultra smooth.  In short, give this a try.  Highly recommended for my fellow coffee heads out there...","['fantastic', 'espresso', 'bean', 'smokier', 'flavor', 'illy', 'roast', 'crema', 'ultra', 'smooth', 'short', 'try', 'fellow', 'coffee', 'head']",13
151,This company is VERY accommodating and was quick to re-ship my missing UPS shipped order.  The general manager took care of the problem personally and quickly.  This company definitely has my future business.  They have a fantastic product and even better customer service!,"['company', 'accommodating', 'quick', 're-ship', 'ups', 'general', 'manager', 'care', 'problem', 'company', 'future', 'business', 'fantastic', 'better', 'customer', 'service']",13
158,"Sticks and Twigs may seem a little pricey compared to regular pretzels, but the bag lasts a long time and the ingredients, like flax seeds, quinoa, chia seeds and curry, are good for you. They are very crunchy, but tasty. For some added protein, I like to dip them in peanut butter.","['stick', 'twig', 'little', 'pricey', 'regular', 'pretzel', 'bag', 'long', 'time', 'ingredient', 'flax', 'seed', 'chia', 'seed', 'curry', 'crunchy', 'added', 'protein', 'peanut', 'butter']",13
168,"If any of you read Kim Harrison - you will know that Al always orders a latte with raspberry syrup and extra cinnamon.  I tried this drink at Starbucks and it was wonderful.  I have an espresso machine at home and thought I could save a lot of time and money making this drink on my own.  This syrup was perfect!  It tastes wonderful, both in my coffee and also on ice cream!","['harrison', 'al', 'order', 'latte', 'raspberry', 'syrup', 'extra', 'cinnamon', 'drink', 'starbucks', 'wonderful', 'espresso', 'machine', 'home', 'lot', 'time', 'money', 'making', 'drink', 'syrup', 'perfect', 'wonderful', 'coffee', 'ice', 'cream']",13
176,"My wife likes flavored coffee and this is, by far, her favorite. Great taste. Medium brew. Excellent value too. We order this brew regularly. Guests enjoy this coffee as wel.","['wife', 'like', 'coffee', 'favorite', 'medium', 'excellent', 'value', 'regularly', 'guest', 'coffee', 'wel']",13
194,"If this was called ""Medium Roast"", I would give it 4 stars. It's a good coffee.  But this is called French Vanilla Caramel, and this review is based on the product's name.  Let me say that vanilla and caramel are perhaps my favorite flavors... coffee, ice cream, candy, you name it... if it's vanilla or caramel, I love it.  With the exception of this.  Where's the vanilla? Where's the caramel? And don't get me wrong: I'm not trying to say that the flavors are too mild. I'm saying that they are NON-EXISTENT. And therefore, based on the name, this coffee gets 1 star.","['medium', 'roast', 'coffee', 'french', 'vanilla', 'caramel', 'review', 'vanilla', 'caramel', 'favorite', 'flavor', 'coffee', 'ice', 'cream', 'candy', 'caramel', 'exception', 'vanilla', 'caramel', 'wrong', 'flavor', 'mild', 'non-existent', 'coffee', 'star']",13
205,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR,"['grove', 'square', 'cappuccino', 'cup', 'excellent', 'right', 'keurig', 'brewer', 'wwould', 'recommend', 'rccjr']",13
