,Text,Tokens,Labelled_topic
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,"['stuff', 'try', 'shaker', 'cup', 'electric', 'wand', 'mixer', 'milkshake', 'effect', 'chocolately', 'yummy']",6
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'best', 'teaspoon', 'everyday', 'yummy', 'coconut', 'oil', 'wonder', 'hair', 'price', 'second', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'dry', 'skin', 'cold', 'winter', 'month', 'shea', 'butter', 'skin']",6
37,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.","['flavor', 'benefit', 'fresh', 'wheat', 'grass', 'difficult', 'hand', 'powder', 'punch', 'pleased']",6
51,"Bought these to try some new recipies, but have found they are quite tasty straight out of the can, chopped up in my salad!","['new', 'recipies', 'salad']",6
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['pleased', 'salt', 'salty', 'regular', 'salt', 'salt', 'sea', 'little', 'bit', 'long', 'way', 'thing', 'hand']",6
86,My wife is now addicted to this.  She uses it to make her own style of salad dressing and of course it is great for making garlic bread.  This is too good.  We need to buy another one real soon.,"['wife', 'style', 'salad', 'course', 'garlic', 'bread', 'real']",6
99,"Having worked in a movie theater in high school and through college, popcorn is a very nice treat.  That was 40 years ago, and it is still a very nice treat.  The seasoning salt makes this treat even more enjoyable by adding the right flavor to the popcorn to bring back memories of going to a movie in a less stressful time.","['movie', 'theater', 'high', 'school', 'college', 'popcorn', 'treat', 'year', 'treat', 'seasoning', 'salt', 'treat', 'enjoyable', 'right', 'flavor', 'popcorn', 'memory', 'movie', 'stressful', 'time']",6
118,"I am a tuna snob!  This tuna is close in quality to the best tuna I have had and works well for making large qauntities when the best tuna is cost prohibitive.  I mix with cannelini beans, olive oil (generous amount) and chopped red onions for a great meal with greens or bread or both!","['tuna', 'snob', 'tuna', 'best', 'tuna', 'large', 'qauntities', 'best', 'tuna', 'prohibitive', 'cannelini', 'bean', 'olive', 'oil', 'generous', 'red', 'onion', 'meal', 'green', 'bread']",6
134,Do you want people to think you ran out to the theater to buy popcorn? This product is great and has that theater taste.,"['people', 'theater', 'theater']",6
136,"Oil is very pleasant to the palate Fruity with a distint olive taste, which is what I was looking for. Excellent product. Far superior to any Italian EVO I have tried.","['oil', 'pleasant', 'palate', 'fruity', 'distint', 'olive', 'excellent', 'superior', 'italian', 'evo']",6
