,Text,Tokens,Labelled_topic
15,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,"['healthy', 'treat', 'dog', 'box', 'box', 'way', 'treat', 'hole', 'plastic', 'outside', 'evidence', 'date', 'couple', 'month', 'people', 'time', 'refund', 'seller', 'response']",5
106,I received the chicken pill pockets for my cat and he loves them. What an idea!! The order was fast and the price was fantastic!! This is where I will order them from now on!!!!! Thank you sooo much.,"['chicken', 'pill', 'pocket', 'cat', 'idea', 'price', 'fantastic', 'thank']",5
140,"The product is of high quality, and has a rich full flavor.  Delivery was unexpectedly fast.  The only negative I would like to see addressed is that the product is packed in a heavy paper sack. While this may be commonplace, a significant improvement would be to have an inner liner of a heavy weight, food grade, plastic bag that can be sealed after each time you open the bag.  Could be either a zip-lock bag or a twist tie closure... doesn't make any difference... just need a practical way to preserve the freshness of the product and keep the bugs out of it.  This is a health and spoilage issue... 50#'s of oatmeal is a lot of product and needs to either be repackaged by the consumer in small food grade bags or containers (very expensive and hard to find}. I am a single senior who likes to buy staple goods in bulk to save money and provide food security.  Long term storage is a big issue with people like me.  Thom (Missouri)","['high', 'rich', 'flavor', 'delivery', 'negative', 'addressed', 'heavy', 'paper', 'sack', 'significant', 'improvement', 'inner', 'liner', 'heavy', 'weight', 'food', 'plastic', 'bag', 'time', 'bag', 'zip-lock', 'bag', 'twist', 'tie', 'closure', 'difference', 'practical', 'way', 'freshness', 'bug', 'health', 'spoilage', 'issue', 'oatmeal', 'lot', 'consumer', 'small', 'food', 'grade', 'bag', 'container', 'expensive', 'hard', 'single', 'senior', 'staple', 'good', 'bulk', 'money', 'food', 'security', 'long', 'term', 'storage', 'big', 'issue', 'people', 'missouri']",5
149,"This bone is VERY BIG. So for the price it is definitely a good deal. It will last over a year for my 2 big dogs (1 a Labrador, the other a golden retriever) even if they chew it every day.","['bone', 'big', 'price', 'deal', 'big', 'dog', 'labrador', 'golden', 'retriever']",5
160,"I recently began using Wholesome Sweeteners products and could not be happier with the taste. I was so happy to discover this product and will continue using it, for sure!","['wholesome', 'sweetener', 'product', 'happier', 'happy', 'sure']",5
190,"These are not the York Peppermint Patties that I am accustomed to. They are very noticeably made of lower quality ingredients. After I took a single bite I could tell something was wrong, so I checked the packaging and sure enough these are manufactured in Mexico (I saw on another variety here on Amazon that people were complaining about the quality of the 'Made in Mexico' York Peppermint Patties). This product is a waste of money.","['york', 'peppermint', 'patty', 'lower', 'ingredient', 'single', 'bite', 'wrong', 'packaging', 'sure', 'mexico', 'variety', 'people', 'mexico', 'york', 'peppermint', 'patty', 'waste', 'money']",5
196,"The sweet tea flavor is very tasty and refreshing without any added sugar or calories.  It is very conveniently packaged for use away from home as well.  I just pop it in my purse and I'm good-to-go.  I get to control how much flavor is added according to my taste and mood.  Because it is a liquid, there is no concern with additive powders that don't dissolve properly.  I'm a fan.","['sweet', 'tea', 'flavor', 'added', 'sugar', 'calorie', 'use', 'home', 'pop', 'purse', 'good-to-go', 'flavor', 'mood', 'liquid', 'concern', 'additive', 'powder', 'fan']",5
221,"Saw this on Oprah's favorite things and thought it would make a great little Christmas gift for my friends that love cooking as much as I do. Since they come in packages of three, I kept one and gave two away. I couldn't open mine to clean it, so my husband had to open it and he had a hard time. I thought it was just too tight from the factory. My basil looked great after ten days. But when I went to use the basil, I could not open the pod. Husband not home...neighbor not home...dog missing thumbs. I tried lightly rapping it against the counter edge and the seam cracked right down the middle. (Okay, maybe a little harder than 'lightly,' I was pretty frustrated.) Luckily I had emptied the water, so I only had a small mess to clean up. The pod went into the garbage...forcefully. I checked with my friends. Friend #1 had the same problem and her pod is now a rooting capsule for plant clippings because she had to throw away the clear cover...it also broke when she squeezed the pod to try to open it. Friend #2 has now been warned. There were no special tips included on how to open the pod and judging from comments I've read, we're not the only ones who have had this problem. I think this was designed by the same guy that invented the  security wrapping/tape on music CDs! I've gone back to my old method...a wide-mouth mayo jar with pretty hair band holdingdown a circle of fabric...it works!","['saw', 'oprah', 'favorite', 'thing', 'little', 'christmas', 'gift', 'friend', 'package', 'husband', 'hard', 'time', 'tight', 'factory', 'basil', 'day', 'basil', 'pod', 'husband', 'neighbor', 'home', 'dog', 'thumb', 'counter', 'edge', 'seam', 'middle', 'okay', 'little', 'harder', 'frustrated', 'water', 'small', 'mess', 'pod', 'garbage', 'friend', 'problem', 'pod', 'rooting', 'capsule', 'plant', 'clipping', 'clear', 'cover', 'pod', 'special', 'tip', 'pod', 'judging', 'comment', 'one', 'problem', 'guy', 'security', 'music', 'cd', 'old', 'method', 'wide-mouth', 'mayo', 'jar', 'pretty', 'hair', 'circle', 'fabric']",5
222,Have been getting this coffee for several months and very much like their bold flavor in comparison to others I've tried. Keep it air tight after opening is not a big deal. great coffee!,"['coffee', 'month', 'bold', 'flavor', 'comparison', 'air', 'opening', 'big', 'deal', 'coffee']",5
232,"My dog used to LOVE these.  I thought I was was giving him a great ""treat"", that was actually a supplement to improve his arthritis symptoms.  Then, his liver enzymes were elevated, and he was becoming less active, and always thirsty.  Thank goodness a friend sent me a link about the FDA warnings, 2-3 since, 2009! Hundreds of dogs have died,very painful and expensive deaths.  If you love your dog-go to the FDA  website yourself...and Do Not BUY these ""treats""!","['dog', 'treat', 'supplement', 'arthritis', 'symptom', 'liver', 'enzyme', 'active', 'thirsty', 'thank', 'goodness', 'friend', 'link', 'fda', 'warning', '2-3', 'hundred', 'dog', 'painful', 'expensive', 'death', 'dog-go', 'fda', 'website', 'treat']",5
248,"I've long been a fan of the Maxwell House International Coffee line, so I was excited to try this flavor.  If you are a fan of other pumpkin spice drinks at unnamed large coffee chains, you will definitely like this product.  I like that you are able to add the amount that you want, and the mix blends very nicely and evenly.  This is a perfect treat for a cold winter's night!","['fan', 'maxwell', 'house', 'international', 'coffee', 'line', 'flavor', 'fan', 'pumpkin', 'spice', 'drink', 'unnamed', 'large', 'coffee', 'chain', 'able', 'mix', 'perfect', 'treat', 'cold', 'winter', 'night']",5
268,"This is a tasty treat--with a thin layer of sugary jelly in the middle.  No oozing jelly or anything as I have initially thought.  For 16 pcs, I think this item is too expensive and would not buy again.","['treat', 'layer', 'sugary', 'jelly', 'middle', 'pc', 'item', 'expensive']",5
286,"Product is ok, but I consider it very expensive for a small plastic item!  If I had seen the product in person, I never would have paid that much for it.","['ok', 'expensive', 'small', 'plastic', 'item', 'person']",5
303,"The dogs loved them, I'll certainly order these again.  They're wholesome and not made in China which is very important","['dog', 'china', 'important']",5
309,Justin's individual nut butter packs are delicious and perfect for back packing trips! I bring them every time without dissatisfaction. Highly recommended product.,"['justin', 'individual', 'butter', 'pack', 'delicious', 'perfect', 'trip', 'time', 'dissatisfaction']",5
318,"This is the best tasting soup I recommend this soup to anyone who has a head cold. After eating a bowl of this soup with mixed vegetables, cut cooked chicken breast my head cold was gone the next day.","['best', 'tasting', 'soup', 'soup', 'head', 'cold', 'bowl', 'soup', 'mixed', 'vegetable', 'cooked', 'chicken', 'breast', 'head', 'cold']",5
382,"Over the years, this chili powder has gotten harder to find. It has been a staple of our family's chili for decades, and I am very glad to be able to still purchase it. It has a perfect blend of seasonings that requires nothing more than ground beef, onions, and tomato soup to make an outstanding bowl of chili.   Williams Chili Seasoning Bulk Mix 18 oz","['year', 'chili', 'powder', 'harder', 'staple', 'family', 'chili', 'decade', 'glad', 'able', 'perfect', 'blend', 'seasoning', 'ground', 'beef', 'onion', 'tomato', 'soup', 'outstanding', 'bowl', 'chili', 'williams', 'bulk', 'mix', 'oz']",5
416,"This is a very tasty products, I love the crunch and the favor it gets four thumbs up from me","['product', 'crunch', 'favor', 'thumb']",5
439,"The Jack Link's 30 Jerky Strips were verrrryyyy SKINNY! Some were only about 1/8 inch wide and counted as one strip. If I had known this, I would NOT have ordered the beef jerky strips - tasty, but totally not worth the money!!!!","['jack', 'link', 'jerky', 'strip', 'verrrryyyy', 'skinny', 'inch', 'wide', 'strip', 'beef', 'jerky', 'money']",5
451,I got this for my kids easter basket just to have something different and they loved it.  It tastes great and even travels well.  This is a great treat to take in the car or stick in a purse for that time when you are craving ice cream but can't have it.,"['kid', 'basket', 'different', 'travel', 'treat', 'car', 'stick', 'purse', 'time', 'ice', 'cream']",5
459,I got this tea a few days ago and it has great taste...has a mild citrus taste. Love love love! Will come back in 4 weeks to review the weight loss aspect as today is my first day!  Update (almost 2 weeks later): I am still totally in love with this tea and I actually noticed that it suppresses appetite. Great! I have been losing weight but I can't totally attribute it to this tea as I have also been exercising more. But the appetite suppression is a great attribute for me.,"['tea', 'day', 'mild', 'citrus', 'love', 'love', 'week', 'weight', 'loss', 'aspect', 'today', 'week', 'love', 'tea', 'appetite', 'weight', 'tea', 'appetite', 'suppression', 'attribute']",5
499,Great product our dog is loving a tasting treat that is good for her 14 year old bones,"['dog', 'tasting', 'treat', 'old', 'bone']",5
500,"Great tasting jerky, while the family likes the more traditional jerky I really have come to enjoy this hormone free jerky.  The sodium level is so much lower than most jerky brands so not brutal salt like most jerky.","['jerky', 'family', 'traditional', 'jerky', 'hormone', 'free', 'jerky', 'sodium', 'level', 'lower', 'jerky', 'brand', 'brutal', 'salt', 'jerky']",5
