,Text,Tokens,Labelled_topic
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber', 'healthier']",4
16,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).","['co-worker', 'delicious', 'low', 'calorie', 'protein', 'usual', 'pretzel', 'chip', 'case', 'better', 'buy', 'supermarket']",4
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'different', 'protein', 'bar', 'main', 'problem', 'protein', 'bar', 'favorite', 'normal', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'favorite', 'peanut', 'butter', 'snack', 'friend', 'healthy', 'treat']",4
56,"Of the Erin Baker products, the Fruit & Nut Mini Breakfast Cookie is my favorite!  I have one mini breakfast cookie (about 100 calories) with a cup of coffee in the morning and I feel satisfied and ready to start the day.  Very healthy, low in caloreis, and super delicious is what makes the product work for me.  Try it, you'll like it.","['erin', 'baker', 'product', 'fruit', 'nut', 'mini', 'breakfast', 'cookie', 'favorite', 'mini', 'breakfast', 'cookie', 'calorie', 'cup', 'coffee', 'morning', 'satisfied', 'ready', 'healthy', 'low', 'caloreis', 'super', 'delicious', 'work']",4
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'sweet', 'delicious', 'healthy', 'choice', 'healthy', 'life']",4
69,I chose this product as I am not crazy about chocolate flavoured products. This goes well with coffee and good if you are in a hurry. It keeps me full till lunch time. I worry about the fat content however. I probably would need an input from a dietician regarding that.,"['crazy', 'chocolate', 'product', 'coffee', 'hurry', 'till', 'lunch', 'time', 'fat', 'content', 'input', 'dietician', 'regarding']",4
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'creative', 'calorie', 'check']",4
92,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.  This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.  The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.","['lot', 'cereal', 'lot', 'high-fiber', 'kind', 'oatmeal', 'mini', 'shredded', 'wheat', 'raisin', 'bran', 'instance', 'healthier', 'option', 'tried', 'kashi', 'cereal', 'plain', 'cardboard', 'grape', 'nut', 'horrendous', 'yeast', 'cat', 'food', 'closer', 'litter', 'texture', 'antioxidant', 'berry', 'yogurt', 'crunch', 'better', 'high-fiber', 'cereal', 'decent', 'health', 'bar', 'broken', 'cereal', 'cluster', 'yogurt', 'plain', 'cereal', 'decent', 'yes', 'sugar', 'fiber', 'calorie', 'part', 'bran', 'wheat', 'higher', 'sugar', 'calorie', 'lower', 'dietary', 'antioxidant', 'bonus', 'line', 'grocery', 'list', 'sale', 'price', 'right']",4
120,"I love watching TV munching on this.  It's got NOTHING IN IT but the vegetables!  Much healthier than ... anything else!  It's not super cheap, but it's super healthy.","['tv', 'vegetable', 'healthier', 'super', 'cheap', 'healthy']",4
121,"I had coconut trees growing in my backyard in Southeast Asia, and enjoyed drinking coconut water right from the coconut itself. Taste Nirvana Real Coconut Water with Pulp is the closest to the real thing that I've found.","['coconut', 'tree', 'backyard', 'southeast', 'asia', 'drinking', 'coconut', 'water', 'right', 'coconut', 'nirvana', 'real', 'coconut', 'water', 'pulp', 'closest', 'real', 'thing']",4
122,"Planter's Big Nut bars are just that:  Big and full of nuts (honey roasted peanuts, almonds, and cashews)  I often have issues with this kind of snack, since they so often try to position themselves as a healthy choice and they so often are not one.  Aside from calling itself a granola bar, this snack does not make any particular health claims, yet it actually is a relatively good choice - VERY preferable to a candy bar (which is really where these types of snacks belong).  It contains 12 g of fat, but almost none of it (1.5 g) is saturated.  Each bar contains no cholesterol, a reasonable 230 mg of sodium, and 220 calories, while providing 7 g of protein, 3 g of fiber, calcium, iron, vitamin E, and phosphorous.  Like most of these bars, there's quite a lot of sugar, but again, when compared to other candy bars, it's not a bad choice, and they easily taste as good as most candy bars.  I wouldn't hesitate to have one of these as an occasional treat.","['planter', 'big', 'nut', 'bar', 'big', 'nut', 'honey', 'peanut', 'almond', 'cashew', 'issue', 'kind', 'snack', 'position', 'healthy', 'choice', 'aside', 'granola', 'bar', 'snack', 'particular', 'health', 'claim', 'choice', 'preferable', 'candy', 'bar', 'type', 'snack', 'g', 'fat', 'bar', 'cholesterol', 'reasonable', 'mg', 'sodium', 'calorie', 'g', 'protein', 'g', 'fiber', 'calcium', 'iron', 'vitamin', 'e', 'phosphorous', 'bar', 'lot', 'sugar', 'candy', 'bar', 'bad', 'choice', 'candy', 'bar', 'occasional', 'treat']",4
144,These are very delish - crunchy & flavorful - easy to transport for kids lunches and helps provide the daily requirements for fruit.,"['delish', 'crunchy', 'flavorful', 'easy', 'kid', 'lunch', 'daily', 'requirement', 'fruit']",4
