,Text,Tokens,Labelled_topic
13,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.","['sweetener', 'drop', 'lemon', 'extra', 'packet', 'sweetener', 'happy', 'serving', 'bottle', 'economical', 'stevia', 'product', 'grocery', 'store']",7
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",7
34,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.","['sauce', 'unique', 'flavor', 'decent', 'kick', 'hot', 'sauce', 'strong', 'usual', 'choice', 'unique', 'flavor', 'number', 'dish', 'impressed', 'way', 'homemade', 'vegetable', 'soup']",7
39,"These were freakin awesome. All 10 LBs were top quality, and better than many restaurants.  Ordering my second batch now.  How I prepare them: place several legs in a pot of boiling water for about a minute, or less if you stir em.  They are already cooked so you just want to heat them up. Cooking them further will ruin them. The end piece will piece will take a bit longer.","['freakin', 'lb', 'better', 'restaurant', 'second', 'batch', 'leg', 'pot', 'water', 'minute', 'end', 'piece', 'bit']",7
40,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,"['water', 'fact', 'water', 'bottle', 'drink', 'win', 'win', 'situation']",7
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['russian', 'descent', 'buckwheat', 'entire', 'life', 'buckwheat', 'local', 'russian', 'eastern', 'european', 'store', 'time', 'american-made', 'buckwheat', 'thing', '10-12', 'min', '25-30', 'min', 'item', 'instant', 'buckwheat', 'different', 'usual', 'strong', 'metallic', 'smell', 'item', 'closest', 'russian', 'eastern', 'european', 'shop', 'thing', 'time']",7
89,I bought this to make a sauce and it taste great gives a good flavor.  I really enjoyed it an it lasts a long time.,"['sauce', 'flavor', 'long', 'time']",7
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'right', 'flavor', 'burn', 'perspective', 'insanely', 'hot', 'sauce', 'hot', 'awesome', 'heat', 'burn', 'short', 'commercial', 'pizza', 'place', 'hot', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",7
126,While it is a bit pricey. I enjoyed this water as a nice alternative to just plain water. I enjoyed the flavoring of the Watermelon. It made it easier to make sure that I am hydrated.,"['bit', 'pricey', 'water', 'alternative', 'water', 'flavoring', 'watermelon', 'easier', 'sure']",7
130,"Happy with this purchase, it's a good deal. It's the most fragrant coriander ever! Coriander is a super spice, tri-dosha (and a health supplement as well, research it, it's a ground cilantro seed). We use it in lots of dishes. Thank you!","['happy', 'purchase', 'deal', 'fragrant', 'coriander', 'coriander', 'super', 'spice', 'tri-dosha', 'health', 'supplement', 'research', 'ground', 'cilantro', 'seed', 'lot', 'dish']",7
