Topic_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
bag,bag,time,bad,green,noodle,review,chip,little,star,shipping,fresh,year,reason,different,cream,green tea,sure,package,batch,free
sweet drinks,flavor,chip,juice,butter,soda,orange,peanut,honey,alternative,drink,corn,regular,peanut butter,potato,rice,taste,sweet,little,tangerine,aftertaste
family,family,better,flavor,sweet,one,little,hand,pod,super,house,pancake,fantastic,strawberry,blueberry,syrup,curry,hour,special,tart,berry
supermarket,price,store,best,local,grocery,grocery store,brand,better,cheaper,time,expensive,cake,way,box,tasting,deal,sale,able,local grocery,pack
snacks,snack,sugar,bar,healthy,calorie,fat,protein,candy,cereal,sweet,nut,fruit,low,coconut,apple,high,fiber,flavor,size,sodium
dog,treat,dog,china,jerky,friend,product,big,chicken,packaging,stick,blend,beef,plastic,fan,bag,time,day,fda,dog treat,rich
condiments,salt,oil,bit,popcorn,easy,salad,olive,ginger,way,price,lemon,light,salty,flavor,pepper,fresh,mix,sea,bread,deal
water,water,sauce,bottle,diet,lot,packet,way,pasta,thing,hot,little,time,long,flavor,problem,easy,formula,stuff,glass,low
hot drinks,chocolate,drink,milk,hot,flavor,cocoa,powder,ingredient,energy,sugar,natural,artificial,hot chocolate,sweet,water,dark,stuff,dark chocolate,hot cocoa,chemical
pet_baby,food,cat,dog,month,variety,baby,ingredient,soup,old,organic,time,meat,jar,pack,product,dog food,can,best,pet,earth
food,vanilla,bean,husband,gift,package,quick,wonderful,pork,licorice,happy,flavor,delicious,delivery,easy,shake,piece,awesome,bag,extract,rind
tea,tea,cracker,flavor,cheese,black,son,cherry,graham,iced,favorite,graham cracker,strong,lot,wonderful,iced tea,loose,black tea,money,green tea,leaf
healthy food,box,free,cooky,mix,gluten,gluten free,item,cookie,rice,recipe,package,time,oatmeal,flour,product,cinnamon,kid,wheat,cereal,bread
coffee,coffee,cup,flavor,seed,strong,brand,keurig,cups,bitter,bean,roast,service,ground,smooth,company,machine,time,cup coffee,excellent,customer
