,Text,Tokens,Labelled_topic
12,"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!","['vet', 'half-siamese', 'particular', 'cat', 'tarter', 'buildup', 'result', 'bad', 'breath', 'skeptical', 'cat', 'picky', 'food', 'treat', 'vet', 'quick', 'delivery', 'tarter', 'buildup', 'bad', 'breath', 'unhappy', 'kitty', 'life', 'cet', 'enzematic', 'cat', 'chew']",13
42,"Right now I own 3 cats that I found outside, a good eight years ago, and I found another cat which I adopted also.  I have always fed them Eukanuba Adult Lamb&Rice dry cat food, and they truly LOVE IT!  When you first open the bag you can smell the savory aroma!  Of the 3 cats that I found outdoor and adopted, one turned out to be a Turkish Angora and the other has markings similar to that of a snow leopard, and the third cat I found out is part Egyptian mau.  I also feed a feral cat who has been living in my back yard for 10 years.  They all love this food, and even when they changed the formula of this food a few years ago, they still eat it and love it!  If you read the ingredients, it is excellently made, and a real plus for their diet!  They've been eating it for years now, and I have yet to see any of my cats turn up their nose to this food.  The other dry foods that my cats love is Fancy Feast Gourmet Filet Mignon Flavor with Real Seafood & Shrimp Dry Cat Food and they've just started eating Eagle Pack Natural Pet Food, Indoor Formula for Cats and a cat food brand called 'Artemis'.  I haven't any problems with them eating any of these dry foods, and I've been rescuing cats for over 30 years now, and have owned as many as 7 cats at one time.  One set of kittens were born outdoor and I brought them indoors with their mother and kept them all until the day they passed on(they all lived to be close to 20 years of age) and they too ate Eukanuba lamb&rice and loved it!  I have had foods that they turned up their nose with like 'Chicken Soup' and 'Taste of the Wild'.  The same way we humans have our likes and dislikes is the same way that these cats have their likes and dislikes.  What's good for one cat might not be good for another.  You just have to learn your cat, and see what they like and just give it to them.  While my cats are in love with Eukanuba lamb&rice, maybe your cat will also or maybe not, but it isn't fair to not try this food because of a review where the owner says that their cat doesn't like it. As previously stated, maybe your cat will not like it or maybe your cat will love it!  I've tried cat foods based on good reviews figuring that the food will automatically be a hit and sometimes it was and sometimes it wasn't!  It's all up to the cat!","['cat', 'year', 'cat', 'adult', 'lamb', 'rice', 'dry', 'cat', 'food', 'bag', 'savory', 'aroma', 'cat', 'turkish', 'angora', 'marking', 'similar', 'snow', 'leopard', 'cat', 'egyptian', 'mau', 'feral', 'cat', 'yard', 'year', 'food', 'formula', 'food', 'year', 'ingredient', 'real', 'plus', 'diet', 'year', 'cat', 'nose', 'food', 'dry', 'food', 'cat', 'fancy', 'gourmet', 'filet', 'mignon', 'flavor', 'real', 'seafood', 'shrimp', 'dry', 'cat', 'food', 'eagle', 'pack', 'natural', 'pet', 'food', 'indoor', 'formula', 'cat', 'cat', 'food', 'brand', 'problem', 'dry', 'food', 'cat', 'year', 'cat', 'time', 'set', 'kitten', 'outdoor', 'indoors', 'mother', 'year', 'age', 'eukanuba', 'lamb', 'rice', 'food', 'nose', 'like', 'soup', 'wild', 'way', 'human', 'like', 'dislike', 'way', 'cat', 'like', 'dislike', 'cat', 'cat', 'cat', 'love', 'eukanuba', 'lamb', 'rice', 'cat', 'fair', 'food', 'review', 'owner', 'cat', 'cat', 'cat', 'cat', 'food', 'review', 'food', 'hit', 'cat']",13
106,I received the chicken pill pockets for my cat and he loves them. What an idea!! The order was fast and the price was fantastic!! This is where I will order them from now on!!!!! Thank you sooo much.,"['chicken', 'pill', 'pocket', 'cat', 'idea', 'price', 'fantastic', 'thank']",13
117,Product has a shelf life of two years and was labeled as produced in December of 2009. Product leaked from seal in carton.,"['shelf', 'life', 'year', 'december', 'seal', 'carton']",13
296,"I haven't had a cat yet that liked this one.  It's just a little too interesting for them I think.  It smells nasty but I think it's just the taste that really gets them.  My current cat just won't touch it - he might eat a couple of bites if he's REALLY hungry, but I always wind up throwing it out.  This one is ground so if your cat likes pieces, don't try this one.","['cat', 'little', 'nasty', 'current', 'cat', 'couple', 'bite', 'hungry', 'cat', 'like', 'piece']",13
326,"My cats are not picky eaters, and lick their bowls clean of virtually anything i feed them (wellness, fussie cat, fancy feast, bff). I tried feeding them Tiki Cat on 2 separate occasions, and my cats threw up both times. I thought they may have gotten sick the first time from eating something off the floor, but when it happened a second time I was certain it was the Tiki Cat. I'm not sure if I received a bad batch, but I will certainly never be purchasing a Tiki Cat product again.","['cat', 'picky', 'eater', 'bowl', 'clean', 'wellness', 'fussie', 'cat', 'fancy', 'bff', 'tiki', 'cat', 'separate', 'occasion', 'cat', 'time', 'time', 'floor', 'second', 'time', 'certain', 'tiki', 'cat', 'sure', 'bad', 'batch', 'tiki', 'cat']",13
362,"My name is Patrick, and I am an American shorthair of indeterminate age and semi-discriminating tastes.  My human asked me to write this review for the Instinct Raw Boost Bites: Chicken Formula she got through the Vine program because she is unable to sample them herself.  I gobbled up the portion my human gave me right away.  As far as I'm concerned, these deserve two paws up.  My housemate Tiger, also enjoyed the Bites.  She has a more discriminating palate than me, but she liked these just fine.  We think they compare favorably to other feline brand  snacks, like Pounce and Temptations.  Each piece is larger than say, a Pounce pellet, which our human broke into smaller pieces, so one or two make a more than adequate snack.  According to my human, the package says that the treats are grain-free and are made from ""minimally processed, freeze dried raw ingredients.""  Ingredients include chicken, turkey, vegetables like butternut squash and broccoli, ground flaxseed, salmon oil, and mixed tocopherols with citric acid (?).  I'm not entirely sure what all that stuff means, but I would recommend the Bites to other cats who enjoy chicken flavored snacks that are meant for cats.","['patrick', 'american', 'shorthair', 'indeterminate', 'age', 'semi-discriminating', 'taste', 'human', 'review', 'instinct', 'raw', 'boost', 'bite', 'formula', 'vine', 'program', 'unable', 'portion', 'human', 'right', 'housemate', 'tiger', 'bite', 'discriminating', 'palate', 'feline', 'brand', 'snack', 'pounce', 'temptation', 'piece', 'larger', 'pounce', 'pellet', 'human', 'smaller', 'piece', 'adequate', 'snack', 'human', 'package', 'treat', 'grain-free', 'freeze', 'raw', 'ingredient', 'ingredient', 'chicken', 'turkey', 'vegetable', 'butternut', 'squash', 'broccoli', 'ground', 'salmon', 'oil', 'mixed', 'tocopherol', 'citric', 'acid', 'sure', 'stuff', 'bite', 'cat', 'flavored', 'snack', 'cat']",13
363,"I was really hoping this grain free canned cat food will work for my 3 cats; looks like it has good ingredients but none of my 3 cats will eat it. In fact one of them will smell it and start doing the scratching thing like he smells poop. Another weird thing is the whole can is kind of soft and meshed like baby food but there are some whole green peas in it, not sure if that is by design or some green peas escape the meshing.","['grain', 'free', 'cat', 'food', 'cat', 'ingredient', 'cat', 'fact', 'thing', 'poop', 'weird', 'thing', 'kind', 'soft', 'baby', 'food', 'green', 'pea', 'sure', 'design', 'green', 'pea', 'meshing']",13
478,"Both of my cats (age 11) threw up for an extended period after eating just 3 of these. Into the trash they go (not the cats, the treats). Not sure what they were reacting to but thought it would be good to let other cat parents know the risk.","['cat', 'age', 'extended', 'period', 'trash', 'cat', 'treat', 'sure', 'cat', 'parent', 'risk']",13
531,"I have been a marzipan fanatic for over 55 years. While there are finer and fancier marzipans, in my opinion, for the money, this is a very nice, dependable product. I buy a 5 pound wedge every year, and make candy gifts for family and friends, and always get compliments and cheers. If you are a serious gourmet, you might not care for it, but for most people, for general use, it is quite nice.","['fanatic', 'year', 'finer', 'fancier', 'marzipan', 'opinion', 'money', 'dependable', 'pound', 'wedge', 'candy', 'gift', 'family', 'friend', 'compliment', 'cheer', 'gourmet', 'people', 'general', 'use', 'quite']",13
