,Text,Tokens,Labelled_topic
5,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.  I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.   When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.  I would not recommend anyone buy this product.","['store', 'seller', 'problem', 'expiration', 'date', 'coffee', 'coffee', 'drinker', 'kind', 'brew', 'coffee', 'chemical', 'coffee', 'consumer', 'folgers', 'flavor', 'brand', 'coffee', 'caramel', 'sip', 'sort', 'chemical', 'flavor', 'coffee', 'caramel', 'time', 'cup', 'coffee', 'cup', 'equivalent']",1
8,"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.","['gevalia', 'option', 'bean', 'coffee', 'morning', 'treat', 'people', 'cofffee']",1
30,Coffee is just as good as other Fair Trade coffees that I buy.  I have a One:One pod maker and these fit in them just fine.  I do like my coffee a little on the strong side and can use the pod to make a very big cup of coffee before tossing.  I would recommend this product.,"['coffee', 'trade', 'coffee', 'pod', 'maker', 'fit', 'coffee', 'pod', 'cup', 'coffee']",1
35,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!","['cup', 'k-cups', 'cup', 'instruction', 'filter', 'coffee', 'lid', 'trouble', 'filter', 'size', 'shape', 'edge', 'cup', 'cup', 'filter', 'lid', 'coffee', 'k-cup', 'cup', 'keurig', 'machine', 'vinegar', 'result', 'effort']",1
46,I'm grateful for my Keurig coffee maker!  The taste of Green Mountain brand Dark Magic is terrific & got used up real fast!,"['grateful', 'keurig', 'coffee', 'maker', 'mountain', 'brand', 'dark', 'magic', 'got', 'fast']",1
52,"UPDATE JANUARY 2011 I am now a pretty regular drinker of this stuff! In fact, I just ordered some more and I note the price has gone down which makes it very afforable, take in the free shipping, and it's an absolutely delicious  steal!  I am really enjoying this Coffee. I usually drink Folgers at home and have done so for nearly 20 years. This was a pleasant surprise, the aroma as it was brewing was scintillating, the taste (with my regular creamer and sugar) was a treat for my taste buds. I finished two cups and was tempted to drink more because it was such a smooth tasting coffee. I used 6 heaped tea-spoon fulls for make 8 cups (as marked on my coffee maker) and it worked out just about right for me; though some hard line coffee drinkers make like it stronger than that! The package itself was a little hard to open, I found the best way was to cut the top off with scissors and use the metal bands on the package to securely close it as airtight as possible.  This a really nice coffee but the only way to be sure you will like it is to try it.","['january', 'drinker', 'stuff', 'fact', 'price', 'shipping', 'steal', 'coffee', 'folgers', 'home', 'year', 'surprise', 'aroma', 'creamer', 'sugar', 'treat', 'bud', 'cup', 'coffee', 'full', 'make', 'cup', 'coffee', 'maker', 'line', 'coffee', 'drinker', 'package', 'way', 'scissors', 'metal', 'package', 'coffee', 'way']",1
56,"Of the Erin Baker products, the Fruit & Nut Mini Breakfast Cookie is my favorite!  I have one mini breakfast cookie (about 100 calories) with a cup of coffee in the morning and I feel satisfied and ready to start the day.  Very healthy, low in caloreis, and super delicious is what makes the product work for me.  Try it, you'll like it.","['erin', 'baker', 'product', 'fruit', 'nut', 'mini', 'breakfast', 'cookie', 'mini', 'breakfast', 'cookie', 'calorie', 'cup', 'coffee', 'morning', 'low', 'caloreis', 'delicious', 'work']",1
69,I chose this product as I am not crazy about chocolate flavoured products. This goes well with coffee and good if you are in a hurry. It keeps me full till lunch time. I worry about the fat content however. I probably would need an input from a dietician regarding that.,"['chocolate', 'product', 'coffee', 'hurry', 'till', 'time', 'content', 'input', 'regarding']",1
76,I was looking for all natural flavored coffee (not easy to find) when my college aged son brought some of this home. I could not find it locally at grocery stores or Starbucks locations so I'm glad it's available at amazon. It has a mild vanilla flavor- not overwhelming like some of the artificially flavored coffees. I will continue to order it.,"['coffee', 'college', 'son', 'home', 'grocery', 'store', 'starbucks', 'location', 'vanilla', 'coffee']",1
87,We love the Hazelnut coffee in our house! Great flavor and the coffee isn't bitter or too strong. I also love the price! Buying it here in a pack of 50 makes it cheaper than any of the stores in our city.,"['hazelnut', 'coffee', 'house', 'flavor', 'coffee', 'price', 'buying', 'pack', 'store', 'city']",1
