,Text,Tokens,Labelled_topic
15,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,"['healthy', 'treat', 'dog', 'box', 'box', 'way', 'treat', 'hole', 'plastic', 'outside', 'evidence', 'date', 'couple', 'month', 'people', 'time', 'refund', 'seller', 'response']",7
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,"['sound', 'school', 'birthday', 'space', 'kindergarten', 'birthday', 'treat', 'school', 'super', 'special', 'fun', 'experience']",7
63,My dog LOVES these treats! The ingredients are so good for her and they don't cause any allergies or reactions either. Great product!,"['dog', 'treat', 'ingredient', 'allergy', 'reaction']",7
99,"Having worked in a movie theater in high school and through college, popcorn is a very nice treat.  That was 40 years ago, and it is still a very nice treat.  The seasoning salt makes this treat even more enjoyable by adding the right flavor to the popcorn to bring back memories of going to a movie in a less stressful time.","['movie', 'theater', 'high', 'school', 'college', 'popcorn', 'treat', 'year', 'treat', 'seasoning', 'salt', 'treat', 'enjoyable', 'right', 'flavor', 'popcorn', 'memory', 'movie', 'stressful', 'time']",7
104,"My doggie really likes Newman's Organic better than some other dog foods pet and big-box stores sell. My budget doesn't like Newman's Organic as much as Harmony Farms. It's the compromise that keeps the doggie AND my budget happy.  Because he eats it heartily, I don't worry that he's getting enough high quality food.  Otherwise he won't eat his food and he'll graze in the trash seeking egg shells and bones to fill the void.  There's no barfing, digestion problems or accidents. High Quality food means good digestion, a shiny coat, high energy, bright eyes and a good attitude WITHOUT tons of additional elixers, treats or vet bills. A definite cost effective WIN:WIN for doggie AND me.  I've had great results with Newman's Dog Food that I orderd through Amazon BUT there's 5 pounds LESS for about the same price.  Psst I'm not an organic fanatic, it's the nutritional value that counts for my fur baby and human kids!  Update 3/26/2011: Noticed this has jumped to almost THIRTY BUCKS, will opt for Newman's Organic when the costs per pound are the same...my dog likes BOTH Harmony and Newman, my budget likes the one most cost effective at the time of purchase :)  Update 5/17/2012: Last batch Of Harmony Farms I ordered had a rancid oil smell when I opened the bag and the pooch wouldn't eat it as readily as he has in the past. He wouldn't eat for a day and started checking out the trash. I subsequently purchased some canned and pouch foods, cooked brown rice etc as mix-ins to ""encourage"" him to make it through this pricey bag. Not sure how this is stored before it arrives to my home, BUT the Texas heat can make anything stale/rancid/yucky quickly. I probably should have called Customer Service but felt the replacement would have the same issue due to the HOT weather here. Definitely exploring hot weather alternatives.","['doggie', 'newman', 'dog', 'food', 'pet', 'big-box', 'store', 'budget', 'newman', 'organic', 'harmony', 'farm', 'compromise', 'doggie', 'budget', 'happy', 'high', 'food', 'food', 'trash', 'egg', 'shell', 'bone', 'void', 'barfing', 'digestion', 'problem', 'accident', 'high', 'food', 'mean', 'digestion', 'shiny', 'coat', 'high', 'energy', 'bright', 'eye', 'attitude', 'ton', 'additional', 'elixers', 'treat', 'vet', 'bill', 'definite', 'cost', 'effective', 'win', 'win', 'doggie', 'result', 'newman', 'dog', 'food', 'price', 'psst', 'organic', 'fanatic', 'nutritional', 'value', 'fur', 'baby', 'human', 'kid', 'update', 'buck', 'newman', 'organic', 'cost', 'pound', 'dog', 'harmony', 'newman', 'budget', 'cost', 'effective', 'time', 'purchase', 'update', 'batch', 'harmony', 'farm', 'rancid', 'oil', 'smell', 'bag', 'pooch', 'past', 'trash', 'pouch', 'food', 'brown', 'rice', 'mix-ins', 'pricey', 'sure', 'home', 'texas', 'heat', 'customer', 'service', 'replacement', 'issue', 'hot', 'weather', 'hot', 'weather', 'alternative']",7
105,"I have long haired dachshunds which like to dig out.  In the beginning the fido 525cs worked but was not powerful as it would not shock through the long haired coat of my dachshunds. They had to hit it with the face or shorter haired (skin exposed) underbelly areas in order to get a good reaction on them. I had the fido 525cs set up for maybe 2 months before it stopped working completely and the dogs were back to getting out again.  No, it did not get wet as my husband built a wood box for the charger ""house"" of protection.  It just stopped working and by that time I had thrown away my receipt which was from a small garden center on an old type register so that it didn't list the product name anyway.  Thus no warranty proof nor refund available.  I am looking for a better quality charger which will hit harder through the long haired coat. I have had stronger chargers which worked better and lasted longer than this model the fido 525cs.","['dachshund', 'fido', 'powerful', 'long', 'haired', 'coat', 'dachshund', 'face', 'shorter', 'skin', 'area', 'reaction', 'fido', 'month', 'dog', 'wet', 'husband', 'wood', 'box', 'charger', 'house', 'protection', 'time', 'receipt', 'small', 'garden', 'center', 'old', 'type', 'register', 'warranty', 'proof', 'refund', 'available', 'better', 'charger', 'long', 'haired', 'coat', 'stronger', 'charger', 'longer', 'model', 'fido']",7
160,"I recently began using Wholesome Sweeteners products and could not be happier with the taste. I was so happy to discover this product and will continue using it, for sure!","['wholesome', 'sweetener', 'product', 'happier', 'happy', 'sure']",7
221,"Saw this on Oprah's favorite things and thought it would make a great little Christmas gift for my friends that love cooking as much as I do. Since they come in packages of three, I kept one and gave two away. I couldn't open mine to clean it, so my husband had to open it and he had a hard time. I thought it was just too tight from the factory. My basil looked great after ten days. But when I went to use the basil, I could not open the pod. Husband not home...neighbor not home...dog missing thumbs. I tried lightly rapping it against the counter edge and the seam cracked right down the middle. (Okay, maybe a little harder than 'lightly,' I was pretty frustrated.) Luckily I had emptied the water, so I only had a small mess to clean up. The pod went into the garbage...forcefully. I checked with my friends. Friend #1 had the same problem and her pod is now a rooting capsule for plant clippings because she had to throw away the clear cover...it also broke when she squeezed the pod to try to open it. Friend #2 has now been warned. There were no special tips included on how to open the pod and judging from comments I've read, we're not the only ones who have had this problem. I think this was designed by the same guy that invented the  security wrapping/tape on music CDs! I've gone back to my old method...a wide-mouth mayo jar with pretty hair band holdingdown a circle of fabric...it works!","['saw', 'oprah', 'favorite', 'thing', 'little', 'christmas', 'gift', 'friend', 'package', 'husband', 'hard', 'time', 'tight', 'factory', 'basil', 'day', 'basil', 'pod', 'husband', 'neighbor', 'home', 'dog', 'thumb', 'counter', 'edge', 'seam', 'middle', 'okay', 'little', 'harder', 'frustrated', 'water', 'small', 'mess', 'pod', 'garbage', 'friend', 'problem', 'pod', 'rooting', 'capsule', 'plant', 'clipping', 'clear', 'cover', 'pod', 'special', 'tip', 'pod', 'judging', 'comment', 'one', 'problem', 'guy', 'security', 'music', 'cd', 'old', 'method', 'wide-mouth', 'mayo', 'jar', 'pretty', 'hair', 'circle', 'fabric']",7
232,"My dog used to LOVE these.  I thought I was was giving him a great ""treat"", that was actually a supplement to improve his arthritis symptoms.  Then, his liver enzymes were elevated, and he was becoming less active, and always thirsty.  Thank goodness a friend sent me a link about the FDA warnings, 2-3 since, 2009! Hundreds of dogs have died,very painful and expensive deaths.  If you love your dog-go to the FDA  website yourself...and Do Not BUY these ""treats""!","['dog', 'treat', 'supplement', 'arthritis', 'symptom', 'liver', 'enzyme', 'active', 'thirsty', 'thank', 'goodness', 'friend', 'link', 'fda', 'warning', '2-3', 'hundred', 'dog', 'painful', 'expensive', 'death', 'dog-go', 'fda', 'website', 'treat']",7
268,"This is a tasty treat--with a thin layer of sugary jelly in the middle.  No oozing jelly or anything as I have initially thought.  For 16 pcs, I think this item is too expensive and would not buy again.","['treat', 'layer', 'sugary', 'jelly', 'middle', 'pc', 'item', 'expensive']",7
