,Text,Tokens,Labelled_topic
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'teaspoon', 'coconut', 'oil', 'wonder', 'hair', 'price', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'skin', 'winter', 'month', 'shea', 'butter', 'skin']",8
13,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.","['sweetener', 'drop', 'packet', 'sweetener', 'serving', 'bottle', 'stevia', 'product', 'grocery', 'store']",8
14,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,"['fantastic', 'price', 'health', 'food', 'store', 'thank']",8
17,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.","['husband', 'tomato', 'area', 'grocery', 'store', 'disappointment', 'variety', 'dish', 'flavor', 'burst', 'summer', 'sweetness', 'chef', 'treat', 'price', 'hand']",8
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!","['kroger', 'price', 'price', 'hike', 'innertia', 'attention', 'people']",8
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",8
47,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,"['rush', 'online', 'difference', 'one', 'store', 'price', 'time']",8
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!","['bit', 'box', 'dumpling', 'brand', 'texture', 'brand', 'name', 'price', 'knoedel', 'plate', 'roast', 'gravy']",8
51,"Bought these to try some new recipies, but have found they are quite tasty straight out of the can, chopped up in my salad!","['recipies', 'salad']",8
53,"We travel to VA frequently. I used to buy these there as favors for neighbors and then have the hassle of getting them back home. Now I just order from Amazon to arrive on the day we get home - the price is much less and no shipping hassles. The quality is excellent, I've tried the Costco version and they are just not as good and nowhere near as good as Planters or others.","['favor', 'neighbor', 'hassle', 'home', 'price', 'shipping', 'costco', 'version', 'planter']",8
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['brand', 'costco', 'farm', 'quaity']",8
66,These are fantastic! They are a good price for what you get. I made sugar cookies and the kids drew on them.,"['price', 'sugar', 'cooky', 'kid']",8
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['descent', 'buckwheat', 'life', 'buckwheat', 'russian', 'store', 'time', 'buckwheat', 'thing', 'min', 'min', 'item', 'buckwheat', 'metallic', 'smell', 'item', 'shop', 'thing', 'time']",8
80,One of the few soy milks my slightly milk allergic kids will drink consistently.  Easy to carry and just the right amount per box.  Price on Amazon is quite a bit cheaper than the pice in our local stores.,"['soy', 'milk', 'kid', 'box', 'price', 'bit', 'pice', 'store']",8
81,"Great quality, great price!  I'm using this after my workouts instead of sugary Gatorade or similar.  You can even mix in some whey powder after resistance training for an added protein boost -- tastes great.  Organic too... this is the best deal I've found on coconut water so far.","['price', 'workout', 'gatorade', 'whey', 'resistance', 'training', 'protein', 'boost', 'deal', 'water']",8
82,"I love the quantity and flavor of this tea. It's a little messy opening the pouches, the matcha can get all over your fingers and counter, but oh well. I purchase this at Costco, because the price is WAY better. My only complaint, is that I wish it were Organic.","['quantity', 'flavor', 'tea', 'pouch', 'matcha', 'finger', 'counter', 'purchase', 'costco', 'price', 'way', 'complaint']",8
83,Living in the city it is hard to find pectin at the local grocery so this is a great price and delivered right to my door!,"['living', 'city', 'pectin', 'grocery', 'price', 'door']",8
84,I have been eating Medifast meals for a year.  Medifast changed the recipe to their pretzels and they were not as good. To my surprise the cinnamon pretzel that Kay's is a good if not better than Medifast and cost have the price.  The calories and protein were important factor and are pretty much the same based on ounces.,"['medifast', 'meal', 'recipe', 'pretzel', 'surprise', 'cinnamon', 'pretzel', 'kay', 'medifast', 'cost', 'price', 'calorie', 'protein', 'factor', 'ounce']",8
86,My wife is now addicted to this.  She uses it to make her own style of salad dressing and of course it is great for making garlic bread.  This is too good.  We need to buy another one real soon.,"['wife', 'style', 'salad', 'course', 'bread']",8
95,"It's Splenda, and at a good price.  Forget about the individual packets, the cost will kill you.  If you use the product, this is the way to buy it.","['price', 'forget', 'cost', 'way']",8
98,"The pricing is quite a bit higher than in the grocery stores.  It is not available in all stores, but I have found it conveniently enough for my purposes.","['pricing', 'bit', 'grocery', 'store', 'store', 'purpose']",8
101,"I was very impressed with the quality of the vanilla beans I received. Not only were they at least 60% less expensive than the beans in grocery/specialty stores, but the beans were plump and very flavorful. I also received my order very quickly (sooner than the seller stated). I will definitely be back to buy my next batch of vanilla beans here.","['vanilla', 'bean', 'store', 'bean', 'seller', 'batch', 'vanilla', 'bean']",8
106,I received the chicken pill pockets for my cat and he loves them. What an idea!! The order was fast and the price was fantastic!! This is where I will order them from now on!!!!! Thank you sooo much.,"['chicken', 'pill', 'pocket', 'cat', 'idea', 'price', 'thank']",8
112,"This is fantastic corn, you don't need to add a thing to it, it is perfect right out of the can. Of course a couple of the cans were dented, to be expected with shipping. I am just sure to use those quickly. Great price with subscribe and save.","['corn', 'thing', 'course', 'couple', 'can', 'price', 'subscribe']",8
120,"I love watching TV munching on this.  It's got NOTHING IN IT but the vegetables!  Much healthier than ... anything else!  It's not super cheap, but it's super healthy.","['tv', 'vegetable', 'cheap']",8
130,"Happy with this purchase, it's a good deal. It's the most fragrant coriander ever! Coriander is a super spice, tri-dosha (and a health supplement as well, research it, it's a ground cilantro seed). We use it in lots of dishes. Thank you!","['purchase', 'deal', 'coriander', 'coriander', 'spice', 'tri-dosha', 'health', 'supplement', 'research', 'ground', 'cilantro', 'seed', 'lot', 'dish']",8
131,"Pasta Knorr Sauce Parma Rosa Creamy Tomato / B000I2OOPW  Pardon me while I rave about how incredible this pasta mix is, but I'm just totally in love with this sauce. I love to eat pasta, but I am usually confined to the higher-fat alfredo sauces and cheese sauces because acidic tomato sauces irritate my acid reflux. That means no spaghetti and meatballs, which has been frustrating for me, but that's life, eh?  Then, while I was browsing the sauce aisle for Knorr alfredo packets, I found this Parma Rosa sauce. I have no idea what 'vodka sauce' is that the other reviewers reference, but whatever this is, it is GOOD. If I had to describe it, I'd call it a creamy tomato alfredo, but even though it is creamy, it is also very light and pleasing to taste, not cloying. The tomato taste is exquisite, and the acid content is low enough to prevent stomach pains. The taste itself is absolutely wonderful - I can actually talk myself out of impulse eating by promising myself Parma Rosa later - it's that good!  The Knorr sauces are fairly easy to make (the instructions are serious when they say to 'stir constantly', though, and I think it helps to preheat the milk before adding the powdered mix) and they store indefinitely in these dried packets (another reason to buy packets, besides the smaller carbon footprint in shipping versus jars!). Oh, and buying them on Amazon means I get them for half the price of the local market! For the Parma Rosa, I also add about a third of a pound of seasoned, browned ground beef as easy 'meatballs'. The portions are such that I can easily get two full meals out of one sauce packet, and the sauce stores perfectly in the fridge - this coming from a person who generally hates leftovers.  ~ Ana Mardoll","['pasta', 'knorr', 'sauce', 'parma', 'rosa', 'tomato', 'mix', 'love', 'sauce', 'pasta', 'alfredo', 'sauce', 'sauce', 'tomato', 'sauce', 'acid', 'reflux', 'spaghetti', 'meatball', 'life', 'eh', 'sauce', 'aisle', 'knorr', 'packet', 'rosa', 'sauce', 'idea', 'sauce', 'reviewer', 'tomato', 'alfredo', 'tomato', 'acid', 'content', 'stomach', 'eating', 'rosa', 'knorr', 'sauce', 'instruction', 'milk', 'mix', 'packet', 'reason', 'packet', 'carbon', 'footprint', 'versus', 'jar', 'mean', 'price', 'market', 'parma', 'rosa', 'pound', 'ground', 'beef', 'portion', 'meal', 'sauce', 'packet', 'sauce', 'store', 'fridge', 'person', 'leftover', 'mardoll']",8
149,"This bone is VERY BIG. So for the price it is definitely a good deal. It will last over a year for my 2 big dogs (1 a Labrador, the other a golden retriever) even if they chew it every day.","['bone', 'price', 'deal', 'dog', 'labrador', 'retriever']",8
154,"I opened this product to find that the lollipops were all broke, I was very disappointed.  They did not package this product in a way that would help keep it from breaking.  You are better off buying them from a store around your area.","['lollipop', 'way', 'store', 'area']",8
166,"This is excellent quality caster sugar, very fine.  Great price.  Is a must have for making shortbread cookies.","['caster', 'sugar', 'price', 'cooky']",8
171,"This Chipotle Sauce is very tasty, and it can be used with many different things. However I loved it the most with vegetarian meat (I'm a vegetarian, living healthy and all *grins*), and this sauce is amazing in a veggie sandwich, or with cooked vegetarian meat. However this sauce is very fattening, hence why I took one star out, it contains 11 grams of fat in 2 tbsp. So one needs to be careful to have it in very small portions, or make sure to have a good workout session after indulging in a good hearty meal containing this sauce.  Overall I love this Chipotle sauce, very tasty.","['chipotle', 'sauce', 'thing', 'meat', 'living', 'grin', 'sauce', 'veggie', 'sandwich', 'meat', 'sauce', 'star', 'gram', 'fat', 'tbsp', 'portion', 'workout', 'session', 'hearty', 'meal', 'sauce', 'chipotle']",8
172,"These little things are delicious! I didn't expect much. My wife bought them apparently, and they were just sitting on the kitchen table. She must not have told me about them because she figured I'd eat them all. If that's the case, she's probably right. These things definitely exceeded all my expectations, and were good enough for me to immediately come here and right a review. They do seem pretty pricey here though, but I'm not sure what they run in the stores since I didn't buy them personally.","['thing', 'wife', 'kitchen', 'table', 'case', 'thing', 'expectation', 'review', 'pricey', 'store']",8
173,"I have 5 dogs & Kibbles N' Bits is their favorite. Usually too expensive but the price is low right, 12.30 so I stocked up & bought 4 bags before the price increases again.","['dog', 'kibble', 'bit', 'price', 'bought', 'bag', 'price', 'increase']",8
174,These bean are wonderful. They are very moist and smell amazing!I started making a batch of homemade vanilla extract and the color is already a dark amber; only after a few days! Will definetly buy again!!!!,"['bean', 'amazing', 'batch', 'homemade', 'vanilla', 'extract', 'color', 'amber', 'day']",8
183,"I purchased this via Amazon, because I am NEVER sure I will be able to find it locally, and not have it cost an arm a leg and firstborn male child.  You cant beat the price, and the knowledge I will not have to comb the grocery stores looking made it a win win!  Not only that but each container I received had a 50 cent coupon attached, so if I DO find it locally I can enjoy a great discount!","['arm', 'leg', 'male', 'child', 'price', 'knowledge', 'grocery', 'store', 'win', 'container', 'cent', 'coupon', 'discount']",8
185,"This jam tastes as if it was made of anything but roses.  No aroma at all. By the time you pay for the shipping, may as well buy something else in the local grocery store.","['jam', 'aroma', 'time', 'shipping', 'grocery', 'store']",8
187,"I enjoyed the taste of No Fear, but I can't say that it gave me any more energy than the other energy drinks on the market today.  Since I do, occasionally, indulge in a few energy drinks from time to time, I can say it delivered as much energy as other supplement brands. The four stars were mainly for the taste.","['fear', 'energy', 'energy', 'drink', 'market', 'today', 'energy', 'drink', 'time', 'time', 'energy', 'supplement', 'star']",8
188,I was weary of buy food through the mail. This was a great purchase. Great taste and great price. I will be looking for other great deals.,"['buy', 'food', 'mail', 'purchase', 'price', 'deal']",8
202,"I was not expecting much from this, a disposable package of self-boiling pasta with a bag of meat sauce. There should be no way it can work. But it does! You fill cover the slightly oily pasta with water, leave on the drainer top, microwave it for 3 minutes, drain it, heat the sauce, and mix it all up. And amazingly, it tasted good! Normally I can't stand this zero-effort lazy style of cooking microwaved meals, but this was actually really tasty. I would not make this a part of my regular routine because of the price, but I can imagine people who would.  I have to take issue with the packaging, though. I am giving this four stars because each serving is individually packaged, and none of it is recycleable. The bulk of what you are buying is packaging, and it all gets thrown away.","['package', 'pasta', 'bag', 'meat', 'sauce', 'way', 'pasta', 'water', 'drainer', 'microwave', 'minute', 'sauce', 'style', 'meal', 'routine', 'price', 'people', 'issue', 'packaging', 'star', 'serving', 'bulk', 'packaging']",8
224,"This popcorn tastes great. Its so easy, just cut off the top and pour in the contents.  I'll for sure be buying more of this popcorn!","['pour', 'content', 'popcorn']",8
228,"The Switch Watermelon/Strawberry was a good drink. I thought it was a little too sweet for my taste, but not by much. One serving size was 8.3 fluid ounces. It contains 35 grams of sugar and 36 grams of carbs per serving, and each serving was 140 calories. According to the label, it contains 100% of the recommended daily allowance of Vitamin C. The drink has a slight carbonation to it that was a lot less than soda. The small and skinny can makes it good for inclusion in a lunch box.  Although I liked it, I don't think it's worth the price of nearly $1 a can. But for the convenience of size, it might be worth the trade-off on occasion.","['switch', 'drink', 'size', 'ounce', 'gram', 'sugar', 'gram', 'carbs', 'serving', 'calorie', 'label', 'allowance', 'vitamin', 'drink', 'carbonation', 'lot', 'inclusion', 'lunch', 'box', 'price', 'convenience', 'size', 'trade-off', 'occasion']",8
233,"These things are better than steak.. filet mignon! It was well worth the purchase of this package. It saves you a couple bucks versus buying them in the store. Go ahead, splurge yourself and get some.","['thing', 'filet', 'mignon', 'purchase', 'package', 'couple', 'versus', 'store']",8
236,"Anyone shopping for chives in the grocery store knows how expensive chives are. I'm almost surprised restaurants don't charge extra for them. These chives are a ""steal"" compared to the grocery, and taste as good as McCormick's at probably a 1/4 of the price. Also the shipping was very fast. I would buy again without a doubt.","['shopping', 'chive', 'grocery', 'store', 'chive', 'restaurant', 'chive', 'grocery', 'mccormick', 'price', 'shipping', 'doubt']",8
