,Text,Tokens,Labelled_topic
10,These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand.  Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free,"['best', 'tasting', 'gluten', 'free', 'cooky', 'texture', 'husband', 'gluten', 'free', 'brand', 'pamelas', 'product', 'extreme', 'chocolate', 'simple', 'bite', 'free']",5
54,"I was not impressed with these cookies when I tried them, when they first came out and the company had only one flavor. I did not care for them but I knew that something more satisfying could be had because I'd tried others.  I have found many great paleo cookie recipes on web sites and in paleo cookbooks that I love and they my friends, cooking students, and neighbors have really enjoyed. If you're looking for rock your taste buds paleo cookies, I suggest you check out the recipes for chocolate chip cookies and other flavors of cookies made from blanched almond flour found in The Gluten Free Almond Flour Cookbook, Make It Paleo, and on Elana Amsterdam's web site.","['impressed', 'cooky', 'company', 'flavor', 'satisfying', 'paleo', 'cookie', 'recipe', 'web', 'site', 'paleo', 'cookbook', 'friend', 'student', 'neighbor', 'rock', 'bud', 'paleo', 'cooky', 'recipe', 'chocolate', 'chip', 'cooky', 'flavor', 'cooky', 'blanched', 'almond', 'flour', 'gluten', 'free', 'almond', 'flour', 'cookbook', 'paleo', 'elana', 'amsterdam', 'web', 'site']",5
70,"Great flavors and crunchiness.  Sometimes gluten free food can be bland, but these are really flavorful.  This is also a great buy if you compare only buying one bag of these to the variety that you get.","['flavor', 'crunchiness', 'gluten', 'free', 'food', 'flavorful', 'buy', 'bag', 'variety']",5
71,This is the second time I have purchased this item. No sugar added taste like regular chocolate not like sugar free which is awful. Good night time drink before bed,"['second', 'time', 'item', 'sugar', 'regular', 'chocolate', 'sugar', 'free', 'awful', 'night', 'time', 'drink', 'bed']",5
88,Another great tasting gluten free product.  Has lots of flavor and because they are individually wrapped they are great to include in a packed lunch.,"['gluten', 'free', 'lot', 'flavor', 'packed', 'lunch']",5
94,Great strong tasting gum BUT doesn't last long BUT is still worth it especially if your not allowed to have regular sf gum! The cinnamon taste is very great!,"['strong', 'tasting', 'gum', 'long', 'worth', 'regular', 'sf', 'cinnamon']",5
186,"So after comparing this to Jay Robb, I can say that this protein is not as good. The taste isn't as good, and it doesn't mix that easy. I don't think it is horrible, just not that good.  One thing I like about the Jay Robb is that they use hormone free chicken eggs. I sent Healty N' Fit an email asking where they get their eggs from, but they didn't reply. It is a little cheaper, but I found the Jay Robb at Vitamin Shoppe for 20 per 12ozs, which isn't bad. I have to say that I don't like the dudes picture on the bottle, but that's my only complaint.","['robb', 'protein', 'easy', 'horrible', 'thing', 'jay', 'robb', 'hormone', 'free', 'chicken', 'egg', 'healty', 'n', 'email', 'egg', 'little', 'cheaper', 'jay', 'robb', 'vitamin', 'shoppe', 'bad', 'dude', 'picture', 'bottle', 'complaint']",5
217,"These are better than ""regular"" pretzels. They are light and crunchy with a buttery taste. I am so glad to have found these. They restored hope that I can have good food without the ""aftermath"" that typically comes with eating.  My mother, who has no problem with gluten, tried them and liked them. She even packed up some to take with her after tasting them. She was surprised, because she thought they were going to be salty - like ""normal"" pretzels.","['better', 'regular', 'pretzel', 'light', 'crunchy', 'buttery', 'glad', 'food', 'aftermath', 'mother', 'problem', 'gluten', 'surprised', 'normal', 'pretzel']",5
282,Not nearly as good tasting as the other kcup ciders I've had. My girlfriend hated it too. They are going to find the garbage can.,"['tasting', 'kcup', 'cider', 'girlfriend', 'garbage']",5
308,I have been trying to find a gluten free product that tastes good.  This taste so good that my family did not guess that it was gluten free.  Unbelievable !! but true.,"['gluten', 'free', 'family', 'free', 'unbelievable', 'true']",5
388,I thought that this was a very tasty treat.  Very comparable to non-gluten free ones I have had in the past before finding out I was gluten intolerant,"['treat', 'comparable', 'non-gluten', 'free', 'one', 'past', 'intolerant']",5
426,"These are excellent, don't taste sugar free at all. They taste just like the regular version and they are sweetened with Splenda with no chemical sweeteners. They're a little pricey but make a good treat.","['excellent', 'sugar', 'free', 'regular', 'version', 'splenda', 'chemical', 'sweetener', 'little', 'pricey', 'treat']",5
431,"Tinkyada's brown rice elbow pasta is a great tasting gluten free choice. It is just like having ""normal"" pasta only better! It cooks just like any pasta, and can be used in any pasta dish. I highly recommend this product.","['tinkyada', 'brown', 'rice', 'elbow', 'pasta', 'tasting', 'gluten', 'free', 'choice', 'normal', 'pasta', 'pasta', 'pasta', 'dish']",5
435,"I got these, and another brand at the same time. I far preferred the taste of this pouch than the other brand. My daughters love these snacks, and I love how easy they are to just grab when in a hurry. I'm also excited to pack them when we go on picnics. =) My 2-year-old, and my 10-month-old are able to slurp these up in just seconds, but they enjoy each and every second of it.  I am curious though, if anyone knows.... Are these pouches BPA free? Everything else about them is so good, that I would hope they would be, but it doesn't say it anywhere on them. =( So, my assumption would be that they are not BPA free, otherwise that would be a high marketing point.","['brand', 'time', 'pouch', 'brand', 'daughter', 'snack', 'easy', 'hurry', 'picnic', '2-year-old', '10-month-old', 'able', 'second', 'second', 'curious', 'know', 'pouch', 'free', 'assumption', 'bpa', 'free', 'high', 'marketing', 'point']",5
445,"I am celiac and have been keeping a strictly gluten-free diet for over six years, and was excited to learn about this product.  After eating it, [the taste and texture was not bad] I became sick in the way that I always do when ingesting gluten. Nana's also makes non-gluten products, and clearly are not careful about cross-contamination.  If you are concerned about ingesting gluten or keeping a strictly celiac diet, I strongly recommend you avoid this product.  I also think that the company should not deceive their customers, many who suffer from celiac disease, and should more clearly label their product as it is a danger to the health of many who would be inclined to buy this product.","['celiac', 'gluten-free', 'diet', 'year', 'texture', 'bad', 'sick', 'way', 'gluten', 'nana', 'non-gluten', 'product', 'careful', 'cross-contamination', 'gluten', 'celiac', 'diet', 'company', 'customer', 'celiac', 'disease', 'danger', 'health']",5
493,"I've been feeding Wellness grain-free for a while now and all three of them love it. I ordered the Felidae last time because the Wellness was no longer eligible for free shipping and the Felidae was - which makes the difference between whether it is a better deal to order it or buy it at Petco brick and mortar....None of my cats will eat it. They actually at NOTHING for the past 2 days since the only thing offered them was the Felidae. I broke down today and gave them a back-up can of 9-Lives grain free and they are happily curled up and purring now. I think Felidae is a high quality food and I only feed the lower quality grain-free food on rare occasion, but the rest of this case will be donated to my local shelter. Hopefully, something there will like it. I'm off for the trip to Petco for the Wellness.","['wellness', 'grain-free', 'felidae', 'time', 'wellness', 'eligible', 'free', 'shipping', 'felidae', 'difference', 'better', 'deal', 'petco', 'brick', 'mortar', 'cat', 'past', 'day', 'thing', 'felidae', 'today', 'back-up', '9-lives', 'free', 'felidae', 'high', 'food', 'lower', 'grain-free', 'food', 'rare', 'occasion', 'rest', 'case', 'local', 'shelter', 'trip', 'wellness']",5
