,Text,Tokens,Labelled_topic
4,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,"['chip', 'texture', 'easier', 'regular', 'tortilla', 'chip', 'salsa']",6
16,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).","['co-worker', 'delicious', 'low', 'calorie', 'protein', 'usual', 'pretzel', 'chip', 'case', 'better', 'buy', 'supermarket']",6
20,"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!","['time', 'ting', 'friend', 'bag', 'shot', 'daughter', 'severe', 'milk', 'intolerance', 'wheat', 'allergy', 'delicious', 'daughter', 'year', 'old', 'cheetos', 'friend', 'wonderful', 'thankful', 'product', 'help', 'normal', 'affordable', 'star']",6
21,Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,"['maui', 'costco', 'home', 'unfinished', 'huge', 'bag', 'oatmeal', 'local', 'costco', 'type', 'cut', 'oatmeal', 'different', 'texture', 'fine', 'tasting', 'healthy', 'oatmeal']",6
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.","['bag', 'calorie', 'smaller', 'pop', 'chip', 'fat', 'bit', 'pricey', 'worth']",6
32,"This product had pretty good reviews so I thought it would be safe to buy 4 packages, so I did. Boy am I full of regret now. I'm stuck with 4 packs of these beans and I can't return any them. The moment I opened the bag, I should've known. It had a stale sour smell to them. But the optimistic side of me said, these beans look fresh and plump, maybe it won't smell like that once I scrape the seeds out. I was wrong. I made two test batches to see if it was the salt I was using to make my vanilla salt but they both have that weird sour, rancid smell. I've made vanilla salt before so I know what it's supposed to smell and taste like. Unfortunately, even after a few days, this smell isn't going away. I was really looking forward to making jars of vanilla salt to give out as cheap gifts. But now I need to go buy more vanilla beans to replace these which is going to end up costing me. I'm so disappointed. I haven't cooked with these seeds so I don't know if the taste and smell transforms with heat or with any other mixed in ingredient. I know for sure though that if you're looking to make vanilla extract, vanilla sugar or vanilla salt, I HIGHLY discourage you from buying this product.","['review', 'safe', 'package', 'regret', 'pack', 'bean', 'moment', 'bag', 'stale', 'sour', 'smell', 'optimistic', 'bean', 'fresh', 'plump', 'maybe', 'seed', 'wrong', 'test', 'batch', 'salt', 'vanilla', 'salt', 'sour', 'rancid', 'smell', 'vanilla', 'salt', 'day', 'smell', 'jar', 'vanilla', 'salt', 'cheap', 'gift', 'vanilla', 'bean', 'disappointed', 'seed', 'smell', 'transforms', 'heat', 'mixed', 'ingredient', 'sure', 'vanilla', 'extract', 'vanilla', 'sugar', 'vanilla', 'salt']",6
43,"These tomatoes seem very soft for dried tomatoes, which is great! They are also very flavorful. I've been using them in a coconut curry and I don't even bother soaking them to soften them, I just throw 5 of them (five halves) in the vita-mix with everything but the coconut milk, blend for a minute and then simmer together with the coconut milk. Delicious! I originally purchased these because I had some raw food recipes that called for quite a bit of dried tomatoes and these seem nearly perfect for that (the thing that makes them less than perfect to me is that they aren't organic) but 3 pounds is still so much I gave one bag to my boyfriend who thinks I'm weird for giving him a pound of dried tomatoes but once I give him the coconut curry recipe he'll be thanking me.  Oh, and the bags zip lock shut after they're opened, which is a nice touch.","['tomato', 'soft', 'tomato', 'flavorful', 'coconut', 'curry', 'throw', 'half', 'vita-mix', 'coconut', 'milk', 'blend', 'minute', 'coconut', 'milk', 'delicious', 'raw', 'food', 'recipe', 'bit', 'tomato', 'perfect', 'thing', 'perfect', 'organic', 'pound', 'bag', 'boyfriend', 'weird', 'pound', 'dried', 'tomato', 'coconut', 'curry', 'recipe', 'oh', 'bag', 'zip', 'lock', 'shut', 'touch']",6
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,"['lowrey', 'pork', 'rind', 'unacceptable', 'bag', 'bag', 'bag', 'rind', 'money', 'store', 'bag', 'bag', 'half', 'bag', 'penny', 'consumer', 'money', 'reason']",6
85,"I tried these and wanted to like them, but just couldn't.  They did not seem to ""pop"" very well (a lot of wasted product in the bag) and they didn't taste very good.  I will not be buying these again.","['lot', 'wasted', 'bag']",6
90,"Our family loves these chips, they are light, not too greasy, and the seaweed taste is fantastic. My wife is from Japan so she turned us on to these chips.","['family', 'chip', 'light', 'greasy', 'seaweed', 'fantastic', 'wife', 'japan', 'chip']",6
