,Text,Tokens,Labelled_topic
0,Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,"['box', 'flavor', 'box']",7
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,"['stuff', 'try', 'shaker', 'cup', 'wand', 'mixer', 'effect']",7
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'source']",7
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'matzo', 'seder', 'april', 'night']",7
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['potato', 'thing', 'picture', 'shipping', 'cost', 'potato']",7
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,"['time', 'mix', 'bread']",7
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['salt', 'salt', 'salt', 'sea', 'bit', 'way', 'thing', 'hand']",7
61,This is a very good mix at a reasonable price. I snack on trail mix at work and put 1 of these out in the snack area with the standard pretzels and candy. My fellow employees must have liked since it was gone within a day,"['mix', 'price', 'trail', 'mix', 'work', 'area', 'pretzel', 'employee']",7
67,"This product is well worth the money.  Others carry a similar product that's cheaper, but the quality is way cheaper also.","['money', 'way']",7
74,"I tried a pack randomly today at Starbucks.  I wanted something different from the banana bread or chocolate-covered graham crackers that I would otherwise buy.  This is some solid trail mix.  I highly recommend.  As a matter of fact, I am on amazon now to buy more of it so I can let friends try.","['pack', 'today', 'starbucks', 'banana', 'bread', 'graham', 'cracker', 'trail', 'mix', 'matter', 'fact', 'friend']",7
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['oil', 'daughter', 'frankies', 'ny', 'delivery', 'note']",7
94,Great strong tasting gum BUT doesn't last long BUT is still worth it especially if your not allowed to have regular sf gum! The cinnamon taste is very great!,"['tasting', 'gum', 'sf', 'cinnamon']",7
