,Text,Tokens,Labelled_topic
0,Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,"['big', 'box', 'different', 'flavor', 'smaller', 'box', 'sure']",11
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,"['stuff', 'try', 'shaker', 'cup', 'electric', 'wand', 'mixer', 'milkshake', 'effect', 'chocolately', 'yummy']",11
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'unclear', 'source']",11
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'april', 'ridiculous', 'matzo', 'seder', 'april', 'night']",11
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['happy', 'potato', 'flat', 'thing', 'picture', 'shipping', 'cost', 'potato']",11
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,"['time', 'pamela', 'bread', 'mix', 'closest', 'regular', 'bread']",11
51,"Bought these to try some new recipies, but have found they are quite tasty straight out of the can, chopped up in my salad!","['new', 'recipies', 'salad']",11
58,"We were pleased with this salt. It's actually more salty than regular salt, even kosher salt or sea salt.  A little bit goes a long way!  I don't usually cook with it, but add it to things afterwards. I've been hand grinding it.","['pleased', 'salt', 'salty', 'regular', 'salt', 'salt', 'sea', 'little', 'bit', 'long', 'way', 'thing', 'hand']",11
61,This is a very good mix at a reasonable price. I snack on trail mix at work and put 1 of these out in the snack area with the standard pretzels and candy. My fellow employees must have liked since it was gone within a day,"['mix', 'reasonable', 'price', 'trail', 'mix', 'work', 'snack', 'area', 'standard', 'pretzel', 'fellow', 'employee']",11
74,"I tried a pack randomly today at Starbucks.  I wanted something different from the banana bread or chocolate-covered graham crackers that I would otherwise buy.  This is some solid trail mix.  I highly recommend.  As a matter of fact, I am on amazon now to buy more of it so I can let friends try.","['pack', 'today', 'starbucks', 'different', 'banana', 'bread', 'chocolate-covered', 'graham', 'cracker', 'solid', 'trail', 'mix', 'matter', 'fact', 'friend']",11
