,Text,Tokens,Labelled_topic
2,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,"['cup', 'aroma', 'flavor', 'speak', 'autumn', 'harvest', 'flavor', 'tea']",3
9,"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!","['energy', 'factor', 'energy', 'drink', 'mango', 'flavor', 'chemical']",3
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,"['lot', 'tea', 'tisane', 'kind', 'time', 'time', 'week', 'aroma', 'potpourri', 'color', 'flavor']",3
19,"Had a box of their garlic sticks, and really enjoyed the quality and satisfying feeling from eating them. Wanted to try a new flavor, and the sesame is quite addicting!! Only 2 Weight Watchers points for 4 incredible sticks. These are made in Italy. Expect many of the breadsticks to be broken, but don't let this stop you from trying this premium brand!","['box', 'stick', 'flavor', 'sesame', 'watcher', 'point', 'stick', 'breadstick', 'brand']",3
34,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.","['sauce', 'flavor', 'kick', 'sauce', 'choice', 'flavor', 'number', 'dish', 'way', 'homemade', 'soup']",3
37,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.","['flavor', 'benefit', 'wheat', 'grass', 'hand', 'powder', 'punch']",3
50,"My baby enjoyed this flavor when I purchased it at a store.  I ordered a case of it from Amazon.  the whole case arrived moldy.  Each jar popped when I opened it too, showing that it was properly sealed.  I contacted Earth's Best.  They said they would look into it but would not follow up with me.  Given what is going on in our food industry, I will not purchase any more products from this company.  It is to scary when feeding a baby.  Amazon refunded me but did not take it any further.  Be very careful and inform other families too.  UPDATE:  I was so disappointed with the lack of concern from Earth's Best and Amazon.  I contacted the FDA, they referred me to the USDA because the product contained meat.  They took it very serious and had also received several complaints.  They have come to my house and written a report.  If anyone else noticed this problem please contact the USDA (1-888-674-6854). to report your claim/problem.  They will investigate the problem and the Earth's Best Plant to make sure they are following regulations.","['baby', 'flavor', 'store', 'case', 'case', 'jar', 'earth', 'food', 'industry', 'product', 'company', 'baby', 'family', 'lack', 'concern', 'earth', 'fda', 'usda', 'meat', 'complaint', 'house', 'report', 'problem', 'problem', 'earth', 'plant', 'regulation']",3
54,"I was not impressed with these cookies when I tried them, when they first came out and the company had only one flavor. I did not care for them but I knew that something more satisfying could be had because I'd tried others.  I have found many great paleo cookie recipes on web sites and in paleo cookbooks that I love and they my friends, cooking students, and neighbors have really enjoyed. If you're looking for rock your taste buds paleo cookies, I suggest you check out the recipes for chocolate chip cookies and other flavors of cookies made from blanched almond flour found in The Gluten Free Almond Flour Cookbook, Make It Paleo, and on Elana Amsterdam's web site.","['cooky', 'company', 'flavor', 'satisfying', 'paleo', 'cookie', 'recipe', 'web', 'site', 'cookbook', 'friend', 'student', 'neighbor', 'rock', 'bud', 'paleo', 'cooky', 'recipe', 'chocolate', 'chip', 'cooky', 'flavor', 'cooky', 'almond', 'flour', 'almond', 'flour', 'cookbook', 'amsterdam', 'web', 'site']",3
70,"Great flavors and crunchiness.  Sometimes gluten free food can be bland, but these are really flavorful.  This is also a great buy if you compare only buying one bag of these to the variety that you get.","['flavor', 'crunchiness', 'food', 'buy', 'bag', 'variety']",3
88,Another great tasting gluten free product.  Has lots of flavor and because they are individually wrapped they are great to include in a packed lunch.,"['lot', 'flavor', 'lunch']",3
89,I bought this to make a sauce and it taste great gives a good flavor.  I really enjoyed it an it lasts a long time.,"['sauce', 'flavor', 'time']",3
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'flavor', 'burn', 'perspective', 'sauce', 'heat', 'burn', 'place', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",3
107,"This doesn't taste as addicting as the real fried potato chips, but it's still very good. Considering it's low in calories and it's only popped..  it taste much better than the ones that are freeze dried. These pops taste as light as the rice crispy treats, but with a good amount of flavor and crunch. I like it, a small little pack that you can just grab when you feel like having something quick. I keep then in my room in case if I ever get the cravings for chips. All the flavors that come in are good too, no complains.  The package also arrived fast and it's pretty cheap, I would recommend people who is watching calories to get this!","['addicting', 'potato', 'chip', 'calorie', 'one', 'pop', 'rice', 'crispy', 'treat', 'flavor', 'crunch', 'pack', 'room', 'case', 'craving', 'chip', 'flavor', 'package', 'people', 'calorie']",3
114,"I have CHF with cardiomyopathy.  I have to limit my sodium to under 2,000 mg per day.  Because of great products like this ketchup - I can do that pretty easily most days!  My CardioElectroPhysicist had never heard of no-salt ketchup, he thinks it's great!  Heinz no-salt ketchup tastes wonderful!  It has a slightly stonger tomato flavor, but I wouldn't have guessed it was no-salt.  I use it for homemade BBQ sauce, french fries, etc - it's awesome!  Highly recommended.","['cardiomyopathy', 'sodium', 'mg', 'product', 'ketchup', 'day', 'cardioelectrophysicist', 'ketchup', 'ketchup', 'taste', 'flavor', 'homemade', 'bbq', 'fry']",3
116,"These almonds are the best. I love the tasted but was not quite as zippy or strong as I had hoped. I do eat lots of hot items so perhaps my taste buds are expecting more. Having said that, the flavor and freshness is tops.","['almond', 'lot', 'item', 'bud', 'flavor', 'freshness', 'top']",3
137,"I have ordered these types of chocolates before(Weinbrand Bohnen Brandy Chocolates) and these were fantastic, they had great flavor,were very fresh(sometimes they dry up if they are older),and were the perfect size(some larger ones are too big and the liquid can run if not all in your mouth),the chocolate as well as the brandy were of high quality and very tasty... Also the price was great for as many that were in the package... I ordered these very close to the holiday and they arrived earlier than expected!","['type', 'chocolate', 'weinbrand', 'bohnen', 'brandy', 'chocolate', 'flavor', 'size', 'one', 'liquid', 'mouth', 'chocolate', 'brandy', 'price', 'package', 'holiday']",3
138,"How much can you say about a drink? It tastes pretty good! It's got a nice flavor, sweet, but not overly so and there's a good amount of fizz. There's a lot of sugar for the amount of drink you have, and at only 8.3 fluid ounces, there just isn't much there. What's there is good though!","['drink', 'flavor', 'sweet', 'fizz', 'lot', 'sugar', 'drink', 'ounce']",3
142,It really rastes great. No real aftertaste either like some other energy drinks. Color is fun as well and makes for a great mixer. I will order again.,"['aftertaste', 'energy', 'drink', 'color', 'mixer']",3
