,Text,Tokens,Labelled_topic
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,"['lot', 'tea', 'tisane', 'different', 'kind', 'time', 'time', 'week', 'fantastic', 'aroma', 'potpourri', 'deep', 'color', 'flavor']",2
26,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.  But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.","['choice', 'tea', 'aware', 'extraordinary', 'company', 'pioneer', 'use', 'organic', 'fair', 'trade', 'ingredient', 'tea', 'choice', 'innovative', 'design', 'creative', 'ingredient', 'combination', 'design', 'lychee', 'white', 'choice', 'new', 'line', 'innovative', 'biodegradable', 'pyramid-shaped', 'tea', 'bag', 'use', 'regular', 'loose', 'tea', 'creative', 'ingredient', 'combination', 'healthy', 'white', 'tea', 'ethereal', 'marriage', 'natural', 'lychee', 'flavor', 'sublime', 'organic', 'osmanthus', 'flavor', 'scent']",2
55,"I have been using this for a year now, very good in tea, I use it on anything. My son puts it on his cereal, he is a very picky eater and he has no clue it isn't real sugar. I put it on my pancakes....Yuuuuummyyyy","['tea', 'son', 'cereal', 'picky', 'eater', 'clue', 'real', 'sugar', 'pancake']",2
75,I love the strength and taste of PG Tips. I grew up in England drinking this tea - and when I came to America in 2001 I just could not drink the weak tasteless tea that was being sold on the supermarket shelves - I have introduced my wife and friends to this tea - they now can't drink anything else!,"['strength', 'pg', 'tip', 'england', 'drinking', 'tea', 'weak', 'tasteless', 'tea', 'supermarket', 'shelf', 'wife', 'tea']",2
82,"I love the quantity and flavor of this tea. It's a little messy opening the pouches, the matcha can get all over your fingers and counter, but oh well. I purchase this at Costco, because the price is WAY better. My only complaint, is that I wish it were Organic.","['quantity', 'flavor', 'tea', 'little', 'messy', 'pouch', 'matcha', 'finger', 'counter', 'purchase', 'costco', 'price', 'way', 'complaint', 'organic']",2
96,"I have been making wonderful homemade vanilla with a recipe that I found on line using vanilla beans purchased from Williams Sonoma. I decided to try Spicy World Vanilla Beans rather than the much more expensive vanilla beans from Williams Sonoma.  Two vanilla beans from Williams Sonoma in a pint of vodka resulted in a very dark richly aromatic vanilla after only two months.  I used three Spicy World vanilla beans in a pint of vodka and after two months I had a liquid that looked like weak tea and had the aroma of alcohol.  I added three more beans and waited.  The results were disappointing, so I added three more vanilla beans.  You can still see through the vanilla and it doesn't have the aroma of vanilla.  I am completely disappointed with the vanilla beans from Spicy World.  They are totally worthless, a complete waste of money.  I would not recommend them or purchase anything from Spicy World.","['wonderful', 'homemade', 'vanilla', 'recipe', 'line', 'vanilla', 'bean', 'williams', 'sonoma', 'spicy', 'world', 'vanilla', 'bean', 'expensive', 'vanilla', 'bean', 'williams', 'sonoma', 'vanilla', 'bean', 'williams', 'sonoma', 'pint', 'vodka', 'dark', 'aromatic', 'vanilla', 'month', 'spicy', 'world', 'vanilla', 'bean', 'pint', 'vodka', 'month', 'liquid', 'weak', 'tea', 'aroma', 'alcohol', 'bean', 'result', 'vanilla', 'vanilla', 'aroma', 'vanilla', 'disappointed', 'vanilla', 'bean', 'spicy', 'world', 'worthless', 'complete', 'waste', 'money', 'spicy', 'world']",2
97,This tea has a wonderful taste of blueberry.  It's even wonderful iced as a treat for family and guests alike.  Everyone who I have surved it to has loved it.,"['tea', 'wonderful', 'blueberry', 'iced', 'treat', 'family', 'guest']",2
111,"I drink a LOT of tea. I probably drink around 14 cups a day, and I drink the good stuff. All whole leaf, quality, loose-tea. So I know a good cup of tea when I see one.  These are the ONLY bottles of tea that are of FANTASTIC quality.  Ito-En makes amazing stuff, and this is my absolute favorite tea from them. The price is excellent and the drink is SO healthy; I have it delivered once a month, every month.  HIGHLY recommended. :)","['lot', 'tea', 'stuff', 'leaf', 'loose-tea', 'cup', 'tea', 'bottle', 'tea', 'fantastic', 'ito-en', 'amazing', 'stuff', 'absolute', 'favorite', 'tea', 'price', 'excellent', 'drink', 'healthy']",2
143,"I've been fan of celestial seasonings teas for some time and this is one of my favorites. Something strange happens in the packing because flavour differs a lot from one box to another: the one I'm tasting right now has a lot of cinnamon, while others have a better balance of ingredients. Eventhough they all are great teas and the 5 star rating suits them well.","['fan', 'celestial', 'seasoning', 'tea', 'time', 'favorite', 'strange', 'packing', 'flavour', 'differs', 'lot', 'box', 'lot', 'cinnamon', 'better', 'balance', 'ingredient', 'tea', 'star', 'rating', 'suit']",2
195,We have been paying big bucks for little cans of Rooibos tea at the health food store and brewing ice tea with it that we drink by the gallon. I was surprised that the Davidson's Rooibos was richer and tastier and brewed up a nice clear amber/brown color. Better quality and less expensive!,"['big', 'buck', 'little', 'can', 'rooibos', 'tea', 'health', 'food', 'store', 'brewing', 'ice', 'tea', 'gallon', 'davidson', 'rooibos', 'richer', 'tastier', 'clear', 'color', 'expensive']",2
