Text,Topic label
Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,carbohydrates_meal
"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.",drinks
I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,flavor
"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.",snacks
These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,chips
"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.  I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.   When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.  I would not recommend anyone buy this product.",coffee
Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,carbohydrates_meal
"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it",chocolate_milk_nuts_oil
"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.",coffee
"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!",flavor
These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand.  Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free,healthy food
"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.",snacks
"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!",cat
"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.",grocery
These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,grocery
I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,dog
"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).",chips
"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.",grocery
I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,tea
"Had a box of their garlic sticks, and really enjoyed the quality and satisfying feeling from eating them. Wanted to try a new flavor, and the sesame is quite addicting!! Only 2 Weight Watchers points for 4 incredible sticks. These are made in Italy. Expect many of the breadsticks to be broken, but don't let this stop you from trying this premium brand!",flavor
"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!",chips
Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,chips
Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,carbohydrates_meal
