,Text,Tokens,Labelled_topic
19,"Had a box of their garlic sticks, and really enjoyed the quality and satisfying feeling from eating them. Wanted to try a new flavor, and the sesame is quite addicting!! Only 2 Weight Watchers points for 4 incredible sticks. These are made in Italy. Expect many of the breadsticks to be broken, but don't let this stop you from trying this premium brand!","['box', 'stick', 'flavor', 'sesame', 'watcher', 'point', 'stick', 'breadstick', 'brand']",4
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,"['sound', 'school', 'birthday', 'space', 'kindergarten', 'birthday', 'treat', 'school', 'experience']",4
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'matzo', 'seder', 'april', 'night']",4
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,"['time', 'mix', 'bread']",4
47,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,"['rush', 'online', 'difference', 'one', 'store', 'price', 'time']",4
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,"['wasabi', 'texture', 'friend']",4
61,This is a very good mix at a reasonable price. I snack on trail mix at work and put 1 of these out in the snack area with the standard pretzels and candy. My fellow employees must have liked since it was gone within a day,"['mix', 'price', 'trail', 'mix', 'work', 'area', 'pretzel', 'employee']",4
68,"I'm of Russian descent and have been eating buckwheat for my entire life. I live in the US and usually buy buckwheat in local Russian or Eastern European stores. This is the first (and last) time I tried American-made buckwheat. Here are things that I found.  1. It takes only 10-12 min to cook this. Normally, it takes 25-30 min. And this item is not branded as an ""instant buckwheat""  2. It tastes quite different than ""usual""  3. There is a strong metallic smell  4. This item is overpriced. Just go to the closest Russian or Eastern European shop and buy the same thing 4 times cheaper.","['descent', 'buckwheat', 'life', 'buckwheat', 'russian', 'store', 'time', 'buckwheat', 'thing', 'min', 'min', 'item', 'buckwheat', 'metallic', 'smell', 'item', 'shop', 'thing', 'time']",4
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'essence', 'way', 'styrofoam', 'peanut', 'star', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",4
74,"I tried a pack randomly today at Starbucks.  I wanted something different from the banana bread or chocolate-covered graham crackers that I would otherwise buy.  This is some solid trail mix.  I highly recommend.  As a matter of fact, I am on amazon now to buy more of it so I can let friends try.","['pack', 'today', 'starbucks', 'banana', 'bread', 'graham', 'cracker', 'trail', 'mix', 'matter', 'fact', 'friend']",4
