,Text,Tokens,Labelled_topic
2,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,"['cup', 'aroma', 'flavor', 'speak', 'autumn', 'harvest', 'flavor', 'tea']",0
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.",['okay'],0
10,These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand.  Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free,"['tasting', 'cooky', 'texture', 'husband', 'brand', 'pamelas', 'product', 'chocolate', 'simple', 'bite']",0
16,"I found out about these from a co-worker. They are delicious, low calorie, and pack some protein. Eating these rather than my usual pretzels and chips helped me slim down. I get them by the case now from Amazon since it is a better buy (and my supermarket doesn't always carry them).","['co-worker', 'calorie', 'protein', 'pretzel', 'chip', 'case', 'buy', 'supermarket']",0
18,I drink a lot of teas and tisanes so I like to try different kinds from time to time. I've been drinking this for a few weeks and it's fantastic. Even before I brewed this I knew it was going to be good just from the aroma. (Actually it would make a great potpourri on its own.) It brews up a nice deep color with a good flavor. I highly recommend this.,"['lot', 'tea', 'tisane', 'kind', 'time', 'time', 'week', 'aroma', 'potpourri', 'color', 'flavor']",0
26,"If you're looking at Choice tea, you're probably already aware that this extraordinary company was a pioneer in the use of organic, fair trade ingredients for tea.  But Choice is also innovative both in design and in creative ingredient combinations. As for design, Lychee White is part of Choice's new line, characterized by an innovative biodegradable pyramid-shaped tea bag which allows for the use of regular loose tea leaves. As for creative ingredient combinations, this healthy white tea is enhanced by the ethereal marriage of natural lychee flavor and sublime organic osmanthus blossoms. The flavor and scent is one to savor and celebrate.","['choice', 'tea', 'company', 'pioneer', 'use', 'trade', 'ingredient', 'tea', 'choice', 'design', 'ingredient', 'combination', 'design', 'choice', 'line', 'tea', 'bag', 'use', 'tea', 'ingredient', 'combination', 'tea', 'marriage', 'lychee', 'flavor', 'osmanthus', 'flavor', 'scent']",0
56,"Of the Erin Baker products, the Fruit & Nut Mini Breakfast Cookie is my favorite!  I have one mini breakfast cookie (about 100 calories) with a cup of coffee in the morning and I feel satisfied and ready to start the day.  Very healthy, low in caloreis, and super delicious is what makes the product work for me.  Try it, you'll like it.","['erin', 'baker', 'product', 'fruit', 'nut', 'mini', 'breakfast', 'cookie', 'mini', 'breakfast', 'cookie', 'calorie', 'cup', 'coffee', 'morning', 'low', 'caloreis', 'delicious', 'work']",0
60,"I love Oreos, especially these new fudge ones. They're now my favorite. I've tried both the mint and the peanut butter versions now, and while the peanut butter are good, the mint is still my favorite. That being said, these aren't bad at all. I still very much enjoyed them. My two kids (5 year old boy and 2 year old girl) both loved them as well. Whenever they could, they were begging for these cookies. In my mind, that's a good sign. If you've got a kid begging for these, you've got a pretty good product.  My one disappointment is that it's not the full cookie. It's just half of it. Maybe they've done that to cut costs, but, as I recall, there was a similar Oreo product at one time that offered the full cookie. Either way, still worth it, and definitely a cookie I'd recommend.","['oreo', 'fudge', 'one', 'favorite', 'mint', 'peanut', 'butter', 'version', 'peanut', 'butter', 'mint', 'kid', 'boy', 'girl', 'cooky', 'mind', 'sign', 'kid', 'disappointment', 'cookie', 'half', 'cost', 'oreo', 'time', 'cookie', 'way', 'cookie']",0
65,"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.","['chocolate', 'lover', 'peppermint', 'disgusting', 'dark', 'problem', 'sweetener', 'soda', 'drinker', 'problem', 'sweetener', 'chocolate', 'chocolate']",0
66,These are fantastic! They are a good price for what you get. I made sugar cookies and the kids drew on them.,"['price', 'sugar', 'cooky', 'kid']",0
75,I love the strength and taste of PG Tips. I grew up in England drinking this tea - and when I came to America in 2001 I just could not drink the weak tasteless tea that was being sold on the supermarket shelves - I have introduced my wife and friends to this tea - they now can't drink anything else!,"['strength', 'tip', 'england', 'drinking', 'tea', 'tasteless', 'tea', 'supermarket', 'shelf', 'wife', 'tea']",0
82,"I love the quantity and flavor of this tea. It's a little messy opening the pouches, the matcha can get all over your fingers and counter, but oh well. I purchase this at Costco, because the price is WAY better. My only complaint, is that I wish it were Organic.","['quantity', 'flavor', 'tea', 'pouch', 'matcha', 'finger', 'counter', 'purchase', 'costco', 'price', 'way', 'complaint']",0
97,This tea has a wonderful taste of blueberry.  It's even wonderful iced as a treat for family and guests alike.  Everyone who I have surved it to has loved it.,"['tea', 'blueberry', 'treat', 'family', 'guest']",0
111,"I drink a LOT of tea. I probably drink around 14 cups a day, and I drink the good stuff. All whole leaf, quality, loose-tea. So I know a good cup of tea when I see one.  These are the ONLY bottles of tea that are of FANTASTIC quality.  Ito-En makes amazing stuff, and this is my absolute favorite tea from them. The price is excellent and the drink is SO healthy; I have it delivered once a month, every month.  HIGHLY recommended. :)","['lot', 'tea', 'stuff', 'loose-tea', 'cup', 'tea', 'bottle', 'tea', 'stuff', 'tea', 'price', 'drink']",0
125,"I am giving these two stars because they did taste sorta good at first.  But like the other reviewer said they do smell funny and they left a bad taste in my mouth.  And they are very salty.  I only cooked them for 90 seconds, the bag was still expanding when I stopped it but they smelled burnt when they were done (they said to cook until it stopped expanding but thank goodness I didn't do that).  Nice idea but I don't think I will buy these again.","['star', 'sorta', 'reviewer', 'funny', 'mouth', 'bag', 'burnt', 'goodness', 'idea']",0
129,"As far as cookies go, this isn't going to ruin your diet (much) and it's pretty tasty too!  Three cookies, and they aren't tiny cookies either, are 140 calories.  There are 2g of both fiber & protein.  They aren't too sweet, which is great for me.  These are called ""cookies"" but they seem more like crackers.  They are kind of dry, which I don't mind, but the blueberries make them a little chewy.  The ingredients DO NOT list sulfur dioxide (a color preservative for many dried fruits).  Yay!  Sulfur gives me hives anyway.  As of right now, these are $18.22 per package for 4 packages of 10 servings each.  I'm hoping these become subscribe & save items.  These are good & I will probably get them again.","['cooky', 'cooky', 'cooky', 'calorie', 'fiber', 'protein', 'cooky', 'cracker', 'kind', 'blueberry', 'chewy', 'ingredient', 'sulfur', 'color', 'preservative', 'fruit', 'right', 'package', 'package', 'serving', 'subscribe', 'item']",0
137,"I have ordered these types of chocolates before(Weinbrand Bohnen Brandy Chocolates) and these were fantastic, they had great flavor,were very fresh(sometimes they dry up if they are older),and were the perfect size(some larger ones are too big and the liquid can run if not all in your mouth),the chocolate as well as the brandy were of high quality and very tasty... Also the price was great for as many that were in the package... I ordered these very close to the holiday and they arrived earlier than expected!","['type', 'chocolate', 'weinbrand', 'bohnen', 'brandy', 'chocolate', 'flavor', 'size', 'one', 'liquid', 'mouth', 'chocolate', 'brandy', 'price', 'package', 'holiday']",0
141,I was expecting these cookies were going to be normal size but i was wrong!  i was planning on dipping them in chocolates but they r not those average size at all! So disappointed! I now have to go out n find the normal size cookies. What a  waste of money. I also needed 50 but 20 of them were broken. They do not put fragile on the box outside.,"['cooky', 'size', 'chocolate', 'size', 'size', 'cooky', 'waste', 'money', 'box']",0
143,"I've been fan of celestial seasonings teas for some time and this is one of my favorites. Something strange happens in the packing because flavour differs a lot from one box to another: the one I'm tasting right now has a lot of cinnamon, while others have a better balance of ingredients. Eventhough they all are great teas and the 5 star rating suits them well.","['fan', 'seasoning', 'tea', 'time', 'favorite', 'packing', 'flavour', 'differs', 'lot', 'box', 'lot', 'cinnamon', 'balance', 'ingredient', 'tea', 'star', 'rating', 'suit']",0
161,"I first purchased this product at BJ's wholesale club. This is the best flavored carbonated water I've ever had. Like other reviewers, BJ's discontinued in favor of another product, what a mistake! I wrote to Talking Rain and their new president requesting this product have an online outlet...and it seems they delivered. Yes, it is more expensive, but with super saver shipping and subscription service (15%) savings, I'm in for a few cases each month. Try it, you will love it.","['club', 'water', 'reviewer', 'favor', 'mistake', 'rain', 'president', 'outlet', 'yes', 'saver', 'shipping', 'subscription', 'service', 'saving', 'case']",0
