,Text,Tokens,Labelled_topic
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber']",6
13,"I've found this to be a good sweetener. I have to use more than they say (about 10 drops when I'm using lemon), but I use extra packet sweetener, too. Very happy. I'll just have to figure out how many ""servings"" I get from a bottle, but I'm guessing it's more economical than the stevia products I get at the grocery store.","['sweetener', 'drop', 'packet', 'sweetener', 'serving', 'bottle', 'stevia', 'product', 'grocery', 'store']",6
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'food', 'cardboard', 'cardboard', 'way', 'money', 'carb', 'sweet', 'snack', 'diamond', 'almond', 'sugar', 'jar', 'pack']",6
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'protein', 'bar', 'problem', 'protein', 'bar', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'peanut', 'butter', 'snack', 'friend', 'treat']",6
55,"I have been using this for a year now, very good in tea, I use it on anything. My son puts it on his cereal, he is a very picky eater and he has no clue it isn't real sugar. I put it on my pancakes....Yuuuuummyyyy","['tea', 'son', 'cereal', 'eater', 'clue', 'sugar', 'pancake']",6
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'choice', 'life']",6
69,I chose this product as I am not crazy about chocolate flavoured products. This goes well with coffee and good if you are in a hurry. It keeps me full till lunch time. I worry about the fat content however. I probably would need an input from a dietician regarding that.,"['chocolate', 'product', 'coffee', 'hurry', 'till', 'time', 'content', 'input', 'regarding']",6
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'calorie', 'check']",6
81,"Great quality, great price!  I'm using this after my workouts instead of sugary Gatorade or similar.  You can even mix in some whey powder after resistance training for an added protein boost -- tastes great.  Organic too... this is the best deal I've found on coconut water so far.","['price', 'workout', 'gatorade', 'whey', 'resistance', 'training', 'protein', 'boost', 'deal', 'water']",6
84,I have been eating Medifast meals for a year.  Medifast changed the recipe to their pretzels and they were not as good. To my surprise the cinnamon pretzel that Kay's is a good if not better than Medifast and cost have the price.  The calories and protein were important factor and are pretty much the same based on ounces.,"['medifast', 'meal', 'recipe', 'pretzel', 'surprise', 'cinnamon', 'pretzel', 'kay', 'medifast', 'cost', 'price', 'calorie', 'protein', 'factor', 'ounce']",6
