,Text,Tokens,Labelled_topic
6,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,"['stuff', 'try', 'shaker', 'cup', 'wand', 'mixer', 'effect']",7
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!","['kroger', 'price', 'price', 'hike', 'innertia', 'attention', 'people']",7
31,At the Hodgson Mill website they are seling a case of 6 for the same price.  talk about rip-offs.,"['hodgson', 'case', 'price', 'talk', 'rip-off']",7
35,"I was anxious to try these cups since they seemed to be sealed like the original K-Cups, but was very disappointed in the product.  Though the cups came with no instructions, it was apparent that you just put the filter in, add coffee, then pop the lid on.  Trouble is, the filters size and shape indicate they should hang over the outside edge of the cup, but when doing that I found it impossible to seal the cups.  So I had to tuck the filter inside to be able to close and seal the lid.  After doing that and trying, the coffee ran VERY slow though the K-Cup and after only about three cups, the Keurig machine seemed to get clogged up and stop working.  I cleaned out with vinegar and tried again, but same result.  I ended up throwing these away as it didn't seem worth the effort to return them.  NOT a good product!","['cup', 'k-cups', 'cup', 'instruction', 'filter', 'coffee', 'lid', 'trouble', 'filter', 'size', 'shape', 'edge', 'cup', 'cup', 'filter', 'lid', 'coffee', 'k-cup', 'cup', 'keurig', 'machine', 'vinegar', 'result', 'effort']",7
46,I'm grateful for my Keurig coffee maker!  The taste of Green Mountain brand Dark Magic is terrific & got used up real fast!,"['grateful', 'keurig', 'coffee', 'maker', 'mountain', 'brand', 'dark', 'magic', 'got', 'fast']",7
49,"I was a little bit hesitant to order this many boxes of potato dumplings without knowing the brand. It turns out that the taste and texture is very similar to the brand names,excellent! For an off-brand the price is too high, but altogether a great product for those who miss their Knoedel on the plate next to the roast and gravy!","['bit', 'box', 'dumpling', 'brand', 'texture', 'brand', 'name', 'price', 'knoedel', 'plate', 'roast', 'gravy']",7
80,One of the few soy milks my slightly milk allergic kids will drink consistently.  Easy to carry and just the right amount per box.  Price on Amazon is quite a bit cheaper than the pice in our local stores.,"['soy', 'milk', 'kid', 'box', 'price', 'bit', 'pice', 'store']",7
87,We love the Hazelnut coffee in our house! Great flavor and the coffee isn't bitter or too strong. I also love the price! Buying it here in a pack of 50 makes it cheaper than any of the stores in our city.,"['hazelnut', 'coffee', 'house', 'flavor', 'coffee', 'price', 'buying', 'pack', 'store', 'city']",7
135,"Works well, taste is good, about to order a new box.  If you are a diabetic this is nice to have around the house or office.","['work', 'box', 'house', 'office']",7
149,"This bone is VERY BIG. So for the price it is definitely a good deal. It will last over a year for my 2 big dogs (1 a Labrador, the other a golden retriever) even if they chew it every day.","['bone', 'price', 'deal', 'dog', 'labrador', 'retriever']",7
176,"My wife likes flavored coffee and this is, by far, her favorite. Great taste. Medium brew. Excellent value too. We order this brew regularly. Guests enjoy this coffee as wel.","['wife', 'like', 'coffee', 'medium', 'value', 'guest', 'coffee', 'wel']",7
188,I was weary of buy food through the mail. This was a great purchase. Great taste and great price. I will be looking for other great deals.,"['buy', 'food', 'mail', 'purchase', 'price', 'deal']",7
205,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added.  wWould highly recommend.  RCCJR,"['grove', 'square', 'cappuccino', 'cup', 'right', 'keurig', 'brewer', 'wwould', 'rccjr']",7
