,Text,Tokens,Labelled_topic
12,"My vet recommended these for my half-Siamese, very particular, cat because she kept having tarter buildup (and, as a result, bad breath). I was skeptical because my cat is VERY picky about food. She LOVES them. It is her ""treat"" each day. Well, my vet stopped carrying them, so I came to Amazon and now I never have to worry about quick delivery, tarter buildup, bad breath or an unhappy kitty! Life is great with CET Enzematic cat chews!","['vet', 'cat', 'tarter', 'buildup', 'result', 'breath', 'cat', 'food', 'vet', 'delivery', 'tarter', 'buildup', 'breath', 'life', 'cat', 'chew']",5
15,I am always looking for healthy treats for my dogs. I had ordered 2 boxes of these and when I opened the first box something had eaten their way in or out. The treats were full of holes and there were also holes in the plastic. I could not see from the outside any evidence of something getting in. They were also out of date by a couple of months. I contacted the the people that I purchased these from and they wasted no time in giving me a refund. I was very please with the seller's response.,"['treat', 'dog', 'box', 'box', 'way', 'treat', 'hole', 'plastic', 'evidence', 'date', 'couple', 'month', 'people', 'time', 'refund', 'seller', 'response']",5
42,"Right now I own 3 cats that I found outside, a good eight years ago, and I found another cat which I adopted also.  I have always fed them Eukanuba Adult Lamb&Rice dry cat food, and they truly LOVE IT!  When you first open the bag you can smell the savory aroma!  Of the 3 cats that I found outdoor and adopted, one turned out to be a Turkish Angora and the other has markings similar to that of a snow leopard, and the third cat I found out is part Egyptian mau.  I also feed a feral cat who has been living in my back yard for 10 years.  They all love this food, and even when they changed the formula of this food a few years ago, they still eat it and love it!  If you read the ingredients, it is excellently made, and a real plus for their diet!  They've been eating it for years now, and I have yet to see any of my cats turn up their nose to this food.  The other dry foods that my cats love is Fancy Feast Gourmet Filet Mignon Flavor with Real Seafood & Shrimp Dry Cat Food and they've just started eating Eagle Pack Natural Pet Food, Indoor Formula for Cats and a cat food brand called 'Artemis'.  I haven't any problems with them eating any of these dry foods, and I've been rescuing cats for over 30 years now, and have owned as many as 7 cats at one time.  One set of kittens were born outdoor and I brought them indoors with their mother and kept them all until the day they passed on(they all lived to be close to 20 years of age) and they too ate Eukanuba lamb&rice and loved it!  I have had foods that they turned up their nose with like 'Chicken Soup' and 'Taste of the Wild'.  The same way we humans have our likes and dislikes is the same way that these cats have their likes and dislikes.  What's good for one cat might not be good for another.  You just have to learn your cat, and see what they like and just give it to them.  While my cats are in love with Eukanuba lamb&rice, maybe your cat will also or maybe not, but it isn't fair to not try this food because of a review where the owner says that their cat doesn't like it. As previously stated, maybe your cat will not like it or maybe your cat will love it!  I've tried cat foods based on good reviews figuring that the food will automatically be a hit and sometimes it was and sometimes it wasn't!  It's all up to the cat!","['cat', 'year', 'cat', 'rice', 'cat', 'food', 'bag', 'aroma', 'cat', 'angora', 'marking', 'leopard', 'cat', 'mau', 'cat', 'yard', 'year', 'food', 'formula', 'food', 'year', 'ingredient', 'plus', 'diet', 'year', 'cat', 'nose', 'food', 'food', 'cat', 'filet', 'mignon', 'flavor', 'seafood', 'shrimp', 'cat', 'food', 'eagle', 'pack', 'food', 'indoor', 'formula', 'cat', 'cat', 'food', 'brand', 'problem', 'food', 'cat', 'year', 'cat', 'time', 'set', 'kitten', 'indoors', 'mother', 'year', 'age', 'lamb', 'rice', 'food', 'soup', 'way', 'human', 'like', 'dislike', 'way', 'cat', 'like', 'dislike', 'cat', 'cat', 'cat', 'love', 'rice', 'cat', 'food', 'review', 'owner', 'cat', 'cat', 'cat', 'cat', 'food', 'review', 'food', 'hit', 'cat']",5
63,My dog LOVES these treats! The ingredients are so good for her and they don't cause any allergies or reactions either. Great product!,"['dog', 'treat', 'ingredient', 'allergy', 'reaction']",5
104,"My doggie really likes Newman's Organic better than some other dog foods pet and big-box stores sell. My budget doesn't like Newman's Organic as much as Harmony Farms. It's the compromise that keeps the doggie AND my budget happy.  Because he eats it heartily, I don't worry that he's getting enough high quality food.  Otherwise he won't eat his food and he'll graze in the trash seeking egg shells and bones to fill the void.  There's no barfing, digestion problems or accidents. High Quality food means good digestion, a shiny coat, high energy, bright eyes and a good attitude WITHOUT tons of additional elixers, treats or vet bills. A definite cost effective WIN:WIN for doggie AND me.  I've had great results with Newman's Dog Food that I orderd through Amazon BUT there's 5 pounds LESS for about the same price.  Psst I'm not an organic fanatic, it's the nutritional value that counts for my fur baby and human kids!  Update 3/26/2011: Noticed this has jumped to almost THIRTY BUCKS, will opt for Newman's Organic when the costs per pound are the same...my dog likes BOTH Harmony and Newman, my budget likes the one most cost effective at the time of purchase :)  Update 5/17/2012: Last batch Of Harmony Farms I ordered had a rancid oil smell when I opened the bag and the pooch wouldn't eat it as readily as he has in the past. He wouldn't eat for a day and started checking out the trash. I subsequently purchased some canned and pouch foods, cooked brown rice etc as mix-ins to ""encourage"" him to make it through this pricey bag. Not sure how this is stored before it arrives to my home, BUT the Texas heat can make anything stale/rancid/yucky quickly. I probably should have called Customer Service but felt the replacement would have the same issue due to the HOT weather here. Definitely exploring hot weather alternatives.","['doggie', 'food', 'pet', 'big-box', 'store', 'budget', 'harmony', 'farm', 'compromise', 'doggie', 'budget', 'food', 'food', 'trash', 'egg', 'shell', 'bone', 'void', 'barfing', 'digestion', 'problem', 'accident', 'food', 'mean', 'digestion', 'coat', 'energy', 'eye', 'attitude', 'ton', 'elixers', 'treat', 'vet', 'bill', 'cost', 'win', 'win', 'doggie', 'result', 'dog', 'food', 'price', 'psst', 'fanatic', 'value', 'baby', 'kid', 'update', 'buck', 'cost', 'pound', 'dog', 'harmony', 'budget', 'cost', 'time', 'purchase', 'update', 'batch', 'harmony', 'farm', 'oil', 'smell', 'bag', 'pooch', 'past', 'trash', 'food', 'rice', 'mix-ins', 'pricey', 'home', 'texas', 'heat', 'customer', 'service', 'replacement', 'issue', 'weather', 'weather', 'alternative']",5
105,"I have long haired dachshunds which like to dig out.  In the beginning the fido 525cs worked but was not powerful as it would not shock through the long haired coat of my dachshunds. They had to hit it with the face or shorter haired (skin exposed) underbelly areas in order to get a good reaction on them. I had the fido 525cs set up for maybe 2 months before it stopped working completely and the dogs were back to getting out again.  No, it did not get wet as my husband built a wood box for the charger ""house"" of protection.  It just stopped working and by that time I had thrown away my receipt which was from a small garden center on an old type register so that it didn't list the product name anyway.  Thus no warranty proof nor refund available.  I am looking for a better quality charger which will hit harder through the long haired coat. I have had stronger chargers which worked better and lasted longer than this model the fido 525cs.","['dachshund', 'fido', 'coat', 'dachshund', 'face', 'skin', 'area', 'reaction', 'fido', 'month', 'dog', 'husband', 'wood', 'box', 'charger', 'house', 'protection', 'time', 'receipt', 'garden', 'center', 'type', 'register', 'warranty', 'proof', 'refund', 'charger', 'coat', 'charger', 'model', 'fido']",5
106,I received the chicken pill pockets for my cat and he loves them. What an idea!! The order was fast and the price was fantastic!! This is where I will order them from now on!!!!! Thank you sooo much.,"['chicken', 'pill', 'pocket', 'cat', 'idea', 'price', 'thank']",5
115,"We were looking for an organic food after the melamine poisoning of pet food debacle. Newman's Own dry foods for cats and dogs are manufactured in the US per their corporate veterinarian. Newman's Own is up front about their ingredients. For an organic food it is affordable. Also it has been great at keeping skin issues under control. Lastly Newman's Own is listed as a ""More Responsible Pet Food Company"" on several websites.","['food', 'melamine', 'poisoning', 'food', 'debacle', 'food', 'cat', 'dog', 'newman', 'ingredient', 'food', 'issue', 'control', 'pet', 'food', 'company', 'website']",5
117,Product has a shelf life of two years and was labeled as produced in December of 2009. Product leaked from seal in carton.,"['shelf', 'life', 'year', 'december', 'seal', 'carton']",5
140,"The product is of high quality, and has a rich full flavor.  Delivery was unexpectedly fast.  The only negative I would like to see addressed is that the product is packed in a heavy paper sack. While this may be commonplace, a significant improvement would be to have an inner liner of a heavy weight, food grade, plastic bag that can be sealed after each time you open the bag.  Could be either a zip-lock bag or a twist tie closure... doesn't make any difference... just need a practical way to preserve the freshness of the product and keep the bugs out of it.  This is a health and spoilage issue... 50#'s of oatmeal is a lot of product and needs to either be repackaged by the consumer in small food grade bags or containers (very expensive and hard to find}. I am a single senior who likes to buy staple goods in bulk to save money and provide food security.  Long term storage is a big issue with people like me.  Thom (Missouri)","['flavor', 'delivery', 'paper', 'sack', 'improvement', 'liner', 'weight', 'food', 'plastic', 'bag', 'time', 'bag', 'bag', 'closure', 'difference', 'way', 'freshness', 'bug', 'health', 'issue', 'oatmeal', 'lot', 'consumer', 'food', 'grade', 'bag', 'container', 'good', 'bulk', 'money', 'food', 'security', 'term', 'storage', 'issue', 'people', 'missouri']",5
