,Text,Tokens,Labelled_topic
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'unclear', 'source']",2
27,I bought this for my 6yo sound to take to school for his birthday. He is really into space and since he is in kindergarten I wanted his first birthday treat at school to be super special. Everyone loved it and he had a really fun experience.,"['sound', 'school', 'birthday', 'space', 'kindergarten', 'birthday', 'treat', 'school', 'super', 'special', 'fun', 'experience']",2
29,I purchased 6 boxes as gifts at $21 per box.  I spent over $120.00 and none could be used.  Every piece was broken and could not be used for the Seder.  Sending a gift that is broken and can't be used is very embarrassing.  Also the return window is April 18th which is ridiculous since the matzo was for the first Seder which was on April 18th at night.,"['box', 'gift', 'box', 'piece', 'seder', 'gift', 'return', 'window', 'april', 'ridiculous', 'matzo', 'seder', 'april', 'night']",2
53,"We travel to VA frequently. I used to buy these there as favors for neighbors and then have the hassle of getting them back home. Now I just order from Amazon to arrive on the day we get home - the price is much less and no shipping hassles. The quality is excellent, I've tried the Costco version and they are just not as good and nowhere near as good as Planters or others.","['favor', 'neighbor', 'hassle', 'home', 'price', 'shipping', 'excellent', 'costco', 'version', 'planter']",2
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['fabulous', 'oil', 'daughter', 'frankies', 'brooklyn', 'ny', 'fast', 'delivery', 'personal', 'note']",2
91,"I am not a health nut and I had to keep an open mind with this product... but once I tried it it actually tasted really good. Just a tip, don't eat it by itself (not good). Try it with smoked salmon and cream cheese or make an avocado and turkey sandwich. Also toasting it for a few minutes will soften it a bit.","['health', 'nut', 'open', 'mind', 'tip', 'smoked', 'salmon', 'cream', 'cheese', 'avocado', 'turkey', 'sandwich', 'minute', 'bit']",2
100,"I received these pistachios as a Christmas present. They are fantastic! I can't seem to stop eating them, and neither can anyone else in the family. My adult son had never tried pistachios before eating these, and now loves them, too. I will definitely be ordering more of these.","['pistachio', 'christmas', 'present', 'fantastic', 'family', 'adult', 'son', 'pistachio']",2
114,"I have CHF with cardiomyopathy.  I have to limit my sodium to under 2,000 mg per day.  Because of great products like this ketchup - I can do that pretty easily most days!  My CardioElectroPhysicist had never heard of no-salt ketchup, he thinks it's great!  Heinz no-salt ketchup tastes wonderful!  It has a slightly stonger tomato flavor, but I wouldn't have guessed it was no-salt.  I use it for homemade BBQ sauce, french fries, etc - it's awesome!  Highly recommended.","['cardiomyopathy', 'sodium', 'mg', 'product', 'ketchup', 'day', 'cardioelectrophysicist', 'no-salt', 'ketchup', 'heinz', 'no-salt', 'ketchup', 'taste', 'stonger', 'tomato', 'flavor', 'no-salt', 'homemade', 'bbq', 'french', 'fry', 'awesome']",2
130,"Happy with this purchase, it's a good deal. It's the most fragrant coriander ever! Coriander is a super spice, tri-dosha (and a health supplement as well, research it, it's a ground cilantro seed). We use it in lots of dishes. Thank you!","['happy', 'purchase', 'deal', 'fragrant', 'coriander', 'coriander', 'super', 'spice', 'tri-dosha', 'health', 'supplement', 'research', 'ground', 'cilantro', 'seed', 'lot', 'dish']",2
135,"Works well, taste is good, about to order a new box.  If you are a diabetic this is nice to have around the house or office.","['work', 'new', 'box', 'diabetic', 'house', 'office']",2
