,Text,Tokens,Labelled_topic
17,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.","['husband', 'tomato', 'area', 'grocery', 'store', 'disappointment', 'variety', 'dish', 'flavor', 'burst', 'summer', 'sweetness', 'chef', 'treat', 'price', 'hand']",8
34,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.","['sauce', 'flavor', 'kick', 'sauce', 'choice', 'flavor', 'number', 'dish', 'way', 'homemade', 'soup']",8
43,"These tomatoes seem very soft for dried tomatoes, which is great! They are also very flavorful. I've been using them in a coconut curry and I don't even bother soaking them to soften them, I just throw 5 of them (five halves) in the vita-mix with everything but the coconut milk, blend for a minute and then simmer together with the coconut milk. Delicious! I originally purchased these because I had some raw food recipes that called for quite a bit of dried tomatoes and these seem nearly perfect for that (the thing that makes them less than perfect to me is that they aren't organic) but 3 pounds is still so much I gave one bag to my boyfriend who thinks I'm weird for giving him a pound of dried tomatoes but once I give him the coconut curry recipe he'll be thanking me.  Oh, and the bags zip lock shut after they're opened, which is a nice touch.","['tomato', 'tomato', 'coconut', 'curry', 'throw', 'half', 'coconut', 'milk', 'blend', 'minute', 'coconut', 'milk', 'food', 'recipe', 'bit', 'tomato', 'thing', 'perfect', 'pound', 'bag', 'boyfriend', 'weird', 'pound', 'tomato', 'coconut', 'curry', 'recipe', 'bag', 'zip', 'lock', 'shut', 'touch']",8
50,"My baby enjoyed this flavor when I purchased it at a store.  I ordered a case of it from Amazon.  the whole case arrived moldy.  Each jar popped when I opened it too, showing that it was properly sealed.  I contacted Earth's Best.  They said they would look into it but would not follow up with me.  Given what is going on in our food industry, I will not purchase any more products from this company.  It is to scary when feeding a baby.  Amazon refunded me but did not take it any further.  Be very careful and inform other families too.  UPDATE:  I was so disappointed with the lack of concern from Earth's Best and Amazon.  I contacted the FDA, they referred me to the USDA because the product contained meat.  They took it very serious and had also received several complaints.  They have come to my house and written a report.  If anyone else noticed this problem please contact the USDA (1-888-674-6854). to report your claim/problem.  They will investigate the problem and the Earth's Best Plant to make sure they are following regulations.","['baby', 'flavor', 'store', 'case', 'case', 'jar', 'earth', 'food', 'industry', 'product', 'company', 'baby', 'family', 'lack', 'concern', 'earth', 'fda', 'usda', 'meat', 'complaint', 'house', 'report', 'problem', 'problem', 'earth', 'plant', 'regulation']",8
76,I was looking for all natural flavored coffee (not easy to find) when my college aged son brought some of this home. I could not find it locally at grocery stores or Starbucks locations so I'm glad it's available at amazon. It has a mild vanilla flavor- not overwhelming like some of the artificially flavored coffees. I will continue to order it.,"['coffee', 'college', 'son', 'home', 'grocery', 'store', 'starbucks', 'location', 'vanilla', 'coffee']",8
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['oil', 'daughter', 'frankies', 'ny', 'delivery', 'note']",8
83,Living in the city it is hard to find pectin at the local grocery so this is a great price and delivered right to my door!,"['living', 'city', 'pectin', 'grocery', 'price', 'door']",8
89,I bought this to make a sauce and it taste great gives a good flavor.  I really enjoyed it an it lasts a long time.,"['sauce', 'flavor', 'time']",8
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'flavor', 'burn', 'perspective', 'sauce', 'heat', 'burn', 'place', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",8
95,"It's Splenda, and at a good price.  Forget about the individual packets, the cost will kill you.  If you use the product, this is the way to buy it.","['price', 'forget', 'cost', 'way']",8
98,"The pricing is quite a bit higher than in the grocery stores.  It is not available in all stores, but I have found it conveniently enough for my purposes.","['pricing', 'bit', 'grocery', 'store', 'store', 'purpose']",8
108,"i love this butter. it's better than regular butter and makes eggs or anything else taste great. Plus it's organic with higher levels of Conjugated Linoleic Acid (CLA). A must in every home, i think","['butter', 'butter', 'egg', 'level', 'acid', 'cla', 'home']",8
120,"I love watching TV munching on this.  It's got NOTHING IN IT but the vegetables!  Much healthier than ... anything else!  It's not super cheap, but it's super healthy.","['tv', 'vegetable', 'cheap']",8
