,Text,Tokens,Labelled_topic
7,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.  I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it","['hair', 'wonder', 'hair', 'brand', 'brand', 'teaspoon', 'coconut', 'oil', 'wonder', 'hair', 'price', 'vitacost', 'coconut', 'oil', 'stuff', 'stir', 'veggie', 'burger', 'chicken', 'oil', 'brand', 'beat', 'brand', 'market', 'value', 'skin', 'winter', 'month', 'shea', 'butter', 'skin']",2
14,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,"['fantastic', 'price', 'health', 'food', 'store', 'thank']",2
20,"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!","['time', 'ting', 'friend', 'bag', 'shot', 'daughter', 'milk', 'intolerance', 'wheat', 'allergy', 'daughter', 'year', 'cheetos', 'friend', 'product', 'help', 'star']",2
22,Does anyone realize tocopherol usually comes from soy? I'm still hunting for a cracker I don't have to make. Their website is unclear about it's source.,"['tocopherol', 'soy', 'cracker', 'website', 'source']",2
36,"I can't believe I didn't check out the ingredients for this.  I never would have bought it if I would have known there was artificial sweetener in it!  First cup though, I got that weird after taste it gives and that was all she wrote.  If you don't have a problem with a chemical taste or concerns about health problems, you may like it.  Not worth it to us.","['ingredient', 'sweetener', 'weird', 'problem', 'chemical', 'concern', 'health', 'problem']",2
37,"I enjoy the flavor and benefits of fresh wheat grass but it is difficult to keep on hand. This powder seems to offer the same ""punch"" as well as tasting good. I'm very pleased with the product and now rely solely on it.","['flavor', 'benefit', 'wheat', 'grass', 'hand', 'powder', 'punch']",2
54,"I was not impressed with these cookies when I tried them, when they first came out and the company had only one flavor. I did not care for them but I knew that something more satisfying could be had because I'd tried others.  I have found many great paleo cookie recipes on web sites and in paleo cookbooks that I love and they my friends, cooking students, and neighbors have really enjoyed. If you're looking for rock your taste buds paleo cookies, I suggest you check out the recipes for chocolate chip cookies and other flavors of cookies made from blanched almond flour found in The Gluten Free Almond Flour Cookbook, Make It Paleo, and on Elana Amsterdam's web site.","['cooky', 'company', 'flavor', 'satisfying', 'paleo', 'cookie', 'recipe', 'web', 'site', 'cookbook', 'friend', 'student', 'neighbor', 'rock', 'bud', 'paleo', 'cooky', 'recipe', 'chocolate', 'chip', 'cooky', 'flavor', 'cooky', 'almond', 'flour', 'almond', 'flour', 'cookbook', 'amsterdam', 'web', 'site']",2
116,"These almonds are the best. I love the tasted but was not quite as zippy or strong as I had hoped. I do eat lots of hot items so perhaps my taste buds are expecting more. Having said that, the flavor and freshness is tops.","['almond', 'lot', 'item', 'bud', 'flavor', 'freshness', 'top']",2
124,"This ""Brachs Assorted Halloween Melocream Candy is available at Big M Stores for $1.19 per 11oz bag! I get them every year as a tradition. they have Chocolet Bats, Maple Jugs & Corn Stalks, Banana Half Moons & Corn Ears as well as traditional Candy Corn flavored Pumpkins.","['brachs', 'melocream', 'candy', 'm', 'store', 'bag', 'tradition', 'bat', 'jug', 'corn', 'stalk', 'moon', 'corn', 'ear', 'candy', 'corn', 'pumpkin']",2
130,"Happy with this purchase, it's a good deal. It's the most fragrant coriander ever! Coriander is a super spice, tri-dosha (and a health supplement as well, research it, it's a ground cilantro seed). We use it in lots of dishes. Thank you!","['purchase', 'deal', 'coriander', 'coriander', 'spice', 'tri-dosha', 'health', 'supplement', 'research', 'ground', 'cilantro', 'seed', 'lot', 'dish']",2
132,"""Yeast Extract"" is listed as an ingredient. Sounds harmless, right? Specifically, these chips contain autolyzed yeast extract, which is, on a chemical level, monosodium glutamate. It's just derived from a different source, but it has all the same toxic properties. Kettle still advertises their products as containing ""No MSG"" while they acknowledge that their chips are not safe for people with MSG sensitivities.","['yeast', 'extract', 'ingredient', 'chip', 'yeast', 'extract', 'chemical', 'level', 'monosodium', 'source', 'toxic', 'property', 'product', 'msg', 'chip', 'people', 'sensitivity']",2
136,"Oil is very pleasant to the palate Fruity with a distint olive taste, which is what I was looking for. Excellent product. Far superior to any Italian EVO I have tried.","['oil', 'palate', 'fruity', 'distint', 'evo']",2
153,"I would like to share with you who are contemplating Mr. Trivedi's products, I was diagnosed with are rare form of acid reflux. I was advised not to drink anything carbonated and a whole list of no no,s.  About 3 months ago I found out about this incredible water, since then that is all I drink.  I had the most amazing results, not only easing my acid reflux,but also drinking the water brings a sense of calmness and almost at the same time a felling of complete happiness and tolerance of which I am not especially noted for.  At the 11-11-11 retreat one of the wonderful staff members remembered me from the center in Soho, she remarked how different and calmer I was compared to 2 months ago. I know there will always be skeptics, I am ready for them.  Thank you, Mr. Trivedi","['share', 'trivedi', 'product', 'form', 'reflux', 'list', 's', 'month', 'water', 'result', 'acid', 'reflux', 'water', 'sense', 'calmness', 'time', 'felling', 'happiness', 'tolerance', 'retreat', 'staff', 'member', 'center', 'soho', 'calmer', 'month', 'skeptic']",2
169,"This product is very tasty but if you are also lactose intolerant, better forgo the pleasure.  Milk is not listed on the allergy advisory (May contain traces of...) but the ingredients section lists whole milk powder as a component of the chocolate coating.  Otherwise, it's a great product.","['pleasure', 'milk', 'advisory', 'trace', 'ingredient', 'section', 'list', 'milk', 'powder', 'component', 'chocolate', 'coating']",2
177,This stuff is great to make egg dishes special.  It does add a truffle scent but you must cut down on adding other salt.,"['stuff', 'egg', 'dish', 'scent', 'salt']",2
179,"I purchased this item to celebrate the birth of my grandson.  I should have opted for real cigars, they might have tasted better. These cigars were very hard and hurt my teeth to chew. Not to mention that these gum cigars were much too sweet.","['item', 'birth', 'grandson', 'cigar', 'cigar', 'teeth', 'gum', 'cigar']",2
186,"So after comparing this to Jay Robb, I can say that this protein is not as good. The taste isn't as good, and it doesn't mix that easy. I don't think it is horrible, just not that good.  One thing I like about the Jay Robb is that they use hormone free chicken eggs. I sent Healty N' Fit an email asking where they get their eggs from, but they didn't reply. It is a little cheaper, but I found the Jay Robb at Vitamin Shoppe for 20 per 12ozs, which isn't bad. I have to say that I don't like the dudes picture on the bottle, but that's my only complaint.","['robb', 'protein', 'thing', 'jay', 'robb', 'chicken', 'egg', 'healty', 'n', 'email', 'egg', 'jay', 'robb', 'shoppe', 'dude', 'picture', 'bottle', 'complaint']",2
199,"i ate the graham crackers and they were delicious.  i shared the graham crackers with lana and she said also that the graham crackers were delicious.  both lana and i agreed on the strong oats taste and a lingering graham cracker taste, less subtle than other graham crackers.  i asked lana if this was a cracker she would use for the crust of a banana cream or key lime pie.  with no hesitation she said yes.  this is a wonderful alternative snack to cookies and chips.  lana is with me in highly recommending BACK TO NATURE GOLDEN HONEY OAT GRAHAMS.","['graham', 'cracker', 'graham', 'cracker', 'lana', 'graham', 'cracker', 'oat', 'lingering', 'graham', 'cracker', 'cracker', 'lana', 'cracker', 'crust', 'cream', 'pie', 'hesitation', 'snack', 'cooky', 'chip', 'lana', 'nature', 'honey', 'oat', 'graham']",2
206,"Adds flavor to all sorts of dishes.  Great for deviled eggs, mix with the yoke filler and top it off with a slice of jalepeno.","['flavor', 'sort', 'dish', 'egg', 'yoke', 'filler', 'slice', 'jalepeno']",2
216,I am new to coconut oil....the cost is what kept me from trying it sooner.  This is the best deal I've ever run across and the product is excellent!,"['oil', 'cost', 'deal']",2
219,"I'm flabbergasted by the glowing reviews that ""truffle oil"" is receiving on Amazon! Those of you espousing a desire to drizzle this stuff on your food might be sorely disappointed to learn that the truffle flavor in those tiny $17 bottles of ""truffle oil"" are made in a laboratory. There's not a molecule of actual truffle in them. It's a sinful shame that's perpetuated despite being outed a few years ago in an enlightening New York Times article called ""Hocus-Pocus, and a Beaker of Truffles."" Read it and weep: [...]  And if you see ""truffle oil"" advertised on the menu somewhere, you might ask if they're using any other artificial flavorings in their dishes...","['glowing', 'oil', 'desire', 'stuff', 'food', 'truffle', 'flavor', 'bottle', 'oil', 'laboratory', 'molecule', 'truffle', 'shame', 'year', 'york', 'time', 'article', 'hocus-pocus', 'beaker', 'truffle', 'oil', 'menu', 'flavoring', 'dish']",2
250,"My wife and I absolutely love these snacks.  They're somewhat ""healthy"" and they're very tasty.  After we purchased these we found them cheaper at Wal-Mart.  Since then though, Wal-mart went with a cheaper ""clone"" from another company.  It comes in a plastic container, has the exact same ingredients, and the price is a lot less than the name brand item.","['wife', 'snack', 'clone', 'company', 'plastic', 'container', 'ingredient', 'price', 'lot', 'brand', 'item']",2
260,"Item appears to be Keurig brand by title & description (big $$$).  However upon receiving it, it is an off brand ""My Perfect Kitchen"" sold at Bed Bath & Beyond and at HALF the price. I was disappointed in the jading and sent it back. Signed up for BBB email promos and got a 20% off coupon for use in the store so I bought this EXACT item for $20 (reg only $24.99 in store).  I mean EXACT!  Do your homework and save yourself some money.  Oh and the item itself is great...we have the larger Platinum B70 and it does have an issue with the cupboards but I just pulled it forward about 3.5in and it's perfect.  I am fortunate enough to have a lot of counter space and I may move it to an open top area so for us it's all good :)","['item', 'brand', 'title', 'description', 'brand', 'kitchen', 'bed', 'bath', 'price', 'jading', 'bbb', 'email', 'promos', 'coupon', 'use', 'store', 'item', 'reg', 'store', 'homework', 'money', 'oh', 'item', 'platinum', 'issue', 'cupboard', 'lot', 'counter', 'space', 'area']",2
267,The price was as fantastic as the taste. So convenient to make and no messy powder  that is hard to dissolve. No major cleanup to deal with either. Highly recommended!,"['price', 'powder', 'cleanup']",2
268,"This is a tasty treat--with a thin layer of sugary jelly in the middle.  No oozing jelly or anything as I have initially thought.  For 16 pcs, I think this item is too expensive and would not buy again.","['treat', 'layer', 'jelly', 'pc', 'item']",2
288,"My wife and I are senior citizens on a fixed income, though not as fixed as it was six months ago. If you are like us and looking for a reasonably priced and tasty source of protein in a well-rounded package with other vital nutrients, look no further! This stuff is delicious. Don't be surprised when unsuspecting dinner guests ask for the recipe. We just reply that it's a family secret. The only con I can think of is having to choose between the beef, the lamb, and the turkey. But why choose? Just buy all three.","['wife', 'citizen', 'income', 'month', 'source', 'protein', 'package', 'nutrient', 'stuff', 'dinner', 'guest', 'recipe', 'family', 'beef', 'lamb', 'turkey']",2
295,why pay $36 here when you can get the same thing directly at the Honeyville site for $28?,"['pay', 'thing', 'honeyville', 'site']",2
298,"The pancakes were delicious, but they weren't as fluffy as the ones I normally make.  Next time I use this, I'm going to whip the egg whites and see if that helps.","['pancake', 'one', 'time', 'egg', 'white']",2
299,The title says it all.  This is a great oil and the price is right.  My shipment came promptly.  Avocado oil is great for cooking and has many health benefits.,"['title', 'oil', 'price', 'shipment', 'oil', 'cooking', 'health', 'benefit']",2
300,"As my box arrived earlier today, I cannot attest to it's health benefits (I'm not sure if I would be able to anyway)... but I can absolutely confirm that there is no taste.","['box', 'today', 'health', 'benefit']",2
