,Text,Tokens,Labelled_topic
11,"These are a great snack when you're on the go.  Unlike most fruit bars, they have a bit of fiber in them, making them far healthier and longer lasting.","['snack', 'fruit', 'bar', 'bit', 'fiber', 'healthier']",4
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'horrible', 'food', 'cardboard', 'cardboard', 'way', 'trash', 'money', 'better', 'low', 'carb', 'sweet', 'snack', 'blue', 'diamond', 'almond', 'brown', 'sugar', '8-ounce', 'jar', 'pack']",4
34,"This sauce has a unique flavor and a decent kick. I like a very hot sauce and this is not as strong as my usual choice. It does, however, have a very unique flavor that I enjoyed. I have used it on a number of dishes and was really impressed with the way it jazzed up my homemade vegetable soup. I will be buying this again.","['sauce', 'unique', 'flavor', 'decent', 'kick', 'hot', 'sauce', 'strong', 'usual', 'choice', 'unique', 'flavor', 'number', 'dish', 'impressed', 'way', 'homemade', 'vegetable', 'soup']",4
41,"I have tried lots of different protein bars but the main problem is always the same, they taste like protein bars. This is my favorite because it tastes like eating a normal chocolate waffer candy bar. Chocolate is my favorite, followed by peanut butter. Great for a snack, I take one with me when I go out with friends so I have a tasty healthy treat.","['lot', 'different', 'protein', 'bar', 'main', 'problem', 'protein', 'bar', 'favorite', 'normal', 'chocolate', 'waffer', 'candy', 'bar', 'chocolate', 'favorite', 'peanut', 'butter', 'snack', 'friend', 'healthy', 'treat']",4
56,"Of the Erin Baker products, the Fruit & Nut Mini Breakfast Cookie is my favorite!  I have one mini breakfast cookie (about 100 calories) with a cup of coffee in the morning and I feel satisfied and ready to start the day.  Very healthy, low in caloreis, and super delicious is what makes the product work for me.  Try it, you'll like it.","['erin', 'baker', 'product', 'fruit', 'nut', 'mini', 'breakfast', 'cookie', 'favorite', 'mini', 'breakfast', 'cookie', 'calorie', 'cup', 'coffee', 'morning', 'satisfied', 'ready', 'healthy', 'low', 'caloreis', 'super', 'delicious', 'work']",4
57,"This is an outstandingly good cereal. It is not too sweet, is delicious, and healthy, too. A nice choice for anyone wanting to live a healthy life.","['cereal', 'sweet', 'delicious', 'healthy', 'choice', 'healthy', 'life']",4
69,I chose this product as I am not crazy about chocolate flavoured products. This goes well with coffee and good if you are in a hurry. It keeps me full till lunch time. I worry about the fat content however. I probably would need an input from a dietician regarding that.,"['crazy', 'chocolate', 'product', 'coffee', 'hurry', 'till', 'lunch', 'time', 'fat', 'content', 'input', 'dietician', 'regarding']",4
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'worst', 'essence', 'way', 'little', 'packing', 'styrofoam', 'peanut', 'wrong', 'bad', 'star', 'low-cal', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",4
73,I personally love this cereal and i know it maybe too plain for some but you have the option of being creative with this.helps me keep calories in check.,"['cereal', 'plain', 'option', 'creative', 'calorie', 'check']",4
92,"I eat a lot of cereal, and that includes a lot of the high-fiber kinds. Oatmeal, Mini (Frosted) Shredded Wheat and Raisin Bran are usually what I'd eat when I needed to lose a few lbs., but there have been a few instances where I tried the ""healthier"" options. I've tried several of the Kashi cereals, but they weren't very appetizing. The plain one had a cardboard taste. Next, I tried Grape Nuts, which is like a horrendous yeast flavored cat food (though it's closer to kitty litter in texture.) That brings me to FiberPlus Antioxidants.  This Berry Yogurt Crunch is certainly one of the better tasting high-fiber cereals I've eaten. It's like a decent health bar broken apart into cereal. The clusters of yogurt really help, but even the plain cereal is decent enough on its own. Yes, there are 12g of Sugar per serving, but the 10g of Fiber and 170 Calorie parts more than make up for it. Especially if you compare it to Raisin Bran and Frosted Shredded Wheat, which are typically higher in Sugar and Calories, yet lower in dietary fiber. The antioxidants are a nice bonus, too.  The bottom line is that I'll add this to my grocery list whenever it's on sale or the price is right.","['lot', 'cereal', 'lot', 'high-fiber', 'kind', 'oatmeal', 'mini', 'shredded', 'wheat', 'raisin', 'bran', 'instance', 'healthier', 'option', 'tried', 'kashi', 'cereal', 'plain', 'cardboard', 'grape', 'nut', 'horrendous', 'yeast', 'cat', 'food', 'closer', 'litter', 'texture', 'antioxidant', 'berry', 'yogurt', 'crunch', 'better', 'high-fiber', 'cereal', 'decent', 'health', 'bar', 'broken', 'cereal', 'cluster', 'yogurt', 'plain', 'cereal', 'decent', 'yes', 'sugar', 'fiber', 'calorie', 'part', 'bran', 'wheat', 'higher', 'sugar', 'calorie', 'lower', 'dietary', 'antioxidant', 'bonus', 'line', 'grocery', 'list', 'sale', 'price', 'right']",4
93,"Lately I've been trying about 20 or more sauces to find just the right one that balances flavor and burn.  But, to put this into perspective, I really go for the insanely hot so this may need to be measured by that.  This sauce is not really that hot, but the taste is awesome.  It definately has heat, but doesn't really have much burn.  In short; if you want something that shames commercial pizza place hot wings in both heat and taste this is a great choice.  In fact I'm browsing the internet to see about ordering a case.  (for those days when I don't want my food to have the last highly pronounced word if you follow my meaning.)","['sauce', 'right', 'flavor', 'burn', 'perspective', 'insanely', 'hot', 'sauce', 'hot', 'awesome', 'heat', 'burn', 'short', 'commercial', 'pizza', 'place', 'hot', 'wing', 'heat', 'choice', 'fact', 'internet', 'case', 'day', 'food', 'word', 'meaning']",4
116,"These almonds are the best. I love the tasted but was not quite as zippy or strong as I had hoped. I do eat lots of hot items so perhaps my taste buds are expecting more. Having said that, the flavor and freshness is tops.","['almond', 'best', 'tasted', 'zippy', 'strong', 'eat', 'lot', 'hot', 'item', 'bud', 'flavor', 'freshness', 'top']",4
