Text,Topic_label
"Hands down, by far the absolute worst tasting tea I have ever had.... and I have ALLOT! I am an avid tea drinker and I just can't get it down. The benefits are supposed to be amazing so I'll keep it around to water down and sugar up but wow it's bad. So strong too, tastes like dirt (*that's been pissed on in the woods).",breakfast drinks
"Biryani when done as per instructed comes out really good and authentic! I dont like their other products, but highly recommend this for any Indian food lover. Total preparation time is around 1 hour, but its really worth it",breakfast drinks
I don't like this product at all.  Much tastier and cheaper to just use hot water and a packet of hot chocolate mix from Nestle or Swiss Miss.,breakfast drinks
"My daughter and I love the taste of Big Train Vanilla Chai, it isn't too spicy like other Chai's can be.",breakfast drinks
I took a chance with this product (even though there weren't enough good reviews) since they are cheaper than 5 hour energy.  They did not work for me so I tried Red Rain which did work and was even cheaper.  Red Rain DID work for me so I am done with 5 hour energy and 6 hour power. The ingredients are pretty close to 5 hour energy but someone is lying since it doesn't work.,breakfast drinks
"I bought this tea to try something new (I was tired of ordinary bergamote teas), and now I've ordered it again. Great taste, nice can.",breakfast drinks
My vodka tonics have never been so refreshing.  I wish I would have ordered two cases now as my husband and I are going through far too much.,breakfast drinks
I bought this because of the antioxidants will keep it for the taste. Tastes like Arabica without being overwhelming. Its the best of both worlds when you can have a product that is good for you and tastes great too.,breakfast drinks
"This is a really good deal on some high quality chia seeds. There really isn't much more to say, if you use chia seeds these are a great buy.",service
"I purchase Banh Trang Spring Rolls Skin frequently to prepare a tasty batch of fresh spring rolls, but recently I got a container with black spots mixed into the skin.  I tried to rinse them off when they were soaking but it didn't work and had to be thrown away.  At the bottom of the container, 5 skins had what looked to be tiny ants embedded within the skin.  At that point, I decided not to have fresh spring rolls at all until I purchased a fresh batch of a different brand..  When trying to find the company on the internet to write them directly, I was unable locate their company webpage, although there were many references to the Co. name Bahn Trang.",service
"I'm thrilled with this extract. I ordered it on a Tuesday night and had it by Friday afternoon. It came wrapped nicely in plenty of bubble wrap and tissue paper and was accompanied by a nice little note from the seller thanking me for my order.  It smells wonderful. It smells just like cocoa powder, and I use it in all my baked goods and even savory foods. Added to gravy it gives it that little something extra, and it's phenomenal in whipped cream, cookies, brownies, sweetbreads, cakes, even coffee and hot chocolate. It's not a sweet extract so it gives some depth to foods without adding additiona sugar. I will definitely be ordering this in the future and definitely ordering from this merchant again. I am very impressed with the quality and the customer service provided!",service
This product is Hackleback Sturgeon roe which is very good. The problem I have with the supplier is that it is over priced. One may purchase this product from Marky's Caviar-- the exact same caviar from Markys for a little over 43 dollars for 2 oz not 64 dollars for 1 oz. The shipping for this product is also outrageous. If you like this product which I did get the most for your money from Marky's Caviar and forget Charleston Seafood. I had even called Charleston and they were not able to  help me when confronted with the facts so poor customer service.,service
"It was a great gift! The recipient loved it. He was happy and if he's happy, so am I. I would definitely do business w/ these folks again.",service
"Great company, when item came in stock they let me know, I ordered it and it came quickly. Definately a company to buy from!",service
"This flour is very fresh tasting and consistent in quality.  When I order anything from Bob's Red Mill, I know I am getting the best available product.",service
Two of the three plants were dying and are now dead. They all were tiny!!! They are suppose to catch flies but not one fly has been caught because they couldn't even fit in the bloom.  Rip Off!!! Do not do business with this vendor...,service
Used these cones for a back to school ice cream social. Everyone thought they were great. I would buy them again.,dessert
"Moist, delicious with a delectable rum flavor.  It was a bit on the very sweet side, but overall a memorable dessert experience.",dessert
