Topic label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
coffee,coffee,cup,coffee coffee,cup coffee,bean,roast,blend,coffee cup,brand,cups,keurig,ground,coffee bean,maker,morning,starbucks,coffee maker,roast coffee,shop,decaf
tea,tea,tea tea,tea bag,honey,cup,cup tea,mint,lipton,time tea,tea brand,tea honey,tea time,ice tea,lot tea,leaf,brand,home,smell,cinnamon,tea cinnamon
flavored drinks,water,drink,sugar,juice,soda,bottle,orange,mix,flavor,coconut,calorie,syrup,fruit,stuff,way,time,bit,packet,tangerine,milk
cat_dog_baby,food,cat,time,baby,sauce,brand,cat food,baby food,product,ingredient,health,food cat,salt,oil,review,stuff,health food,dog food,company,problem
chips,chip,salt,potato,chip chip,potato chip,texture,flavor,kettle,family,salty,cooky,chocolate chip,lime,calorie,cookie,oil,alternative chip,onion,tortilla,chip bag
grocery,store,grocery,grocery store,box,item,pack,brand,deal,way,cracker,jar,shipping,online,bulk,stock,package,store box,mix,purchase,price
snacks,bar,snack,peanut,protein,butter,calorie,cereal,fruit,nut,cracker,texture,sugar,candy,ingredient,breakfast,peanut butter,almond,fiber,size,son
chocolate_milk,chocolate,cooky,box,milk,cocoa,cup,kid,cookie,chocolate chocolate,mix,brand,pack,miss,cups,chocolate chip,keurig,candy,dark,cake,milk chocolate
bag_packaging_meat,bag,time,bag bag,box,lot,candy,pork,bean,seed,size,nut,sale,money,bag time,way,rind,popcorn,daughter,tea bag,pound
dog,dog,treat,dog food,china,dog treat,chicken,jerky,bone,vet,pet,food dog,dog dog,treat dog,product,item,company,food,chicken jerky,owner,treat china
