,Text,Tokens,Labelled_topic
3,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.","['okay', 'soft']",0
23,"I love popchips, The bag now has only 100 calories. and it bit smaller but If you are craving pop chips without the fat and still taste great. These are for you. A bit pricey but worth it.","['bag', 'calorie', 'smaller', 'pop', 'chip', 'fat', 'bit', 'pricey', 'worth']",0
45,The Lowrey's Microwave Pork rinds that I received was unacceptable.  I ordered 36 bags and the bags only popped 1/4 of the bag.  All rinds popped but for the amount of the money that I paid for them I could have gone to the store and bought a $2.00 bag already popped and gotten a full bag.  I feel that it should have popped at least half of the bag.  I understand that everyone is counting their pennies but I also think that the consumer should get something for their money.  I really enjoy this product but I probably will not order any more for this reason.,"['lowrey', 'pork', 'rind', 'unacceptable', 'bag', 'bag', 'bag', 'rind', 'money', 'store', 'bag', 'bag', 'half', 'bag', 'penny', 'consumer', 'money', 'reason']",0
64,"Noamally get a different brand at Costco, which is far superior to Keenan Farms.  Priced copetitively, but not good quaity, would not order again.","['different', 'brand', 'costco', 'superior', 'farm', 'quaity']",0
72,"I have a tried a few of these Wasa crisp breads.  This one was by far the worst.  It was in essence entirely flavorless.  It tasted to me the way that I expect that those little packing Styrofoam peanuts would taste.  Don't get me wrong it didn't taste bad, hence the 2 stars, it just didn't taste like anything.  Looking for a low-cal snack type cracker?  Try the Wasa Sourdough Rye crackers.  Now those are heavenly!","['wasa', 'worst', 'essence', 'way', 'little', 'packing', 'styrofoam', 'peanut', 'wrong', 'bad', 'star', 'low-cal', 'snack', 'type', 'cracker', 'wasa', 'sourdough', 'rye', 'cracker']",0
77,"I purchased my 1st order of Miracle Noodle directly from: [...]. I got them for my Mother because she needs to switch to a diet of less carbs and far less calories overall. I purchased the 10 pack of 7oz ""Angel hair"" noodles for $21.99 w/10.89 for shipping for a total of $32.76. A few days later I received the package. I was VERY surprised to find out that each 7oz package of Miracle Noodles ACTUALLY contained OVER 6 3/4 ounces of WATER and LESS THAN 1/4 oz of Noodles!!! While their marketing material does BARELY mention Water content, they are neither CLEAR nor particularly forthcoming about this fact nor the fact that it accounts for OVER 85% of the purchase product and considering the fact that they instruct you to IMMEDIATELY RINSE the Noodles before use, it's not as if your supposed to prepare the noodle using this WATER! - Well for a couple of reasons (including but not limited to the WATER volume) I decided to return them without opening even 1 package so they were COMPLETELY UNUSED). I was instructed (during a PHONE CALL to their main office) to MAIL THEM BACK  (AT MY EXPENSE) and WAS TOLD THAT I WOULD RECEIVE A FULL REFUND. Well it cost me approx another $10 to ship them back (due to the WATER WEIGHT)and a few days later I received a refund of $21.99. I PAID SHIPPING BOTH WAYS!!! So BASICALLY I PAID $20 in shipping to get a $22 so called REFUND - I PAID $42.00 and GOT BACK ONLY $21.99 !!! This may be legal but it is UNETHICAL and WRONG and when I spoke to the rep on the phone this was never mentioned! Especially for a company that claims to STAND BEHIND IT's PRODUCT 100%!!! When I contacted them by email they informed me that ""THIS IS OUR POLICY"" and cited the requisite schpeal on their website. I was NOT informed of this ON THE PHONE CALL at all! This so-called POLICY should be CHANGED! It may be legal but it's hardly ETHICAL or RIGHT! When is OK to get back ONLY HALF of what you spend when you return a product? IT'S NOT!! Not to MENTION THE FACT that YOU're getting LESS THAN 1/4 oz of Noodle in a 7 OZ ""Package!!! RIDICULOUS!! Oh and to make matters worse: When I COMMENTED on their Shipping Policy and Water Weight on their FACEBOOK Fan page; instead of addressing the issues OPENLY, HONESTLY and DIRECTLY they IMMEDIATELY and REPEATEDLY DELETED my COMMENTS and then BLOCKED ME from making comments at all! What's that tell you???","['miracle', 'noodle', 'mother', 'diet', 'carbs', 'calorie', 'pack', 'angel', 'hair', 'noodle', 'total', 'day', 'package', 'surprised', 'package', 'miracle', 'noodle', 'ounce', 'water', 'oz', 'noodle', 'marketing', 'material', 'mention', 'water', 'content', 'clear', 'fact', 'fact', 'purchase', 'fact', 'noodle', 'use', 'noodle', 'water', 'couple', 'reason', 'limited', 'water', 'volume', 'unused', 'phone', 'main', 'office', 'expense', 'refund', 'water', 'weight', 'day', 'refund', 'way', 'refund', 'legal', 'unethical', 'wrong', 'rep', 'phone', 'company', 'email', 'policy', 'requisite', 'schpeal', 'website', 'phone', 'so-called', 'policy', 'legal', 'right', 'half', 'fact', 'oz', 'noodle', 'oz', 'package', 'ridiculous', 'oh', 'matter', 'worse', 'shipping', 'policy', 'water', 'weight', 'facebook', 'fan', 'page', 'issue', 'comment', 'comment']",0
85,"I tried these and wanted to like them, but just couldn't.  They did not seem to ""pop"" very well (a lot of wasted product in the bag) and they didn't taste very good.  I will not be buying these again.","['lot', 'wasted', 'bag']",0
90,"Our family loves these chips, they are light, not too greasy, and the seaweed taste is fantastic. My wife is from Japan so she turned us on to these chips.","['family', 'chip', 'light', 'greasy', 'seaweed', 'fantastic', 'wife', 'japan', 'chip']",0
109,I had these when in the Phillippines and then when I came had to have some more.  Even though this a large bag we go through these fast in about two weeks.,"['phillippines', 'large', 'bag', 'fast', 'week']",0
113,"Aweful! They arrived immediately and still were as hard as cement! The bags' supposed re-sealable zipper,didn't re-seal once and maybe the large amount had something to do with it but again, I cannot believe how stale and terrible the candy inside was!","['aweful', 'hard', 'cement', 'bag', 're-sealable', 'zipper', 'large', 'stale', 'terrible', 'candy', 'inside']",0
117,Product has a shelf life of two years and was labeled as produced in December of 2009. Product leaked from seal in carton.,"['shelf', 'life', 'year', 'december', 'seal', 'carton']",0
