,Text,Tokens,Labelled_topic
0,Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,"['big', 'box', 'different', 'flavor', 'smaller', 'box', 'sure']",12
10,These have GOT to be the BEST tasting gluten free cookies I have EVER tasted. I was just blown away by the taste and texture. My husband couldn't believe it was Gluten Free. I won't buy another brand.  Pamelas Products 39439 Extreme Chocolate Simple Bites Gluten Free,"['best', 'tasting', 'gluten', 'free', 'cooky', 'texture', 'husband', 'gluten', 'free', 'brand', 'pamelas', 'product', 'extreme', 'chocolate', 'simple', 'bite', 'free']",12
20,"This was the first time we've had tings - a friend told us about them and since since they ended up being 2.17 per bag - we gave them a shot.  My daughter has a severe milk intolerance and I have a wheat allergy - and it's rare to find something delicious that we can both have.  My daughter is 2 years old and can now enjoy cheetos just like her friends - and they taste wonderful!  I'm so thankful for products like these that taste good, help us feel normal, and are affordable!  If I could give 6 stars I would!","['time', 'ting', 'friend', 'bag', 'shot', 'daughter', 'severe', 'milk', 'intolerance', 'wheat', 'allergy', 'delicious', 'daughter', 'year', 'old', 'cheetos', 'friend', 'wonderful', 'thankful', 'product', 'help', 'normal', 'affordable', 'star']",12
21,Bought this in the Maui Costco and thought it tasted so great we dragged home the unfinished huge bag of oatmeal.  Went to our local Costco and they did not sell it but another type of cut oatmeal which is not nearly as good and a different texture.  This is a fine tasting healthy oatmeal.,"['maui', 'costco', 'home', 'unfinished', 'huge', 'bag', 'oatmeal', 'local', 'costco', 'type', 'cut', 'oatmeal', 'different', 'texture', 'fine', 'tasting', 'healthy', 'oatmeal']",12
33,"I've heard people describe horrible food as tasting like cardboard before.  I never quite knew what they meant until now.  This really does taste like cardboard.  I don't think I could give these a way.  They are trash.  Don't waste your money. Here is a better low carb sweet snack  Blue Diamond Almonds Cinnamon Brown Sugar, 8-Ounce Jars (Pack of 6)","['people', 'horrible', 'food', 'cardboard', 'cardboard', 'way', 'trash', 'money', 'better', 'low', 'carb', 'sweet', 'snack', 'blue', 'diamond', 'almond', 'brown', 'sugar', '8-ounce', 'jar', 'pack']",12
38,Not happy with the product.  Once they were cooked the potatoes were flat and didn't look any thing like the product picture that was seen.  The shipping cost as much as the potatoes did!,"['happy', 'potato', 'flat', 'thing', 'picture', 'shipping', 'cost', 'potato']",12
44,This was the 2nd time I tried Pamela's bread mix & it's the closest to regular bread that I have found.  Great Product.,"['time', 'pamela', 'bread', 'mix', 'closest', 'regular', 'bread']",12
53,"We travel to VA frequently. I used to buy these there as favors for neighbors and then have the hassle of getting them back home. Now I just order from Amazon to arrive on the day we get home - the price is much less and no shipping hassles. The quality is excellent, I've tried the Costco version and they are just not as good and nowhere near as good as Planters or others.","['favor', 'neighbor', 'hassle', 'home', 'price', 'shipping', 'excellent', 'costco', 'version', 'planter']",12
54,"I was not impressed with these cookies when I tried them, when they first came out and the company had only one flavor. I did not care for them but I knew that something more satisfying could be had because I'd tried others.  I have found many great paleo cookie recipes on web sites and in paleo cookbooks that I love and they my friends, cooking students, and neighbors have really enjoyed. If you're looking for rock your taste buds paleo cookies, I suggest you check out the recipes for chocolate chip cookies and other flavors of cookies made from blanched almond flour found in The Gluten Free Almond Flour Cookbook, Make It Paleo, and on Elana Amsterdam's web site.","['impressed', 'cooky', 'company', 'flavor', 'satisfying', 'paleo', 'cookie', 'recipe', 'web', 'site', 'paleo', 'cookbook', 'friend', 'student', 'neighbor', 'rock', 'bud', 'paleo', 'cooky', 'recipe', 'chocolate', 'chip', 'cooky', 'flavor', 'cooky', 'blanched', 'almond', 'flour', 'gluten', 'free', 'almond', 'flour', 'cookbook', 'paleo', 'elana', 'amsterdam', 'web', 'site']",12
66,These are fantastic! They are a good price for what you get. I made sugar cookies and the kids drew on them.,"['fantastic', 'price', 'sugar', 'cooky', 'kid']",12
70,"Great flavors and crunchiness.  Sometimes gluten free food can be bland, but these are really flavorful.  This is also a great buy if you compare only buying one bag of these to the variety that you get.","['flavor', 'crunchiness', 'gluten', 'free', 'food', 'flavorful', 'buy', 'bag', 'variety']",12
84,I have been eating Medifast meals for a year.  Medifast changed the recipe to their pretzels and they were not as good. To my surprise the cinnamon pretzel that Kay's is a good if not better than Medifast and cost have the price.  The calories and protein were important factor and are pretty much the same based on ounces.,"['medifast', 'meal', 'recipe', 'pretzel', 'surprise', 'cinnamon', 'pretzel', 'kay', 'better', 'medifast', 'cost', 'price', 'calorie', 'protein', 'important', 'factor', 'ounce']",12
88,Another great tasting gluten free product.  Has lots of flavor and because they are individually wrapped they are great to include in a packed lunch.,"['gluten', 'free', 'lot', 'flavor', 'packed', 'lunch']",12
94,Great strong tasting gum BUT doesn't last long BUT is still worth it especially if your not allowed to have regular sf gum! The cinnamon taste is very great!,"['strong', 'tasting', 'gum', 'long', 'worth', 'regular', 'sf', 'cinnamon']",12
