,Text,Tokens,Labelled_topic
14,These taste fantastic!! And Amazon sells them for a less expensive price than my local health food store! Thank you Amazon!,"['fantastic', 'expensive', 'price', 'local', 'health', 'food', 'store', 'thank']",3
17,"My husband and I love to cook.  Jarred sun-dried tomatoes available in our area grocery stores have been a disappointment.  Not these! Flavorful and easy to use in a variety of dishes.  The flavor is a burst of summer sweetness. Often, these are eaten as ""chef's treats"" during cooking.  Price is more than fair.  I will keep  these on hand always.","['husband', 'jarred', 'sun-dried', 'tomato', 'available', 'area', 'grocery', 'store', 'disappointment', 'flavorful', 'easy', 'variety', 'dish', 'flavor', 'burst', 'summer', 'sweetness', 'chef', 'treat', 'cooking', 'price', 'fair', 'hand']",3
25,"You can by at Kroger at half the price. Used to be cheaper before recent price hike, just continued from innertia to order until payed attention, people be careful!","['kroger', 'price', 'cheaper', 'recent', 'price', 'hike', 'innertia', 'payed', 'attention', 'people', 'careful']",3
47,I needed some of these in a rush and ordered online. There is no difference between this and the ones I get in the store locally except the price which is 10 times more.,"['rush', 'online', 'difference', 'one', 'store', 'price', 'time']",3
48,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,"['best', 'tasting', 'zero', 'calorie', 'water', 'ive', 'becareful', 'alcohol', 'bowel', 'discomfort']",3
59,This is the best pre-packaged Wasabi I have found. It has a great texture too. I only buy this now that a friend recommended it and I tried it.wa,"['best', 'pre-packaged', 'wasabi', 'texture', 'friend']",3
61,This is a very good mix at a reasonable price. I snack on trail mix at work and put 1 of these out in the snack area with the standard pretzels and candy. My fellow employees must have liked since it was gone within a day,"['mix', 'reasonable', 'price', 'trail', 'mix', 'work', 'snack', 'area', 'standard', 'pretzel', 'fellow', 'employee']",3
67,"This product is well worth the money.  Others carry a similar product that's cheaper, but the quality is way cheaper also.","['money', 'similar', 'cheaper', 'way', 'cheaper']",3
74,"I tried a pack randomly today at Starbucks.  I wanted something different from the banana bread or chocolate-covered graham crackers that I would otherwise buy.  This is some solid trail mix.  I highly recommend.  As a matter of fact, I am on amazon now to buy more of it so I can let friends try.","['pack', 'today', 'starbucks', 'different', 'banana', 'bread', 'chocolate-covered', 'graham', 'cracker', 'solid', 'trail', 'mix', 'matter', 'fact', 'friend']",3
78,"Had this fabulous oil at my daughters wedding at Frankies in Brooklyn, NY... just had to order some. Extremely fast delivery and they even included a personal note.... highly recommend.","['fabulous', 'oil', 'daughter', 'frankies', 'brooklyn', 'ny', 'fast', 'delivery', 'personal', 'note']",3
80,One of the few soy milks my slightly milk allergic kids will drink consistently.  Easy to carry and just the right amount per box.  Price on Amazon is quite a bit cheaper than the pice in our local stores.,"['soy', 'milk', 'allergic', 'kid', 'easy', 'right', 'box', 'price', 'bit', 'cheaper', 'pice', 'local', 'store']",3
83,Living in the city it is hard to find pectin at the local grocery so this is a great price and delivered right to my door!,"['living', 'city', 'hard', 'pectin', 'local', 'grocery', 'price', 'door']",3
95,"It's Splenda, and at a good price.  Forget about the individual packets, the cost will kill you.  If you use the product, this is the way to buy it.","['price', 'forget', 'individual', 'cost', 'way']",3
98,"The pricing is quite a bit higher than in the grocery stores.  It is not available in all stores, but I have found it conveniently enough for my purposes.","['pricing', 'bit', 'higher', 'grocery', 'store', 'available', 'store', 'purpose']",3
112,"This is fantastic corn, you don't need to add a thing to it, it is perfect right out of the can. Of course a couple of the cans were dented, to be expected with shipping. I am just sure to use those quickly. Great price with subscribe and save.","['fantastic', 'corn', 'thing', 'perfect', 'right', 'course', 'couple', 'can', 'sure', 'price', 'subscribe']",3
154,"I opened this product to find that the lollipops were all broke, I was very disappointed.  They did not package this product in a way that would help keep it from breaking.  You are better off buying them from a store around your area.","['lollipop', 'disappointed', 'way', 'better', 'store', 'area']",3
161,"I first purchased this product at BJ's wholesale club. This is the best flavored carbonated water I've ever had. Like other reviewers, BJ's discontinued in favor of another product, what a mistake! I wrote to Talking Rain and their new president requesting this product have an online outlet...and it seems they delivered. Yes, it is more expensive, but with super saver shipping and subscription service (15%) savings, I'm in for a few cases each month. Try it, you will love it.","['bj', 'wholesale', 'club', 'best', 'flavored', 'carbonated', 'water', 'reviewer', 'favor', 'mistake', 'rain', 'new', 'president', 'online', 'outlet', 'yes', 'expensive', 'super', 'saver', 'shipping', 'subscription', 'service', 'saving', 'case']",3
173,"I have 5 dogs & Kibbles N' Bits is their favorite. Usually too expensive but the price is low right, 12.30 so I stocked up & bought 4 bags before the price increases again.","['dog', 'kibble', 'bit', 'favorite', 'expensive', 'price', 'low', 'bought', 'bag', 'price', 'increase']",3
178,This product is absolutely delightful. They are better than chocolate to me and one taste and you are hooked!,"['delightful', 'better', 'chocolate', 'hooked']",3
181,"These taste great and are pretty addictive, but this same box was about $5 at my local Ralph's supermarket. Don't buy this from Amazon!","['pretty', 'addictive', 'box', 'local', 'ralph', 'supermarket']",3
183,"I purchased this via Amazon, because I am NEVER sure I will be able to find it locally, and not have it cost an arm a leg and firstborn male child.  You cant beat the price, and the knowledge I will not have to comb the grocery stores looking made it a win win!  Not only that but each container I received had a 50 cent coupon attached, so if I DO find it locally I can enjoy a great discount!","['sure', 'able', 'arm', 'leg', 'firstborn', 'male', 'child', 'price', 'knowledge', 'grocery', 'store', 'win', 'win', 'container', 'cent', 'coupon', 'discount']",3
185,"This jam tastes as if it was made of anything but roses.  No aroma at all. By the time you pay for the shipping, may as well buy something else in the local grocery store.","['jam', 'aroma', 'time', 'shipping', 'local', 'grocery', 'store']",3
188,I was weary of buy food through the mail. This was a great purchase. Great taste and great price. I will be looking for other great deals.,"['weary', 'buy', 'food', 'mail', 'purchase', 'price', 'deal']",3
216,I am new to coconut oil....the cost is what kept me from trying it sooner.  This is the best deal I've ever run across and the product is excellent!,"['new', 'oil', 'cost', 'best', 'deal', 'excellent']",3
235,I take 5 a day and will update when my bloodwork is done again.  I am hoping for the best!  The taste is better than I thought it would be.,"['bloodwork', 'best', 'better']",3
236,"Anyone shopping for chives in the grocery store knows how expensive chives are. I'm almost surprised restaurants don't charge extra for them. These chives are a ""steal"" compared to the grocery, and taste as good as McCormick's at probably a 1/4 of the price. Also the shipping was very fast. I would buy again without a doubt.","['shopping', 'chive', 'grocery', 'store', 'expensive', 'chive', 'surprised', 'restaurant', 'extra', 'chive', 'steal', 'grocery', 'mccormick', 'price', 'shipping', 'fast', 'doubt']",3
237,"First off, I didn't purchase this product through Amazon, but at a local grocery store, so my review only reflects the product itself, not Amazon in any way.  I bought this last week never having tried coconut water before, but I heard good things.  The taste of it was almost like the smell of lawn clippings that had been damp and out in the sun for a long time.  Tasted off and had a faint mold smell to it.  I didn't know if it was supposed to taste like that or not as I never tried it before, but paying as much as I did I felt obligated to finish it off.  I've been ill for about a week after drinking it.  I don't know if it was just a coincidence or the cause of it.  I did email customer service at O.N.E. the day I drank it asking if it was supposed to taste like that or if I got a bad batch, and they still haven't replied to me.","['local', 'grocery', 'store', 'review', 'way', 'week', 'coconut', 'water', 'thing', 'smell', 'lawn', 'clipping', 'sun', 'long', 'time', 'faint', 'mold', 'smell', 'felt', 'week', 'coincidence', 'cause', 'customer', 'service', 'bad', 'batch']",3
239,"Overpriced beans, they are packed in a glass tube that is not air tight.  The beans were thin and almost dry.  Get the cheaper options at amazon instead, they are much better and way cheaper...","['bean', 'glass', 'tube', 'air', 'bean', 'dry', 'cheaper', 'option', 'better', 'way', 'cheaper']",3
250,"My wife and I absolutely love these snacks.  They're somewhat ""healthy"" and they're very tasty.  After we purchased these we found them cheaper at Wal-Mart.  Since then though, Wal-mart went with a cheaper ""clone"" from another company.  It comes in a plastic container, has the exact same ingredients, and the price is a lot less than the name brand item.","['wife', 'snack', 'healthy', 'cheaper', 'wal-mart', 'wal-mart', 'cheaper', 'clone', 'company', 'plastic', 'container', 'exact', 'ingredient', 'price', 'lot', 'brand', 'item']",3
